AS Monaco,Paris FC,Lille,Lyon,Stade Rennais,Troyes,Lens,Marseille,Angers,Strasbourg,Brest,Paris Saint-Germain,Le Mans,Lorient,Le Havre AC,Toulouse,Nice,AJ Auxerre
1099.0,668.0,921.0,826.0,694.0,117.0,1102.0,754.0,258.0,616.0,297.0,1352.0,45.0,329.0,276.0,311.0,157.0,178.0
952.0,688.0,811.0,808.0,713.0,208.0,1040.0,731.0,300.0,639.0,357.0,1149.0,85.0,391.0,318.0,373.0,188.0,249.0
783.0,701.0,793.0,770.0,711.0,256.0,915.0,746.0,359.0,612.0,403.0,986.0,126.0,475.0,369.0,451.0,279.0,265.0
725.0,675.0,794.0,734.0,683.0,314.0,799.0,705.0,425.0,660.0,467.0,876.0,167.0,473.0,407.0,463.0,276.0,357.0
736.0,636.0,751.0,724.0,682.0,345.0,711.0,655.0,479.0,648.0,455.0,778.0,175.0,535.0,400.0,534.0,351.0,405.0
692.0,655.0,727.0,596.0,641.0,426.0,677.0,631.0,499.0,631.0,523.0,684.0,218.0,510.0,482.0,600.0,372.0,436.0
648.0,591.0,650.0,659.0,651.0,412.0,645.0,673.0,556.0,643.0,554.0,597.0,243.0,520.0,497.0,541.0,430.0,490.0
559.0,602.0,615.0,646.0,612.0,486.0,583.0,630.0,602.0,584.0,583.0,537.0,287.0,581.0,525.0,585.0,473.0,510.0
581.0,643.0,537.0,600.0,558.0,541.0,544.0,587.0,645.0,617.0,549.0,493.0,326.0,571.0,572.0,567.0,508.0,561.0
497.0,619.0,603.0,545.0,568.0,591.0,498.0,580.0,591.0,534.0,634.0,459.0,353.0,602.0,614.0,587.0,521.0,604.0
482.0,552.0,506.0,531.0,556.0,657.0,448.0,542.0,636.0,580.0,571.0,401.0,456.0,606.0,631.0,629.0,574.0,642.0
469.0,545.0,426.0,496.0,556.0,703.0,419.0,510.0,632.0,526.0,642.0,374.0,514.0,610.0,641.0,641.0,658.0,638.0
410.0,519.0,431.0,455.0,487.0,746.0,384.0,479.0,672.0,522.0,722.0,327.0,559.0,664.0,645.0,587.0,699.0,692.0
388.0,454.0,401.0,415.0,452.0,803.0,323.0,472.0,680.0,522.0,671.0,271.0,723.0,671.0,653.0,674.0,715.0,712.0
340.0,436.0,363.0,385.0,445.0,800.0,318.0,407.0,700.0,488.0,665.0,251.0,847.0,649.0,770.0,652.0,795.0,689.0
250.0,438.0,287.0,343.0,407.0,859.0,256.0,339.0,699.0,455.0,714.0,202.0,1070.0,624.0,726.0,644.0,911.0,776.0
220.0,324.0,214.0,261.0,330.0,918.0,199.0,336.0,683.0,414.0,644.0,154.0,1394.0,626.0,745.0,632.0,1041.0,865.0
169.0,254.0,170.0,206.0,254.0,818.0,139.0,223.0,584.0,309.0,549.0,109.0,2412.0,563.0,729.0,529.0,1052.0,931.0
