FC Porto,Sporting CP,Arouca,Santa Clara,Benfica,Gil Vicente,Maritimo,Estrela,Braga,Moreirense,C.D. Nacional,Vitória de Guimaraes,Rio Ave,FC Famalicao,Académico de Viseu,Alverca,Estoril,Casa Pia
3322.0,3466.0,81.0,50.0,1598.0,138.0,5.0,15.0,1264.0,18.0,14.0,7.0,3.0,13.0,0.0,1.0,5.0,0.0
2840.0,2912.0,249.0,156.0,2178.0,420.0,19.0,71.0,930.0,43.0,52.0,23.0,8.0,72.0,0.0,13.0,14.0,0.0
1925.0,1888.0,585.0,394.0,2359.0,873.0,63.0,199.0,1068.0,112.0,145.0,79.0,30.0,195.0,1.0,40.0,38.0,6.0
961.0,904.0,1088.0,757.0,1692.0,1338.0,140.0,463.0,1087.0,286.0,306.0,182.0,112.0,427.0,0.0,115.0,135.0,7.0
472.0,420.0,1257.0,1044.0,903.0,1504.0,251.0,721.0,851.0,430.0,498.0,361.0,180.0,659.0,1.0,204.0,216.0,28.0
222.0,197.0,1246.0,1119.0,516.0,1255.0,346.0,812.0,694.0,614.0,694.0,472.0,308.0,814.0,2.0,294.0,346.0,49.0
118.0,95.0,1112.0,1118.0,267.0,1016.0,468.0,896.0,592.0,728.0,779.0,605.0,371.0,913.0,3.0,402.0,419.0,98.0
64.0,69.0,943.0,1026.0,190.0,838.0,581.0,948.0,471.0,829.0,826.0,709.0,420.0,897.0,21.0,492.0,543.0,133.0
42.0,20.0,775.0,911.0,117.0,683.0,639.0,874.0,468.0,811.0,856.0,768.0,601.0,951.0,35.0,563.0,693.0,193.0
13.0,12.0,683.0,790.0,72.0,488.0,761.0,904.0,373.0,861.0,887.0,857.0,666.0,928.0,55.0,719.0,696.0,235.0
12.0,8.0,538.0,675.0,47.0,442.0,872.0,816.0,346.0,880.0,894.0,884.0,807.0,799.0,82.0,738.0,810.0,350.0
3.0,6.0,462.0,560.0,21.0,320.0,908.0,791.0,302.0,918.0,843.0,871.0,858.0,802.0,125.0,917.0,859.0,434.0
3.0,1.0,353.0,465.0,18.0,266.0,999.0,660.0,293.0,877.0,811.0,901.0,955.0,641.0,195.0,999.0,938.0,625.0
2.0,1.0,260.0,355.0,10.0,175.0,1018.0,635.0,286.0,745.0,745.0,947.0,1012.0,641.0,361.0,1036.0,1002.0,769.0
1.0,1.0,188.0,283.0,9.0,137.0,992.0,478.0,276.0,738.0,678.0,804.0,1126.0,511.0,542.0,1064.0,1052.0,1120.0
0.0,0.0,116.0,172.0,3.0,72.0,913.0,410.0,240.0,572.0,516.0,773.0,1186.0,405.0,1027.0,1037.0,990.0,1568.0
0.0,0.0,55.0,98.0,0.0,28.0,727.0,238.0,267.0,399.0,334.0,528.0,888.0,240.0,2165.0,887.0,808.0,2338.0
0.0,0.0,9.0,27.0,0.0,7.0,298.0,69.0,192.0,139.0,122.0,229.0,469.0,92.0,5385.0,479.0,436.0,2047.0
