AS Roma,Internazionale,AC Milan,Juventus,Atalanta,Lazio,Udinese,Como,Frosinone,Napoli,Sassuolo,Cagliari,Lecce,Torino,Bologna,Genoa,Parma,Monza,Venezia,Fiorentina
1422.0,1934.0,791.0,1171.0,794.0,491.0,365.0,1019.0,181.0,609.0,297.0,203.0,132.0,106.0,175.0,135.0,66.0,3.0,0.0,106.0
1130.0,1428.0,732.0,978.0,768.0,632.0,459.0,1016.0,307.0,684.0,368.0,311.0,198.0,202.0,259.0,202.0,138.0,8.0,0.0,180.0
1027.0,1058.0,760.0,917.0,794.0,617.0,490.0,883.0,364.0,733.0,459.0,335.0,274.0,243.0,338.0,228.0,201.0,26.0,3.0,250.0
871.0,863.0,775.0,814.0,707.0,637.0,596.0,816.0,429.0,720.0,476.0,421.0,327.0,279.0,390.0,325.0,225.0,33.0,3.0,293.0
742.0,773.0,695.0,867.0,754.0,661.0,545.0,768.0,429.0,692.0,498.0,452.0,359.0,313.0,440.0,346.0,282.0,34.0,3.0,347.0
717.0,705.0,722.0,719.0,686.0,658.0,593.0,699.0,494.0,736.0,515.0,517.0,352.0,330.0,452.0,398.0,293.0,47.0,9.0,358.0
628.0,563.0,660.0,672.0,671.0,659.0,590.0,712.0,492.0,665.0,558.0,484.0,450.0,409.0,521.0,408.0,381.0,69.0,12.0,396.0
598.0,415.0,641.0,570.0,669.0,665.0,586.0,616.0,561.0,607.0,616.0,595.0,504.0,434.0,510.0,469.0,415.0,77.0,21.0,431.0
517.0,397.0,586.0,537.0,620.0,652.0,586.0,574.0,547.0,581.0,587.0,580.0,545.0,479.0,597.0,506.0,472.0,106.0,22.0,509.0
425.0,345.0,534.0,458.0,537.0,615.0,626.0,530.0,654.0,552.0,608.0,595.0,543.0,553.0,607.0,562.0,565.0,113.0,42.0,536.0
389.0,304.0,543.0,413.0,518.0,578.0,665.0,440.0,631.0,567.0,627.0,649.0,587.0,591.0,546.0,619.0,559.0,162.0,53.0,559.0
355.0,270.0,495.0,418.0,471.0,523.0,582.0,411.0,663.0,499.0,613.0,665.0,629.0,638.0,607.0,644.0,602.0,211.0,86.0,618.0
305.0,213.0,458.0,353.0,474.0,517.0,580.0,331.0,634.0,496.0,582.0,674.0,649.0,654.0,645.0,690.0,672.0,270.0,109.0,694.0
235.0,209.0,359.0,288.0,377.0,488.0,583.0,360.0,683.0,436.0,625.0,656.0,726.0,691.0,684.0,698.0,730.0,328.0,161.0,683.0
197.0,196.0,349.0,265.0,332.0,490.0,510.0,263.0,673.0,378.0,625.0,679.0,733.0,732.0,688.0,727.0,725.0,451.0,250.0,737.0
175.0,126.0,301.0,228.0,311.0,377.0,526.0,208.0,603.0,359.0,559.0,636.0,796.0,777.0,674.0,742.0,841.0,633.0,360.0,768.0
104.0,99.0,253.0,142.0,226.0,361.0,424.0,157.0,620.0,282.0,497.0,571.0,750.0,822.0,662.0,774.0,918.0,883.0,590.0,865.0
96.0,60.0,206.0,118.0,174.0,213.0,395.0,125.0,535.0,222.0,456.0,513.0,732.0,805.0,604.0,709.0,849.0,1378.0,1075.0,735.0
54.0,35.0,112.0,57.0,94.0,129.0,233.0,56.0,334.0,144.0,312.0,323.0,501.0,641.0,419.0,573.0,703.0,2400.0,2290.0,590.0
13.0,7.0,28.0,15.0,23.0,37.0,66.0,16.0,166.0,38.0,122.0,141.0,213.0,301.0,182.0,245.0,363.0,2768.0,4911.0,345.0
