Manchester City,Arsenal,Hull City,Chelsea,Brentford,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Ipswich Town,Liverpool,AFC Bournemouth,Nottingham Forest,Fulham,Coventry City,Crystal Palace,Aston Villa,Tottenham Hotspur
1652.0,1697.0,532.0,700.0,585.0,488.0,477.0,433.0,530.0,701.0,293.0,51.0,482.0,326.0,303.0,227.0,0.0,132.0,251.0,140.0
1226.0,1285.0,584.0,721.0,607.0,537.0,489.0,504.0,622.0,695.0,342.0,63.0,525.0,441.0,365.0,232.0,2.0,204.0,341.0,215.0
1042.0,959.0,581.0,678.0,615.0,536.0,546.0,548.0,611.0,670.0,433.0,81.0,547.0,485.0,390.0,344.0,2.0,262.0,397.0,273.0
837.0,823.0,608.0,659.0,606.0,603.0,559.0,537.0,604.0,673.0,444.0,112.0,551.0,521.0,454.0,390.0,7.0,320.0,397.0,295.0
732.0,791.0,622.0,662.0,642.0,553.0,543.0,508.0,612.0,624.0,477.0,142.0,565.0,554.0,465.0,373.0,7.0,326.0,474.0,328.0
660.0,618.0,612.0,650.0,573.0,633.0,595.0,566.0,592.0,626.0,498.0,162.0,593.0,536.0,477.0,415.0,6.0,360.0,443.0,385.0
591.0,572.0,666.0,619.0,596.0,580.0,565.0,573.0,558.0,621.0,506.0,192.0,528.0,522.0,507.0,449.0,17.0,414.0,517.0,407.0
533.0,505.0,579.0,599.0,565.0,564.0,585.0,602.0,548.0,594.0,566.0,214.0,559.0,507.0,547.0,500.0,24.0,431.0,548.0,430.0
467.0,447.0,558.0,566.0,568.0,577.0,568.0,587.0,582.0,552.0,584.0,267.0,580.0,516.0,537.0,521.0,23.0,480.0,551.0,469.0
404.0,381.0,551.0,524.0,558.0,579.0,585.0,572.0,572.0,547.0,592.0,330.0,542.0,598.0,572.0,526.0,49.0,485.0,533.0,500.0
347.0,367.0,573.0,483.0,575.0,597.0,588.0,554.0,550.0,523.0,567.0,365.0,585.0,604.0,545.0,572.0,53.0,485.0,553.0,514.0
296.0,319.0,532.0,492.0,522.0,530.0,552.0,554.0,541.0,518.0,562.0,423.0,558.0,585.0,593.0,586.0,91.0,577.0,600.0,569.0
270.0,292.0,502.0,476.0,509.0,514.0,510.0,575.0,520.0,482.0,601.0,460.0,565.0,559.0,609.0,617.0,113.0,661.0,557.0,608.0
238.0,235.0,516.0,447.0,479.0,526.0,550.0,542.0,523.0,439.0,605.0,531.0,544.0,588.0,555.0,629.0,196.0,608.0,588.0,661.0
189.0,216.0,495.0,401.0,475.0,518.0,543.0,489.0,451.0,406.0,597.0,576.0,514.0,532.0,598.0,709.0,227.0,721.0,615.0,728.0
172.0,156.0,442.0,368.0,435.0,461.0,484.0,515.0,462.0,407.0,603.0,791.0,471.0,546.0,629.0,632.0,336.0,730.0,668.0,692.0
144.0,143.0,399.0,396.0,404.0,462.0,415.0,451.0,370.0,342.0,571.0,999.0,441.0,550.0,613.0,660.0,570.0,765.0,585.0,720.0
119.0,122.0,337.0,257.0,323.0,351.0,391.0,400.0,359.0,276.0,533.0,1281.0,416.0,462.0,552.0,637.0,941.0,783.0,615.0,845.0
65.0,54.0,235.0,209.0,232.0,279.0,312.0,351.0,289.0,207.0,424.0,1709.0,311.0,392.0,470.0,647.0,1774.0,802.0,502.0,736.0
16.0,18.0,76.0,93.0,131.0,112.0,143.0,139.0,104.0,97.0,202.0,1251.0,123.0,176.0,219.0,334.0,5562.0,454.0,265.0,485.0
