Bayern Munich,SC Freiburg,FC Augsburg,RB Leipzig,Borussia Dortmund,SV Elversberg,FC Cologne,Eintracht Frankfurt,1. FC Union Berlin,Mainz,SC Paderborn 07,Bayer Leverkusen,TSG Hoffenheim,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,Schalke 04,VfB Stuttgart
2708.0,531.0,424.0,919.0,1220.0,307.0,396.0,439.0,297.0,318.0,20.0,600.0,466.0,265.0,209.0,276.0,1.0,604.0
1567.0,640.0,487.0,883.0,1147.0,393.0,520.0,525.0,411.0,403.0,50.0,697.0,542.0,351.0,289.0,377.0,3.0,715.0
1154.0,645.0,554.0,859.0,955.0,471.0,585.0,548.0,437.0,506.0,85.0,674.0,605.0,404.0,343.0,462.0,6.0,707.0
839.0,653.0,602.0,788.0,842.0,494.0,610.0,595.0,492.0,555.0,136.0,706.0,654.0,462.0,396.0,480.0,6.0,690.0
695.0,677.0,607.0,742.0,800.0,505.0,560.0,630.0,505.0,542.0,157.0,693.0,661.0,529.0,451.0,567.0,14.0,665.0
588.0,660.0,631.0,683.0,723.0,521.0,598.0,606.0,598.0,601.0,183.0,687.0,645.0,504.0,496.0,563.0,22.0,691.0
441.0,659.0,604.0,663.0,662.0,578.0,672.0,666.0,596.0,602.0,235.0,662.0,631.0,587.0,485.0,557.0,27.0,673.0
444.0,641.0,629.0,662.0,573.0,593.0,602.0,654.0,621.0,618.0,271.0,675.0,660.0,573.0,519.0,584.0,40.0,641.0
335.0,643.0,612.0,543.0,541.0,642.0,651.0,605.0,598.0,621.0,349.0,638.0,666.0,683.0,590.0,663.0,41.0,579.0
311.0,656.0,654.0,534.0,501.0,646.0,553.0,614.0,697.0,608.0,481.0,588.0,646.0,642.0,640.0,584.0,77.0,568.0
228.0,578.0,614.0,569.0,409.0,650.0,649.0,608.0,626.0,652.0,483.0,604.0,615.0,664.0,692.0,657.0,114.0,588.0
169.0,593.0,655.0,463.0,356.0,660.0,627.0,618.0,704.0,661.0,586.0,508.0,584.0,682.0,684.0,707.0,174.0,569.0
168.0,582.0,604.0,415.0,326.0,654.0,613.0,580.0,691.0,686.0,797.0,512.0,561.0,686.0,723.0,659.0,240.0,503.0
131.0,492.0,624.0,423.0,308.0,702.0,625.0,590.0,657.0,682.0,892.0,472.0,540.0,686.0,729.0,654.0,317.0,476.0
99.0,466.0,572.0,330.0,259.0,641.0,608.0,577.0,661.0,625.0,1167.0,445.0,499.0,658.0,829.0,651.0,465.0,448.0
68.0,441.0,537.0,272.0,195.0,660.0,514.0,524.0,602.0,572.0,1374.0,406.0,483.0,680.0,758.0,685.0,821.0,408.0
39.0,314.0,447.0,183.0,137.0,593.0,421.0,423.0,554.0,520.0,1692.0,293.0,367.0,633.0,768.0,597.0,1697.0,322.0
16.0,129.0,143.0,69.0,46.0,290.0,196.0,198.0,253.0,228.0,1042.0,140.0,175.0,311.0,399.0,277.0,5935.0,153.0
