Barcelona,Real Madrid,Atlético Madrid,Alavés,Osasuna,Sevilla,Real Betis,Deportivo La Coruña,Levante,Racing Santander,Espanyol,Athletic Club,Real Sociedad,Getafe,Villarreal,Valencia,Celta Vigo,Rayo Vallecano,Elche,Málaga
5332.0,2747.0,576.0,136.0,153.0,77.0,349.0,16.0,49.0,0.0,26.0,33.0,77.0,36.0,298.0,17.0,34.0,28.0,16.0,0.0
2280.0,3002.0,1076.0,446.0,485.0,226.0,677.0,55.0,201.0,15.0,106.0,121.0,216.0,104.0,677.0,60.0,107.0,112.0,34.0,0.0
979.0,1553.0,1394.0,684.0,736.0,397.0,1060.0,135.0,346.0,25.0,224.0,220.0,369.0,251.0,980.0,102.0,216.0,233.0,96.0,0.0
554.0,883.0,1245.0,812.0,910.0,533.0,1047.0,177.0,458.0,32.0,295.0,308.0,477.0,294.0,1005.0,197.0,299.0,287.0,187.0,0.0
316.0,610.0,1029.0,774.0,860.0,591.0,968.0,246.0,563.0,70.0,361.0,383.0,587.0,423.0,998.0,244.0,347.0,399.0,231.0,0.0
178.0,363.0,875.0,831.0,810.0,641.0,894.0,280.0,598.0,93.0,454.0,442.0,643.0,481.0,891.0,319.0,436.0,450.0,320.0,1.0
132.0,238.0,748.0,783.0,784.0,672.0,801.0,378.0,640.0,117.0,507.0,453.0,696.0,546.0,792.0,396.0,508.0,458.0,351.0,0.0
71.0,172.0,584.0,742.0,739.0,723.0,729.0,445.0,629.0,171.0,541.0,552.0,701.0,607.0,711.0,425.0,528.0,540.0,390.0,0.0
46.0,151.0,483.0,691.0,698.0,705.0,594.0,484.0,718.0,209.0,634.0,586.0,670.0,585.0,605.0,525.0,586.0,578.0,452.0,0.0
43.0,87.0,422.0,631.0,632.0,657.0,569.0,578.0,693.0,295.0,679.0,651.0,643.0,625.0,560.0,502.0,621.0,629.0,483.0,0.0
24.0,57.0,361.0,621.0,563.0,698.0,496.0,568.0,696.0,338.0,656.0,616.0,667.0,683.0,512.0,610.0,674.0,587.0,573.0,0.0
21.0,38.0,282.0,541.0,575.0,624.0,416.0,596.0,707.0,382.0,679.0,640.0,696.0,739.0,418.0,610.0,727.0,659.0,649.0,1.0
13.0,38.0,219.0,519.0,464.0,606.0,356.0,703.0,642.0,468.0,683.0,698.0,623.0,731.0,388.0,711.0,720.0,746.0,670.0,2.0
4.0,31.0,203.0,497.0,420.0,639.0,275.0,764.0,602.0,572.0,762.0,751.0,604.0,674.0,316.0,759.0,693.0,676.0,752.0,6.0
3.0,16.0,170.0,365.0,330.0,550.0,276.0,821.0,622.0,695.0,748.0,743.0,594.0,743.0,276.0,798.0,735.0,754.0,754.0,7.0
2.0,8.0,140.0,353.0,312.0,577.0,178.0,814.0,574.0,953.0,733.0,703.0,523.0,611.0,233.0,842.0,752.0,745.0,931.0,16.0
1.0,0.0,99.0,258.0,217.0,462.0,158.0,921.0,529.0,1226.0,657.0,726.0,491.0,693.0,168.0,924.0,661.0,758.0,1004.0,47.0
1.0,5.0,60.0,181.0,191.0,382.0,96.0,1031.0,419.0,1597.0,689.0,710.0,408.0,619.0,119.0,960.0,705.0,693.0,1025.0,109.0
0.0,1.0,34.0,129.0,119.0,228.0,61.0,936.0,297.0,2475.0,537.0,624.0,302.0,528.0,50.0,931.0,604.0,624.0,1004.0,516.0
0.0,0.0,0.0,6.0,2.0,12.0,0.0,52.0,17.0,267.0,29.0,40.0,13.0,27.0,3.0,68.0,47.0,44.0,78.0,9295.0
