AZ Alkmaar,PSV Eindhoven,Feyenoord Rotterdam,Ajax Amsterdam,Go Ahead Eagles,Fortuna Sittard,NEC Nijmegen,Excelsior,FC Twente,FC Groningen,Heerenveen,Sparta Rotterdam,Telstar,PEC Zwolle,Willem II,ADO Den Haag,FC Utrecht,SC Cambuur
1593.0,4869.0,606.0,1105.0,161.0,66.0,638.0,105.0,555.0,106.0,102.0,16.0,46.0,8.0,0.0,0.0,24.0,0.0
1823.0,2086.0,983.0,1472.0,338.0,171.0,1024.0,300.0,999.0,329.0,222.0,37.0,122.0,14.0,0.0,0.0,80.0,0.0
1478.0,1139.0,1171.0,1482.0,520.0,303.0,1133.0,458.0,1084.0,422.0,313.0,102.0,206.0,60.0,0.0,0.0,129.0,0.0
1218.0,673.0,1169.0,1212.0,688.0,399.0,1182.0,583.0,1082.0,565.0,474.0,182.0,265.0,89.0,1.0,0.0,218.0,0.0
1007.0,464.0,1069.0,1041.0,761.0,532.0,1085.0,648.0,1053.0,722.0,600.0,234.0,357.0,120.0,0.0,0.0,307.0,0.0
676.0,280.0,955.0,908.0,881.0,602.0,1007.0,776.0,1004.0,778.0,737.0,335.0,496.0,192.0,0.0,0.0,373.0,0.0
605.0,188.0,922.0,683.0,879.0,685.0,911.0,908.0,916.0,774.0,824.0,407.0,550.0,247.0,1.0,0.0,500.0,0.0
503.0,112.0,755.0,579.0,933.0,877.0,728.0,827.0,748.0,931.0,866.0,512.0,667.0,324.0,2.0,0.0,636.0,0.0
369.0,77.0,653.0,437.0,927.0,915.0,603.0,919.0,653.0,936.0,878.0,662.0,784.0,481.0,3.0,1.0,702.0,0.0
255.0,56.0,539.0,357.0,847.0,952.0,494.0,853.0,613.0,874.0,973.0,779.0,916.0,611.0,4.0,5.0,872.0,0.0
194.0,31.0,398.0,257.0,801.0,976.0,404.0,928.0,461.0,891.0,981.0,951.0,977.0,763.0,21.0,8.0,957.0,1.0
132.0,10.0,304.0,190.0,772.0,994.0,350.0,820.0,323.0,885.0,852.0,1150.0,1061.0,1022.0,32.0,23.0,1080.0,0.0
74.0,8.0,225.0,156.0,616.0,985.0,197.0,749.0,241.0,727.0,894.0,1281.0,1181.0,1339.0,61.0,71.0,1194.0,1.0
47.0,7.0,148.0,83.0,491.0,839.0,157.0,612.0,181.0,610.0,737.0,1546.0,1165.0,1720.0,147.0,157.0,1345.0,8.0
24.0,0.0,93.0,33.0,347.0,599.0,80.0,449.0,76.0,411.0,493.0,1480.0,1023.0,2416.0,591.0,566.0,1258.0,61.0
2.0,0.0,10.0,4.0,35.0,92.0,7.0,58.0,8.0,36.0,48.0,265.0,163.0,494.0,4041.0,3692.0,276.0,769.0
0.0,0.0,0.0,1.0,3.0,13.0,0.0,7.0,3.0,3.0,6.0,57.0,20.0,92.0,3675.0,3910.0,46.0,2164.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,8.0,1421.0,1567.0,3.0,6996.0
