AZ Alkmaar,Feyenoord Rotterdam,PSV Eindhoven,FC Twente,Ajax Amsterdam,Fortuna Sittard,Excelsior,FC Groningen,Go Ahead Eagles,Heerenveen,NEC Nijmegen,Sparta Rotterdam,Telstar,SC Cambuur,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II
561.0,1944.0,6353.0,599.0,515.0,0.0,4.0,16.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1522.0,3049.0,2178.0,1602.0,1457.0,3.0,17.0,63.0,34.0,26.0,46.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
2093.0,2177.0,927.0,2086.0,2101.0,28.0,81.0,181.0,112.0,87.0,114.0,0.0,4.0,0.0,9.0,0.0,0.0,0.0
2128.0,1425.0,367.0,2160.0,2269.0,87.0,244.0,438.0,282.0,221.0,318.0,0.0,9.0,0.0,52.0,0.0,0.0,0.0
1790.0,832.0,123.0,1810.0,1843.0,277.0,562.0,863.0,608.0,508.0,626.0,3.0,27.0,0.0,127.0,1.0,0.0,0.0
953.0,307.0,34.0,863.0,914.0,579.0,1087.0,1595.0,1151.0,951.0,1184.0,18.0,107.0,0.0,255.0,2.0,0.0,0.0
501.0,132.0,13.0,443.0,468.0,779.0,1259.0,1589.0,1364.0,1299.0,1392.0,41.0,197.0,2.0,513.0,8.0,0.0,0.0
222.0,70.0,4.0,229.0,231.0,1026.0,1428.0,1403.0,1380.0,1357.0,1495.0,78.0,352.0,4.0,709.0,12.0,0.0,0.0
112.0,40.0,1.0,111.0,109.0,1251.0,1373.0,1193.0,1398.0,1377.0,1380.0,142.0,527.0,11.0,923.0,50.0,1.0,1.0
65.0,19.0,0.0,56.0,58.0,1421.0,1256.0,993.0,1200.0,1306.0,1245.0,274.0,795.0,22.0,1181.0,103.0,6.0,0.0
40.0,3.0,0.0,28.0,23.0,1521.0,1087.0,750.0,1026.0,1167.0,979.0,548.0,1090.0,76.0,1470.0,175.0,16.0,1.0
8.0,1.0,0.0,7.0,9.0,1363.0,863.0,502.0,746.0,893.0,701.0,934.0,1638.0,196.0,1688.0,409.0,33.0,9.0
5.0,1.0,0.0,5.0,2.0,972.0,460.0,278.0,411.0,513.0,342.0,1785.0,2090.0,478.0,1535.0,960.0,129.0,34.0
0.0,0.0,0.0,1.0,1.0,472.0,193.0,110.0,201.0,216.0,137.0,2550.0,1716.0,1187.0,923.0,1803.0,390.0,100.0
0.0,0.0,0.0,0.0,0.0,177.0,65.0,23.0,67.0,64.0,30.0,2008.0,949.0,2183.0,412.0,2639.0,1029.0,354.0
0.0,0.0,0.0,0.0,0.0,37.0,19.0,3.0,14.0,10.0,8.0,1048.0,349.0,3133.0,159.0,2179.0,2012.0,1029.0
0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,1.0,4.0,1.0,458.0,118.0,1961.0,38.0,1255.0,3815.0,2340.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,31.0,747.0,4.0,404.0,2569.0,6132.0
