AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2506.0,5520.0,68.0,9.0,269.0,6.0,495.0,976.0,121.0,8.0,21.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2970.0,2471.0,294.0,44.0,699.0,57.0,1238.0,1763.0,360.0,17.0,76.0,0.0,5.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0
1926.0,1059.0,571.0,123.0,1224.0,151.0,1808.0,2139.0,713.0,54.0,199.0,0.0,20.0,3.0,1.0,0.0,1.0,7.0,1.0,0.0
1154.0,514.0,939.0,279.0,1616.0,276.0,1776.0,1781.0,1084.0,107.0,384.0,1.0,45.0,6.0,3.0,0.0,9.0,25.0,1.0,0.0
689.0,218.0,1120.0,463.0,1657.0,479.0,1563.0,1306.0,1436.0,220.0,614.0,7.0,107.0,19.0,7.0,1.0,28.0,59.0,7.0,0.0
381.0,127.0,1421.0,681.0,1363.0,680.0,1175.0,857.0,1497.0,392.0,922.0,21.0,211.0,53.0,15.0,3.0,79.0,110.0,12.0,0.0
187.0,56.0,1424.0,945.0,1030.0,959.0,843.0,529.0,1380.0,597.0,1100.0,44.0,339.0,115.0,60.0,5.0,139.0,209.0,39.0,0.0
94.0,21.0,1226.0,1211.0,824.0,1114.0,451.0,287.0,1091.0,819.0,1294.0,73.0,521.0,171.0,74.0,17.0,239.0,387.0,86.0,0.0
54.0,7.0,973.0,1255.0,516.0,1284.0,305.0,178.0,821.0,1000.0,1283.0,148.0,704.0,288.0,174.0,39.0,345.0,520.0,106.0,0.0
22.0,4.0,734.0,1204.0,317.0,1184.0,160.0,84.0,586.0,1178.0,1146.0,269.0,942.0,452.0,257.0,60.0,490.0,706.0,205.0,0.0
9.0,2.0,491.0,1074.0,213.0,1035.0,94.0,47.0,386.0,1175.0,949.0,323.0,1091.0,648.0,419.0,122.0,679.0,919.0,322.0,2.0
5.0,0.0,319.0,881.0,122.0,847.0,50.0,33.0,238.0,1129.0,679.0,538.0,1252.0,837.0,535.0,184.0,803.0,1065.0,482.0,1.0
3.0,0.0,183.0,652.0,82.0,629.0,21.0,15.0,128.0,967.0,505.0,720.0,1131.0,1032.0,752.0,328.0,964.0,1219.0,667.0,2.0
0.0,1.0,112.0,460.0,39.0,484.0,17.0,2.0,80.0,732.0,321.0,980.0,1027.0,1148.0,990.0,462.0,1117.0,1169.0,842.0,17.0
0.0,0.0,68.0,325.0,17.0,343.0,4.0,2.0,41.0,595.0,212.0,1138.0,854.0,1206.0,1230.0,686.0,1129.0,1070.0,1053.0,27.0
0.0,0.0,33.0,174.0,9.0,219.0,0.0,1.0,25.0,445.0,148.0,1291.0,678.0,1250.0,1386.0,1000.0,1196.0,863.0,1216.0,66.0
0.0,0.0,15.0,122.0,2.0,133.0,0.0,0.0,8.0,310.0,80.0,1452.0,518.0,1081.0,1393.0,1408.0,1135.0,777.0,1422.0,144.0
0.0,0.0,6.0,72.0,1.0,83.0,0.0,0.0,5.0,171.0,51.0,1530.0,345.0,937.0,1383.0,1929.0,932.0,558.0,1635.0,362.0
0.0,0.0,3.0,25.0,0.0,35.0,0.0,0.0,0.0,77.0,14.0,1245.0,188.0,658.0,1101.0,2913.0,623.0,298.0,1597.0,1223.0
0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,7.0,2.0,220.0,21.0,96.0,219.0,843.0,90.0,36.0,307.0,8156.0
