Manchester City,Arsenal,Brighton & Hove Albion,Brentford,Leeds United,Liverpool,Everton,Hull City,Newcastle United,Chelsea,Ipswich Town,Manchester United,Nottingham Forest,Sunderland,Crystal Palace,Aston Villa,AFC Bournemouth,Coventry City,Fulham,Tottenham Hotspur
5706.0,3635.0,301.0,78.0,25.0,118.0,24.0,0.0,11.0,19.0,0.0,65.0,7.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0
2936.0,4192.0,1044.0,397.0,120.0,533.0,109.0,6.0,79.0,116.0,0.0,359.0,33.0,5.0,3.0,34.0,28.0,0.0,4.0,2.0
844.0,1218.0,2285.0,1040.0,526.0,1445.0,417.0,45.0,266.0,399.0,1.0,1038.0,120.0,35.0,18.0,146.0,124.0,0.0,28.0,5.0
260.0,484.0,1743.0,1250.0,766.0,1451.0,668.0,64.0,456.0,627.0,4.0,1194.0,247.0,108.0,38.0,300.0,266.0,0.0,58.0,16.0
134.0,223.0,1254.0,1184.0,901.0,1291.0,808.0,136.0,592.0,793.0,7.0,1225.0,345.0,130.0,70.0,377.0,393.0,0.0,101.0,36.0
58.0,138.0,937.0,1132.0,919.0,1159.0,805.0,187.0,731.0,818.0,14.0,1146.0,455.0,213.0,105.0,499.0,472.0,0.0,165.0,47.0
25.0,50.0,679.0,1021.0,957.0,896.0,895.0,301.0,789.0,919.0,17.0,978.0,580.0,292.0,149.0,573.0,579.0,0.0,220.0,80.0
13.0,30.0,505.0,843.0,916.0,726.0,959.0,378.0,831.0,932.0,36.0,802.0,665.0,384.0,200.0,669.0,675.0,0.0,320.0,116.0
10.0,16.0,365.0,702.0,868.0,619.0,913.0,459.0,819.0,897.0,56.0,750.0,729.0,475.0,268.0,751.0,753.0,0.0,373.0,177.0
4.0,7.0,273.0,550.0,769.0,501.0,872.0,580.0,886.0,818.0,86.0,604.0,795.0,542.0,369.0,803.0,824.0,2.0,479.0,236.0
5.0,3.0,216.0,472.0,667.0,380.0,762.0,694.0,853.0,795.0,138.0,501.0,833.0,665.0,462.0,828.0,852.0,2.0,572.0,300.0
2.0,2.0,131.0,395.0,613.0,291.0,686.0,737.0,775.0,697.0,197.0,398.0,894.0,711.0,556.0,901.0,912.0,5.0,696.0,401.0
1.0,0.0,97.0,308.0,532.0,203.0,551.0,914.0,754.0,649.0,309.0,313.0,835.0,819.0,683.0,840.0,886.0,4.0,796.0,506.0
2.0,1.0,73.0,238.0,440.0,155.0,496.0,986.0,617.0,455.0,431.0,200.0,842.0,973.0,877.0,769.0,790.0,10.0,1020.0,625.0
0.0,0.0,51.0,167.0,387.0,95.0,367.0,1063.0,522.0,362.0,605.0,177.0,745.0,1000.0,1014.0,744.0,745.0,31.0,1023.0,902.0
0.0,1.0,25.0,102.0,242.0,67.0,307.0,1045.0,416.0,309.0,920.0,118.0,681.0,1063.0,1175.0,622.0,655.0,59.0,1107.0,1086.0
0.0,0.0,15.0,69.0,203.0,39.0,171.0,968.0,309.0,212.0,1254.0,81.0,549.0,1004.0,1339.0,523.0,511.0,130.0,1196.0,1427.0
0.0,0.0,2.0,40.0,109.0,23.0,121.0,835.0,212.0,132.0,2008.0,38.0,415.0,878.0,1393.0,381.0,328.0,345.0,1025.0,1715.0
0.0,0.0,4.0,11.0,37.0,8.0,62.0,511.0,70.0,44.0,3098.0,12.0,208.0,616.0,1110.0,211.0,188.0,1196.0,697.0,1917.0
0.0,0.0,0.0,1.0,3.0,0.0,7.0,91.0,12.0,7.0,819.0,1.0,22.0,87.0,171.0,24.0,13.0,8216.0,120.0,406.0
