Swansea City,West Ham United,Middlesbrough,Wolverhampton Wanderers,West Bromwich Albion,Queens Park Rangers,Stoke City,Bristol City,Charlton Athletic,Birmingham City,Millwall,Lincoln City,Southampton,Wrexham,Bolton Wanderers,Blackburn Rovers,Norwich City,Sheffield United,Portsmouth,Watford,Cardiff City,Derby County,Preston North End,Burnley
169.0,6040.0,449.0,2705.0,17.0,5.0,10.0,12.0,0.0,23.0,81.0,0.0,449.0,12.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0
590.0,2439.0,1189.0,3571.0,71.0,48.0,53.0,69.0,8.0,97.0,293.0,0.0,1360.0,50.0,0.0,7.0,95.0,37.0,7.0,1.0,0.0,10.0,0.0,5.0
1099.0,889.0,1987.0,1715.0,254.0,128.0,161.0,216.0,26.0,287.0,640.0,2.0,1948.0,180.0,0.0,28.0,239.0,103.0,24.0,12.0,1.0,36.0,3.0,22.0
1329.0,327.0,1736.0,896.0,424.0,263.0,332.0,387.0,62.0,499.0,971.0,8.0,1682.0,282.0,3.0,41.0,412.0,166.0,33.0,15.0,2.0,85.0,4.0,41.0
1278.0,166.0,1318.0,495.0,568.0,361.0,415.0,537.0,117.0,635.0,1065.0,17.0,1289.0,455.0,5.0,79.0,593.0,285.0,78.0,40.0,1.0,117.0,11.0,75.0
1085.0,71.0,950.0,254.0,710.0,477.0,584.0,635.0,153.0,780.0,1141.0,30.0,899.0,556.0,9.0,150.0,659.0,371.0,113.0,86.0,7.0,154.0,19.0,107.0
947.0,32.0,689.0,143.0,780.0,552.0,640.0,703.0,196.0,833.0,967.0,47.0,625.0,613.0,17.0,221.0,782.0,512.0,178.0,106.0,15.0,218.0,33.0,151.0
780.0,18.0,461.0,86.0,755.0,602.0,684.0,755.0,236.0,810.0,765.0,97.0,512.0,674.0,34.0,285.0,883.0,569.0,212.0,145.0,23.0,333.0,55.0,226.0
639.0,7.0,366.0,58.0,766.0,649.0,734.0,797.0,346.0,771.0,735.0,91.0,362.0,687.0,39.0,335.0,792.0,643.0,290.0,193.0,23.0,345.0,67.0,265.0
517.0,4.0,247.0,27.0,715.0,680.0,702.0,762.0,424.0,814.0,679.0,148.0,236.0,726.0,65.0,388.0,702.0,663.0,334.0,232.0,50.0,467.0,87.0,331.0
399.0,2.0,174.0,16.0,695.0,717.0,714.0,713.0,430.0,718.0,558.0,208.0,184.0,716.0,90.0,474.0,731.0,695.0,384.0,312.0,65.0,502.0,105.0,398.0
296.0,3.0,134.0,11.0,748.0,702.0,661.0,659.0,531.0,645.0,453.0,268.0,134.0,693.0,139.0,495.0,651.0,692.0,446.0,370.0,103.0,551.0,145.0,470.0
237.0,1.0,92.0,10.0,658.0,718.0,689.0,645.0,587.0,597.0,387.0,304.0,92.0,662.0,183.0,572.0,576.0,682.0,517.0,415.0,142.0,553.0,205.0,476.0
170.0,1.0,62.0,5.0,566.0,640.0,614.0,611.0,679.0,512.0,300.0,391.0,70.0,661.0,186.0,656.0,553.0,671.0,559.0,493.0,156.0,619.0,245.0,580.0
159.0,0.0,50.0,1.0,498.0,637.0,599.0,539.0,763.0,433.0,272.0,472.0,56.0,528.0,239.0,655.0,479.0,609.0,615.0,558.0,213.0,653.0,320.0,652.0
101.0,0.0,42.0,3.0,410.0,519.0,517.0,442.0,757.0,374.0,207.0,580.0,35.0,505.0,366.0,689.0,432.0,634.0,695.0,660.0,279.0,685.0,384.0,684.0
68.0,0.0,26.0,1.0,355.0,538.0,471.0,392.0,684.0,301.0,166.0,609.0,32.0,473.0,445.0,744.0,361.0,573.0,779.0,747.0,362.0,699.0,533.0,641.0
52.0,0.0,13.0,1.0,284.0,471.0,378.0,315.0,765.0,235.0,106.0,771.0,16.0,393.0,576.0,762.0,310.0,503.0,776.0,760.0,485.0,707.0,581.0,740.0
40.0,0.0,6.0,0.0,244.0,387.0,298.0,267.0,748.0,201.0,68.0,852.0,7.0,322.0,680.0,766.0,218.0,445.0,782.0,881.0,623.0,689.0,680.0,796.0
22.0,0.0,6.0,1.0,185.0,320.0,288.0,207.0,658.0,161.0,62.0,953.0,4.0,290.0,813.0,678.0,201.0,405.0,790.0,839.0,801.0,692.0,874.0,750.0
13.0,0.0,1.0,0.0,134.0,260.0,181.0,146.0,624.0,128.0,41.0,1027.0,3.0,212.0,1066.0,649.0,131.0,307.0,799.0,891.0,979.0,642.0,1011.0,755.0
7.0,0.0,0.0,1.0,96.0,160.0,137.0,102.0,560.0,78.0,32.0,1102.0,3.0,145.0,1291.0,594.0,94.0,215.0,644.0,870.0,1267.0,533.0,1355.0,714.0
2.0,0.0,2.0,0.0,47.0,115.0,96.0,64.0,401.0,49.0,11.0,1149.0,1.0,114.0,1681.0,438.0,61.0,139.0,565.0,783.0,1802.0,413.0,1464.0,603.0
1.0,0.0,0.0,0.0,20.0,51.0,42.0,25.0,245.0,19.0,0.0,874.0,1.0,51.0,2073.0,294.0,24.0,75.0,380.0,591.0,2601.0,296.0,1819.0,518.0
