Flamengo,Palmeiras,Athletico Paranaense,Fluminense,Bahia,Cruzeiro,Atlético-MG,Santos,Coritiba,Red Bull Bragantino,São Paulo,Botafogo,Vitória,Corinthians,Mirassol,Vasco da Gama,Grêmio,Internacional,Remo,Chapecoense
7930.0,2063.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2052.0,7766.0,117.0,49.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.0,161.0,4788.0,3373.0,522.0,1067.0,60.0,6.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,8.0,2929.0,3442.0,1277.0,1970.0,266.0,36.0,3.0,32.0,27.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,1433.0,1945.0,2576.0,2862.0,759.0,133.0,18.0,86.0,122.0,61.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,545.0,855.0,3048.0,2418.0,1665.0,391.0,99.0,354.0,344.0,249.0,1.0,5.0,18.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,143.0,227.0,1458.0,1096.0,2840.0,1025.0,328.0,1024.0,928.0,715.0,25.0,22.0,94.0,72.0,3.0,0.0,0.0,0.0
0.0,0.0,31.0,79.0,637.0,376.0,1815.0,1473.0,633.0,1575.0,1585.0,1287.0,60.0,96.0,199.0,142.0,6.0,6.0,0.0,0.0
0.0,0.0,9.0,24.0,297.0,120.0,1055.0,1517.0,1025.0,1728.0,1675.0,1475.0,112.0,212.0,383.0,336.0,21.0,11.0,0.0,0.0
0.0,0.0,0.0,2.0,113.0,62.0,674.0,1424.0,1392.0,1448.0,1479.0,1576.0,254.0,380.0,601.0,496.0,72.0,27.0,0.0,0.0
0.0,0.0,0.0,1.0,45.0,9.0,414.0,1333.0,1531.0,1234.0,1304.0,1364.0,430.0,615.0,828.0,697.0,128.0,67.0,0.0,0.0
0.0,0.0,0.0,1.0,19.0,5.0,215.0,1030.0,1576.0,924.0,928.0,1148.0,624.0,920.0,1146.0,1047.0,239.0,176.0,2.0,0.0
0.0,0.0,0.0,0.0,4.0,2.0,140.0,728.0,1383.0,705.0,692.0,838.0,854.0,1194.0,1386.0,1322.0,444.0,307.0,1.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,71.0,471.0,988.0,426.0,442.0,599.0,1186.0,1537.0,1513.0,1540.0,662.0,555.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,16.0,255.0,532.0,286.0,277.0,409.0,1632.0,1566.0,1441.0,1545.0,1073.0,938.0,30.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,127.0,343.0,108.0,138.0,184.0,1907.0,1554.0,1157.0,1297.0,1661.0,1437.0,78.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,39.0,133.0,53.0,43.0,69.0,1788.0,1144.0,797.0,899.0,2376.0,2330.0,320.0,8.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,16.0,14.0,13.0,16.0,1042.0,668.0,406.0,536.0,2673.0,3393.0,1170.0,41.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,83.0,87.0,30.0,59.0,629.0,740.0,7561.0,810.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,13.0,13.0,829.0,9141.0
