AS Monaco,Lyon,Paris FC,Lille,Stade Rennais,Paris Saint-Germain,Angers,Strasbourg,Le Mans,AJ Auxerre,Brest,Lorient,Toulouse,Nice,Lens,Troyes,Marseille,Le Havre AC
1562.0,1377.0,344.0,841.0,324.0,4984.0,1.0,132.0,0.0,2.0,2.0,8.0,13.0,0.0,357.0,0.0,52.0,1.0
1964.0,1794.0,600.0,1344.0,697.0,2177.0,8.0,338.0,0.0,14.0,16.0,38.0,63.0,0.0,789.0,0.0,157.0,1.0
1684.0,1674.0,923.0,1470.0,882.0,1222.0,20.0,493.0,11.0,34.0,35.0,67.0,106.0,7.0,1051.0,0.0,316.0,5.0
1339.0,1351.0,1080.0,1442.0,1183.0,684.0,22.0,651.0,18.0,80.0,60.0,164.0,218.0,11.0,1218.0,0.0,467.0,12.0
1067.0,1091.0,1148.0,1245.0,1247.0,431.0,98.0,912.0,41.0,106.0,107.0,233.0,300.0,25.0,1279.0,0.0,643.0,27.0
805.0,895.0,1217.0,1050.0,1166.0,221.0,155.0,1070.0,85.0,176.0,221.0,348.0,488.0,49.0,1170.0,1.0,822.0,61.0
559.0,646.0,1134.0,832.0,1107.0,153.0,208.0,1171.0,133.0,303.0,328.0,535.0,616.0,65.0,1150.0,2.0,968.0,90.0
384.0,448.0,995.0,617.0,997.0,60.0,353.0,1177.0,232.0,464.0,474.0,723.0,839.0,119.0,901.0,7.0,1082.0,128.0
296.0,298.0,828.0,441.0,777.0,37.0,508.0,1127.0,357.0,588.0,622.0,892.0,944.0,201.0,741.0,9.0,1097.0,237.0
141.0,185.0,632.0,305.0,597.0,22.0,699.0,840.0,541.0,805.0,867.0,971.0,1061.0,369.0,489.0,22.0,1105.0,349.0
84.0,108.0,408.0,180.0,396.0,4.0,883.0,662.0,756.0,977.0,1062.0,1163.0,1113.0,483.0,298.0,34.0,909.0,480.0
64.0,53.0,274.0,114.0,274.0,3.0,1018.0,504.0,844.0,1086.0,1139.0,1116.0,1091.0,652.0,224.0,49.0,749.0,746.0
27.0,38.0,182.0,51.0,175.0,0.0,1139.0,371.0,1098.0,1134.0,1145.0,1029.0,901.0,923.0,147.0,111.0,583.0,946.0
14.0,27.0,130.0,39.0,82.0,2.0,1243.0,238.0,1207.0,1103.0,1116.0,925.0,828.0,1120.0,92.0,218.0,458.0,1158.0
8.0,12.0,60.0,19.0,61.0,0.0,1223.0,164.0,1408.0,1140.0,1053.0,778.0,601.0,1413.0,51.0,396.0,283.0,1330.0
1.0,3.0,32.0,8.0,26.0,0.0,1161.0,96.0,1400.0,1022.0,841.0,546.0,464.0,1778.0,32.0,807.0,200.0,1583.0
1.0,0.0,10.0,2.0,8.0,0.0,936.0,46.0,1315.0,743.0,678.0,349.0,273.0,1878.0,9.0,1735.0,93.0,1924.0
0.0,0.0,3.0,0.0,1.0,0.0,325.0,8.0,554.0,223.0,234.0,115.0,81.0,907.0,2.0,6609.0,16.0,922.0
