Alavés,Espanyol,Atlético Madrid,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Rayo Vallecano,Athletic Club,Barcelona,Celta Vigo,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Málaga,Levante,Getafe
0.0,0.0,93.0,0.0,34.0,142.0,12.0,0.0,0.0,0.0,7526.0,7.0,0.0,9.0,2175.0,1.0,0.0,1.0,0.0,0.0
6.0,4.0,651.0,1.0,63.0,1012.0,43.0,3.0,3.0,0.0,2101.0,68.0,5.0,157.0,5852.0,14.0,0.0,16.0,0.0,1.0
74.0,30.0,2663.0,19.0,191.0,3357.0,140.0,19.0,48.0,5.0,312.0,445.0,50.0,954.0,1398.0,212.0,34.0,37.0,5.0,7.0
202.0,87.0,2568.0,67.0,272.0,2489.0,193.0,103.0,138.0,16.0,50.0,1010.0,136.0,1540.0,392.0,489.0,126.0,77.0,15.0,30.0
420.0,253.0,1597.0,158.0,290.0,1371.0,229.0,224.0,319.0,81.0,8.0,1423.0,322.0,1881.0,118.0,823.0,286.0,92.0,37.0,68.0
620.0,343.0,973.0,285.0,302.0,711.0,272.0,376.0,505.0,149.0,2.0,1460.0,461.0,1551.0,42.0,1114.0,507.0,108.0,97.0,122.0
769.0,510.0,533.0,382.0,308.0,387.0,253.0,547.0,708.0,215.0,1.0,1263.0,618.0,1129.0,18.0,1199.0,635.0,125.0,151.0,249.0
896.0,631.0,349.0,495.0,316.0,236.0,261.0,678.0,770.0,333.0,0.0,1025.0,750.0,763.0,3.0,1102.0,724.0,166.0,208.0,294.0
904.0,729.0,219.0,568.0,300.0,131.0,279.0,732.0,835.0,421.0,0.0,791.0,784.0,606.0,1.0,969.0,846.0,130.0,331.0,424.0
912.0,855.0,129.0,728.0,306.0,75.0,279.0,727.0,906.0,484.0,0.0,615.0,835.0,434.0,0.0,812.0,805.0,164.0,445.0,489.0
851.0,834.0,79.0,787.0,325.0,41.0,283.0,787.0,918.0,576.0,0.0,491.0,848.0,286.0,1.0,732.0,839.0,169.0,530.0,623.0
848.0,855.0,62.0,855.0,317.0,28.0,293.0,830.0,861.0,629.0,0.0,407.0,892.0,222.0,0.0,592.0,856.0,187.0,612.0,654.0
779.0,859.0,38.0,861.0,367.0,7.0,337.0,832.0,792.0,749.0,0.0,326.0,825.0,158.0,0.0,493.0,820.0,214.0,753.0,790.0
676.0,868.0,19.0,910.0,367.0,6.0,343.0,912.0,795.0,842.0,0.0,229.0,766.0,120.0,0.0,394.0,768.0,250.0,855.0,880.0
604.0,822.0,15.0,888.0,421.0,3.0,436.0,856.0,680.0,957.0,0.0,173.0,732.0,87.0,0.0,371.0,725.0,297.0,940.0,993.0
531.0,808.0,8.0,902.0,513.0,4.0,464.0,766.0,613.0,1041.0,0.0,127.0,639.0,41.0,0.0,282.0,710.0,358.0,1129.0,1064.0
431.0,664.0,4.0,851.0,697.0,0.0,647.0,684.0,541.0,1150.0,0.0,81.0,556.0,45.0,0.0,194.0,572.0,500.0,1226.0,1157.0
283.0,496.0,0.0,709.0,1042.0,0.0,1084.0,518.0,340.0,1162.0,0.0,41.0,472.0,16.0,0.0,132.0,425.0,899.0,1274.0,1107.0
153.0,286.0,0.0,425.0,1705.0,0.0,1849.0,313.0,183.0,879.0,0.0,12.0,227.0,1.0,0.0,58.0,242.0,1906.0,1008.0,753.0
41.0,66.0,0.0,109.0,1864.0,0.0,2303.0,93.0,45.0,311.0,0.0,6.0,82.0,0.0,0.0,17.0,80.0,4304.0,384.0,295.0
