Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3378.0,6615.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6460.0,3327.0,87.0,84.0,36.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,54.0,3455.0,3442.0,1597.0,211.0,135.0,329.0,85.0,7.0,513.0,4.0,16.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
12.0,4.0,2526.0,2685.0,1868.0,523.0,335.0,796.0,236.0,22.0,889.0,15.0,68.0,5.0,5.0,0.0,10.0,0.0,1.0,0.0
1.0,0.0,1628.0,1691.0,1839.0,973.0,592.0,1132.0,491.0,73.0,1339.0,31.0,146.0,15.0,22.0,8.0,19.0,0.0,0.0,0.0
0.0,0.0,985.0,926.0,1577.0,1257.0,951.0,1325.0,786.0,166.0,1523.0,77.0,282.0,43.0,42.0,6.0,49.0,0.0,5.0,0.0
0.0,0.0,608.0,548.0,1143.0,1447.0,1105.0,1423.0,1054.0,259.0,1428.0,136.0,483.0,85.0,106.0,29.0,134.0,1.0,11.0,0.0
0.0,0.0,340.0,295.0,764.0,1406.0,1372.0,1397.0,1225.0,412.0,1279.0,210.0,669.0,146.0,200.0,64.0,187.0,5.0,29.0,0.0
0.0,0.0,192.0,175.0,507.0,1226.0,1336.0,1152.0,1487.0,633.0,1005.0,385.0,879.0,226.0,320.0,126.0,289.0,11.0,51.0,0.0
0.0,0.0,94.0,81.0,325.0,1010.0,1201.0,858.0,1365.0,900.0,808.0,559.0,1149.0,413.0,448.0,213.0,456.0,25.0,95.0,0.0
0.0,0.0,47.0,42.0,178.0,725.0,1027.0,638.0,1080.0,1186.0,490.0,785.0,1385.0,544.0,675.0,339.0,660.0,48.0,151.0,0.0
0.0,0.0,20.0,21.0,94.0,485.0,714.0,411.0,818.0,1346.0,315.0,974.0,1311.0,824.0,928.0,575.0,865.0,74.0,225.0,0.0
0.0,0.0,10.0,5.0,47.0,327.0,484.0,256.0,567.0,1369.0,210.0,1203.0,1085.0,963.0,1127.0,740.0,1036.0,169.0,402.0,0.0
0.0,0.0,2.0,2.0,13.0,205.0,343.0,147.0,347.0,1163.0,101.0,1326.0,877.0,1212.0,1209.0,976.0,1225.0,264.0,588.0,0.0
0.0,0.0,1.0,2.0,6.0,114.0,200.0,80.0,222.0,933.0,57.0,1295.0,690.0,1267.0,1291.0,1233.0,1287.0,503.0,819.0,0.0
0.0,0.0,1.0,0.0,2.0,62.0,123.0,34.0,118.0,699.0,20.0,1146.0,449.0,1261.0,1263.0,1447.0,1323.0,863.0,1188.0,1.0
0.0,0.0,0.0,0.0,2.0,24.0,58.0,14.0,75.0,446.0,14.0,997.0,290.0,1305.0,1043.0,1602.0,1141.0,1369.0,1617.0,3.0
0.0,0.0,0.0,0.0,0.0,4.0,23.0,6.0,34.0,289.0,5.0,599.0,162.0,1014.0,851.0,1528.0,913.0,2390.0,2161.0,21.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,9.0,97.0,1.0,257.0,59.0,671.0,465.0,1102.0,404.0,4176.0,2612.0,145.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,3.0,12.0,2.0,102.0,45.0,9830.0
