Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
11.0,1034.0,67.0,14.0,285.0,2.0,1442.0,6.0,1.0,2744.0,162.0,2716.0,63.0,135.0,44.0,59.0,119.0,72.0,1.0,125.0,0.0,0.0,9.0,889.0
33.0,1665.0,232.0,42.0,291.0,5.0,2105.0,8.0,4.0,1239.0,199.0,1276.0,179.0,158.0,116.0,157.0,312.0,114.0,3.0,371.0,6.0,0.0,19.0,1466.0
92.0,1706.0,334.0,73.0,255.0,20.0,1848.0,28.0,14.0,783.0,190.0,783.0,325.0,127.0,213.0,333.0,485.0,116.0,17.0,549.0,18.0,3.0,63.0,1625.0
149.0,1415.0,515.0,160.0,264.0,25.0,1327.0,45.0,22.0,618.0,193.0,608.0,476.0,147.0,360.0,477.0,721.0,139.0,28.0,729.0,35.0,7.0,92.0,1448.0
218.0,1160.0,667.0,234.0,255.0,58.0,1020.0,81.0,30.0,515.0,190.0,473.0,590.0,146.0,490.0,654.0,821.0,119.0,53.0,880.0,44.0,11.0,152.0,1139.0
326.0,878.0,749.0,348.0,244.0,94.0,688.0,133.0,70.0,407.0,200.0,434.0,719.0,171.0,601.0,665.0,853.0,156.0,95.0,932.0,88.0,35.0,238.0,876.0
378.0,636.0,849.0,400.0,245.0,167.0,475.0,161.0,101.0,381.0,205.0,361.0,782.0,170.0,691.0,782.0,843.0,144.0,118.0,923.0,132.0,58.0,339.0,659.0
473.0,458.0,786.0,532.0,232.0,215.0,359.0,221.0,146.0,310.0,215.0,290.0,806.0,191.0,730.0,828.0,851.0,134.0,206.0,865.0,176.0,75.0,391.0,510.0
548.0,319.0,813.0,577.0,252.0,259.0,242.0,281.0,203.0,282.0,227.0,296.0,811.0,217.0,732.0,754.0,838.0,151.0,244.0,793.0,200.0,121.0,447.0,393.0
606.0,222.0,740.0,589.0,248.0,353.0,160.0,372.0,273.0,294.0,206.0,257.0,767.0,183.0,783.0,790.0,710.0,176.0,331.0,729.0,250.0,132.0,537.0,292.0
647.0,156.0,696.0,664.0,265.0,426.0,105.0,421.0,313.0,253.0,210.0,240.0,741.0,196.0,774.0,719.0,649.0,176.0,360.0,662.0,335.0,187.0,600.0,205.0
691.0,117.0,638.0,706.0,293.0,458.0,83.0,513.0,388.0,204.0,223.0,188.0,619.0,243.0,739.0,674.0,573.0,192.0,457.0,494.0,440.0,281.0,628.0,158.0
704.0,82.0,577.0,757.0,276.0,542.0,53.0,545.0,472.0,202.0,241.0,214.0,578.0,280.0,648.0,583.0,471.0,175.0,502.0,456.0,527.0,329.0,675.0,111.0
678.0,56.0,486.0,752.0,319.0,654.0,37.0,680.0,536.0,180.0,210.0,180.0,542.0,246.0,600.0,485.0,443.0,200.0,554.0,370.0,563.0,408.0,726.0,95.0
722.0,29.0,439.0,707.0,298.0,692.0,20.0,700.0,613.0,166.0,265.0,201.0,454.0,269.0,527.0,492.0,312.0,246.0,675.0,305.0,617.0,479.0,729.0,43.0
677.0,28.0,352.0,689.0,366.0,803.0,9.0,730.0,729.0,155.0,299.0,153.0,391.0,258.0,458.0,414.0,279.0,248.0,693.0,216.0,738.0,583.0,705.0,27.0
645.0,14.0,330.0,590.0,320.0,835.0,11.0,782.0,790.0,170.0,293.0,173.0,320.0,343.0,389.0,312.0,248.0,282.0,794.0,175.0,799.0,689.0,660.0,36.0
610.0,8.0,234.0,511.0,350.0,828.0,11.0,854.0,877.0,152.0,386.0,162.0,250.0,315.0,341.0,257.0,156.0,337.0,836.0,172.0,828.0,820.0,692.0,13.0
530.0,7.0,176.0,526.0,427.0,870.0,3.0,810.0,916.0,155.0,399.0,136.0,217.0,370.0,270.0,211.0,127.0,360.0,877.0,108.0,919.0,955.0,623.0,8.0
456.0,5.0,143.0,404.0,509.0,830.0,2.0,849.0,967.0,157.0,493.0,165.0,160.0,485.0,224.0,155.0,77.0,413.0,919.0,75.0,883.0,1033.0,591.0,5.0
379.0,3.0,85.0,336.0,647.0,737.0,0.0,719.0,983.0,183.0,623.0,188.0,112.0,635.0,133.0,97.0,64.0,601.0,885.0,47.0,916.0,1181.0,445.0,1.0
268.0,1.0,64.0,231.0,873.0,586.0,0.0,577.0,838.0,175.0,961.0,183.0,50.0,972.0,88.0,65.0,37.0,865.0,700.0,18.0,796.0,1278.0,374.0,0.0
129.0,1.0,20.0,119.0,1156.0,415.0,0.0,370.0,538.0,173.0,1475.0,206.0,38.0,1543.0,39.0,31.0,10.0,1626.0,509.0,5.0,500.0,891.0,205.0,1.0
30.0,0.0,8.0,39.0,1330.0,126.0,0.0,114.0,176.0,102.0,1935.0,117.0,10.0,2200.0,10.0,6.0,1.0,2958.0,143.0,1.0,190.0,444.0,60.0,0.0
