AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
358.0,205.0,41.0,0.0,706.0,7199.0,686.0,46.0,1.0,364.0,0.0,372.0,2.0,16.0,0.0,1.0,1.0,2.0
1065.0,612.0,207.0,6.0,1802.0,1605.0,1886.0,230.0,37.0,1107.0,0.0,1337.0,23.0,73.0,0.0,4.0,5.0,1.0
1233.0,855.0,370.0,14.0,1774.0,639.0,1680.0,401.0,51.0,1307.0,0.0,1438.0,59.0,163.0,0.0,5.0,6.0,5.0
1282.0,998.0,558.0,30.0,1533.0,301.0,1481.0,550.0,96.0,1413.0,1.0,1389.0,97.0,242.0,0.0,12.0,9.0,8.0
1274.0,1105.0,724.0,67.0,1221.0,139.0,1279.0,770.0,165.0,1333.0,8.0,1295.0,173.0,413.0,0.0,8.0,21.0,5.0
1190.0,1261.0,934.0,112.0,952.0,58.0,980.0,984.0,262.0,1179.0,15.0,1166.0,270.0,579.0,0.0,28.0,26.0,4.0
1108.0,1267.0,1108.0,178.0,676.0,30.0,731.0,1182.0,396.0,1018.0,24.0,966.0,423.0,812.0,2.0,21.0,41.0,17.0
848.0,1082.0,1226.0,313.0,552.0,19.0,545.0,1287.0,655.0,814.0,74.0,764.0,650.0,1076.0,3.0,32.0,35.0,25.0
668.0,940.0,1311.0,489.0,372.0,5.0,340.0,1251.0,953.0,617.0,146.0,520.0,910.0,1322.0,9.0,61.0,47.0,39.0
449.0,707.0,1211.0,822.0,231.0,4.0,212.0,1112.0,1234.0,390.0,284.0,368.0,1264.0,1461.0,27.0,78.0,82.0,64.0
291.0,475.0,963.0,1213.0,111.0,0.0,115.0,924.0,1518.0,260.0,545.0,222.0,1577.0,1371.0,79.0,114.0,125.0,97.0
139.0,299.0,703.0,1736.0,47.0,0.0,46.0,652.0,1747.0,123.0,926.0,113.0,1661.0,1117.0,180.0,190.0,191.0,130.0
72.0,137.0,381.0,2186.0,16.0,1.0,16.0,399.0,1449.0,53.0,1697.0,40.0,1456.0,812.0,471.0,291.0,287.0,236.0
19.0,47.0,194.0,1645.0,7.0,0.0,3.0,157.0,920.0,18.0,2881.0,9.0,894.0,366.0,1264.0,552.0,534.0,490.0
4.0,9.0,59.0,809.0,0.0,0.0,0.0,46.0,380.0,4.0,2091.0,1.0,408.0,136.0,3150.0,984.0,990.0,929.0
0.0,1.0,10.0,308.0,0.0,0.0,0.0,6.0,112.0,0.0,944.0,0.0,102.0,32.0,2912.0,1957.0,1898.0,1718.0
0.0,0.0,0.0,66.0,0.0,0.0,0.0,3.0,24.0,0.0,296.0,0.0,28.0,9.0,1511.0,2772.0,2698.0,2593.0
0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,3.0,0.0,392.0,2890.0,3004.0,3637.0
