Bayern Munich,Borussia Dortmund,RB Leipzig,VfB Stuttgart,TSG Hoffenheim,Bayer Leverkusen,SC Freiburg,Eintracht Frankfurt,FC Augsburg,Mainz,1. FC Union Berlin,FC Cologne,Hamburg SV,Werder Bremen,Borussia Mönchengladbach,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9693.0,298.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,298.0,8440.0,835.0,349.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,1095.0,5240.0,2846.0,810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,148.0,2747.0,4375.0,2730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,19.0,1170.0,2429.0,6377.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,5.0,5884.0,4007.0,89.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,3923.0,5288.0,631.0,141.0,3.0,1.0,1.0,0.0,12.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,181.0,664.0,5035.0,2792.0,365.0,205.0,70.0,60.0,628.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,9.0,39.0,2631.0,3683.0,1053.0,878.0,327.0,254.0,1122.0,4.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,928.0,1632.0,1871.0,2072.0,899.0,672.0,1900.0,25.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0,924.0,1899.0,2080.0,1403.0,1157.0,2040.0,61.0,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,465.0,1834.0,1938.0,1937.0,1699.0,1770.0,151.0,7.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,240.0,1761.0,1623.0,2265.0,2312.0,1314.0,378.0,58.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,98.0,1109.0,1035.0,2587.0,3213.0,973.0,849.0,131.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,104.0,167.0,508.0,629.0,227.0,6375.0,1959.0,20.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,4.0,13.0,2106.0,7511.0,361.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,330.0,9619.0
