Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Botafogo,Coritiba,Vasco da Gama,Vitória,Atlético-MG,Red Bull Bragantino,Santos,Grêmio,Internacional,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6768.0,2296.0,237.0,109.0,443.0,119.0,9.0,9.0,1.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2087.0,4085.0,1018.0,522.0,1532.0,473.0,107.0,50.0,24.0,6.0,70.0,12.0,8.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0
754.0,1854.0,1889.0,1237.0,2309.0,1024.0,341.0,181.0,78.0,29.0,196.0,45.0,28.0,11.0,13.0,6.0,4.0,0.0,1.0,0.0
241.0,831.0,2024.0,1520.0,1982.0,1483.0,599.0,331.0,182.0,82.0,394.0,157.0,70.0,29.0,35.0,34.0,3.0,3.0,0.0,0.0
83.0,462.0,1554.0,1642.0,1400.0,1637.0,904.0,596.0,341.0,143.0,652.0,256.0,131.0,57.0,73.0,52.0,11.0,5.0,1.0,0.0
39.0,247.0,1135.0,1451.0,919.0,1511.0,1127.0,821.0,532.0,244.0,866.0,397.0,240.0,125.0,173.0,104.0,49.0,14.0,6.0,0.0
17.0,104.0,773.0,1108.0,531.0,1109.0,1217.0,1129.0,750.0,379.0,1095.0,637.0,384.0,238.0,258.0,173.0,65.0,27.0,6.0,0.0
8.0,62.0,504.0,766.0,365.0,821.0,1190.0,1159.0,952.0,493.0,1177.0,814.0,505.0,340.0,361.0,294.0,110.0,61.0,18.0,0.0
2.0,30.0,312.0,579.0,236.0,620.0,1108.0,1077.0,1035.0,654.0,1155.0,936.0,603.0,424.0,532.0,384.0,186.0,100.0,27.0,0.0
0.0,14.0,207.0,391.0,122.0,451.0,852.0,1091.0,1119.0,771.0,964.0,1028.0,750.0,562.0,646.0,528.0,293.0,159.0,52.0,0.0
0.0,5.0,149.0,250.0,69.0,284.0,714.0,870.0,1045.0,890.0,890.0,1023.0,914.0,697.0,798.0,680.0,406.0,245.0,70.0,1.0
0.0,3.0,87.0,179.0,45.0,181.0,540.0,705.0,967.0,965.0,699.0,1085.0,979.0,880.0,963.0,771.0,543.0,290.0,116.0,2.0
1.0,3.0,49.0,92.0,30.0,116.0,423.0,625.0,820.0,1057.0,581.0,897.0,1072.0,992.0,982.0,916.0,698.0,454.0,185.0,7.0
0.0,2.0,29.0,75.0,5.0,73.0,358.0,481.0,664.0,1025.0,446.0,768.0,1051.0,1063.0,1048.0,1038.0,931.0,638.0,292.0,13.0
0.0,1.0,15.0,36.0,8.0,53.0,225.0,343.0,545.0,1002.0,334.0,672.0,913.0,1182.0,1082.0,1145.0,1102.0,884.0,421.0,37.0
0.0,1.0,12.0,27.0,3.0,28.0,155.0,244.0,421.0,834.0,235.0,549.0,868.0,1138.0,1035.0,1162.0,1358.0,1126.0,729.0,75.0
0.0,0.0,3.0,11.0,1.0,9.0,84.0,180.0,301.0,718.0,132.0,385.0,728.0,1045.0,923.0,1114.0,1530.0,1555.0,1133.0,148.0
0.0,0.0,3.0,2.0,0.0,7.0,37.0,70.0,165.0,481.0,77.0,232.0,511.0,714.0,695.0,992.0,1505.0,2114.0,1975.0,420.0
0.0,0.0,0.0,2.0,0.0,1.0,10.0,34.0,53.0,195.0,27.0,90.0,227.0,439.0,345.0,520.0,1024.0,1832.0,3731.0,1470.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,5.0,32.0,4.0,14.0,18.0,61.0,35.0,87.0,182.0,493.0,1237.0,7827.0
