Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Osasuna,Espanyol,Girona,Athletic Club,Rayo Vallecano,Valencia,Mallorca,Sevilla,Alavés,Elche,Levante,Real Oviedo
9907.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93.0,9831.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,76.0,8926.0,998.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,998.0,8973.0,17.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,29.0,6185.0,2063.0,1227.0,331.0,78.0,22.0,47.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,2339.0,3931.0,1998.0,1001.0,316.0,119.0,176.0,90.0,10.0,9.0,6.0,3.0,1.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,979.0,2400.0,2796.0,1781.0,834.0,377.0,421.0,232.0,81.0,49.0,32.0,12.0,3.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,342.0,938.0,1825.0,2404.0,1725.0,765.0,940.0,516.0,242.0,100.0,128.0,27.0,28.0,19.0,1.0,0.0
0.0,0.0,0.0,0.0,93.0,386.0,1005.0,1867.0,1874.0,1116.0,1423.0,926.0,493.0,253.0,318.0,82.0,96.0,67.0,1.0,0.0
0.0,0.0,0.0,0.0,31.0,181.0,541.0,1158.0,1620.0,1419.0,1581.0,1255.0,794.0,406.0,534.0,139.0,191.0,147.0,3.0,0.0
0.0,0.0,0.0,0.0,9.0,65.0,323.0,698.0,1264.0,1434.0,1460.0,1378.0,1007.0,648.0,788.0,313.0,358.0,250.0,4.0,1.0
0.0,0.0,0.0,0.0,4.0,17.0,183.0,372.0,911.0,1320.0,1200.0,1429.0,1188.0,834.0,1050.0,442.0,588.0,441.0,21.0,0.0
0.0,0.0,0.0,0.0,1.0,9.0,57.0,212.0,614.0,1090.0,948.0,1328.0,1277.0,1182.0,1194.0,628.0,817.0,602.0,39.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,29.0,109.0,391.0,929.0,736.0,1052.0,1310.0,1245.0,1285.0,960.0,1013.0,854.0,74.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,47.0,210.0,623.0,510.0,824.0,1156.0,1416.0,1294.0,1246.0,1277.0,1204.0,158.0,24.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,99.0,425.0,302.0,509.0,998.0,1450.0,1201.0,1680.0,1471.0,1510.0,276.0,64.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,55.0,242.0,169.0,296.0,807.0,1262.0,1015.0,1964.0,1703.0,1738.0,574.0,169.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,100.0,76.0,138.0,519.0,928.0,828.0,1779.0,1746.0,1986.0,1384.0,506.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,11.0,11.0,103.0,203.0,273.0,635.0,610.0,936.0,5189.0,2010.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,13.0,15.0,54.0,90.0,98.0,242.0,2276.0,7211.0
