Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Leeds United,Newcastle United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6568.0,3432.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3432.0,6565.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3.0,7567.0,1647.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1966.0,4695.0,3318.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,457.0,3466.0,5502.0,448.0,31.0,78.0,9.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,7.0,170.0,376.0,5004.0,1342.0,1571.0,475.0,699.0,258.0,91.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,20.0,19.0,2145.0,1993.0,2432.0,1079.0,1318.0,681.0,275.0,24.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,1163.0,1928.0,2062.0,1623.0,1596.0,1021.0,495.0,64.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,1.0,1.0,677.0,1677.0,1544.0,1922.0,1675.0,1579.0,666.0,144.0,9.0,104.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,330.0,1416.0,1037.0,1938.0,1770.0,1924.0,1042.0,253.0,73.0,209.0,8.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,157.0,997.0,730.0,1615.0,1739.0,2036.0,1506.0,460.0,224.0,509.0,27.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,46.0,446.0,401.0,860.0,831.0,1534.0,2538.0,1159.0,751.0,1314.0,116.0,4.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,143.0,111.0,358.0,273.0,679.0,1851.0,2278.0,1596.0,2246.0,426.0,28.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,33.0,107.0,83.0,247.0,1054.0,2558.0,2453.0,2469.0,874.0,89.0,9.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,14.0,9.0,38.0,426.0,2304.0,3217.0,2040.0,1655.0,230.0,65.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,56.0,713.0,1516.0,898.0,5327.0,959.0,530.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,152.0,143.0,1318.0,4752.0,3600.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,8.0,248.0,3938.0,5796.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7839.0,2161.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2161.0,7839.0
