Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Botafogo,Red Bull Bragantino,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Mirassol,Remo,Chapecoense
4915.0,4892.0,137.0,26.0,20.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4347.0,4283.0,824.0,259.0,178.0,81.0,5.0,20.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622.0,651.0,4319.0,1960.0,1146.0,784.0,109.0,240.0,68.0,19.0,32.0,16.0,2.0,12.0,1.0,14.0,5.0,0.0,0.0,0.0
91.0,131.0,2242.0,2542.0,1970.0,1505.0,311.0,619.0,205.0,91.0,121.0,72.0,15.0,21.0,11.0,41.0,11.0,1.0,0.0,0.0
19.0,29.0,1186.0,2053.0,2000.0,1841.0,566.0,998.0,416.0,192.0,274.0,156.0,48.0,65.0,14.0,90.0,53.0,0.0,0.0,0.0
5.0,8.0,610.0,1275.0,1671.0,1759.0,911.0,1332.0,703.0,386.0,452.0,301.0,86.0,149.0,57.0,181.0,111.0,3.0,0.0,0.0
1.0,5.0,326.0,779.0,1045.0,1327.0,1131.0,1506.0,1023.0,641.0,676.0,459.0,160.0,264.0,103.0,316.0,222.0,14.0,2.0,0.0
0.0,1.0,152.0,473.0,702.0,922.0,1320.0,1238.0,1211.0,843.0,906.0,636.0,273.0,378.0,148.0,468.0,307.0,20.0,2.0,0.0
0.0,0.0,109.0,258.0,476.0,650.0,1153.0,1100.0,1266.0,907.0,1011.0,780.0,404.0,565.0,245.0,604.0,441.0,29.0,2.0,0.0
0.0,0.0,53.0,170.0,308.0,417.0,1120.0,809.0,1108.0,999.0,1080.0,908.0,536.0,706.0,350.0,786.0,573.0,64.0,12.0,1.0
0.0,0.0,18.0,101.0,196.0,264.0,882.0,664.0,1017.0,1046.0,1075.0,973.0,600.0,926.0,454.0,901.0,758.0,110.0,15.0,0.0
0.0,0.0,14.0,46.0,131.0,192.0,765.0,453.0,843.0,1081.0,986.0,1001.0,738.0,1043.0,647.0,1004.0,869.0,159.0,27.0,1.0
0.0,0.0,7.0,28.0,68.0,89.0,594.0,386.0,690.0,952.0,875.0,1088.0,936.0,1080.0,851.0,1013.0,1014.0,264.0,60.0,5.0
0.0,0.0,3.0,11.0,47.0,69.0,431.0,237.0,528.0,897.0,768.0,948.0,1094.0,1142.0,995.0,1143.0,1154.0,432.0,94.0,7.0
0.0,0.0,0.0,10.0,27.0,55.0,335.0,182.0,403.0,741.0,674.0,874.0,1197.0,1144.0,1262.0,1076.0,1185.0,596.0,214.0,25.0
0.0,0.0,0.0,8.0,9.0,27.0,203.0,112.0,280.0,555.0,502.0,831.0,1387.0,1035.0,1467.0,994.0,1220.0,916.0,381.0,73.0
0.0,0.0,0.0,1.0,4.0,7.0,118.0,79.0,162.0,395.0,362.0,585.0,1358.0,823.0,1657.0,756.0,1123.0,1568.0,835.0,167.0
0.0,0.0,0.0,0.0,2.0,2.0,38.0,21.0,57.0,201.0,155.0,288.0,834.0,448.0,1221.0,436.0,668.0,3134.0,1864.0,631.0
0.0,0.0,0.0,0.0,0.0,1.0,7.0,3.0,16.0,50.0,47.0,81.0,295.0,177.0,444.0,157.0,253.0,2056.0,4413.0,2000.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,3.0,37.0,22.0,73.0,20.0,33.0,634.0,2079.0,7090.0
