Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
221.0,266.0,9.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229.0,195.0,50.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,34.0,228.0,86.0,56.0,44.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5.0,3.0,96.0,143.0,124.0,60.0,12.0,20.0,14.0,5.0,5.0,1.0,3.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0
4.0,2.0,69.0,105.0,97.0,88.0,28.0,22.0,28.0,16.0,14.0,13.0,2.0,5.0,0.0,2.0,5.0,0.0,0.0,0.0
0.0,0.0,24.0,55.0,93.0,97.0,34.0,41.0,44.0,21.0,22.0,19.0,7.0,15.0,2.0,14.0,11.0,0.0,1.0,0.0
0.0,0.0,17.0,36.0,46.0,72.0,59.0,59.0,55.0,30.0,41.0,24.0,8.0,20.0,3.0,14.0,16.0,0.0,0.0,0.0
1.0,0.0,5.0,21.0,33.0,42.0,54.0,68.0,65.0,36.0,46.0,33.0,20.0,20.0,12.0,24.0,19.0,0.0,1.0,0.0
0.0,0.0,2.0,14.0,18.0,34.0,59.0,50.0,58.0,50.0,47.0,49.0,31.0,27.0,12.0,23.0,24.0,2.0,0.0,0.0
0.0,0.0,0.0,8.0,14.0,18.0,41.0,59.0,47.0,59.0,41.0,43.0,27.0,39.0,24.0,40.0,34.0,4.0,2.0,0.0
0.0,0.0,0.0,10.0,2.0,13.0,54.0,49.0,41.0,53.0,47.0,38.0,33.0,43.0,25.0,49.0,37.0,2.0,3.0,1.0
0.0,0.0,0.0,2.0,4.0,9.0,35.0,26.0,45.0,40.0,58.0,55.0,58.0,50.0,20.0,46.0,41.0,4.0,7.0,0.0
0.0,0.0,0.0,3.0,5.0,8.0,31.0,33.0,31.0,43.0,46.0,44.0,43.0,55.0,34.0,49.0,49.0,8.0,17.0,1.0
0.0,0.0,0.0,1.0,2.0,2.0,34.0,20.0,22.0,42.0,36.0,48.0,45.0,46.0,51.0,58.0,55.0,18.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,29.0,20.0,17.0,37.0,30.0,47.0,57.0,53.0,57.0,53.0,51.0,23.0,23.0,0.0
0.0,0.0,0.0,1.0,0.0,1.0,10.0,14.0,16.0,32.0,27.0,33.0,62.0,45.0,74.0,44.0,60.0,36.0,41.0,4.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,19.0,25.0,28.0,48.0,46.0,82.0,37.0,57.0,60.0,69.0,5.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,3.0,11.0,11.0,20.0,37.0,26.0,63.0,28.0,31.0,115.0,119.0,23.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,4.0,5.0,19.0,7.0,34.0,10.0,8.0,182.0,152.0,69.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,7.0,1.0,1.0,46.0,45.0,397.0
