Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Bahia,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Grêmio,Cruzeiro,Vitória,Corinthians,Atlético-MG,Internacional,Santos,Remo,Mirassol,Chapecoense
217.0,268.0,9.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235.0,200.0,42.0,11.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40.0,25.0,220.0,87.0,72.0,41.0,3.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.0,6.0,105.0,140.0,111.0,71.0,11.0,17.0,8.0,2.0,7.0,6.0,3.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,55.0,117.0,91.0,100.0,23.0,25.0,30.0,10.0,18.0,12.0,4.0,4.0,2.0,6.0,1.0,0.0,0.0,0.0
0.0,0.0,37.0,66.0,76.0,74.0,44.0,45.0,43.0,20.0,29.0,22.0,6.0,13.0,4.0,9.0,12.0,0.0,0.0,0.0
0.0,0.0,16.0,31.0,61.0,67.0,69.0,51.0,48.0,35.0,30.0,29.0,13.0,13.0,6.0,18.0,11.0,2.0,0.0,0.0
0.0,0.0,13.0,23.0,25.0,50.0,53.0,59.0,67.0,52.0,34.0,25.0,16.0,23.0,11.0,31.0,13.0,2.0,3.0,0.0
0.0,0.0,1.0,9.0,22.0,22.0,62.0,61.0,48.0,40.0,52.0,48.0,30.0,29.0,10.0,37.0,26.0,1.0,2.0,0.0
0.0,0.0,1.0,8.0,20.0,22.0,44.0,50.0,56.0,49.0,53.0,43.0,29.0,36.0,17.0,28.0,38.0,5.0,1.0,0.0
0.0,0.0,0.0,1.0,8.0,16.0,42.0,48.0,47.0,65.0,41.0,39.0,42.0,35.0,24.0,43.0,37.0,7.0,5.0,0.0
0.0,0.0,0.0,1.0,3.0,6.0,41.0,46.0,28.0,45.0,59.0,55.0,31.0,46.0,35.0,40.0,43.0,9.0,12.0,0.0
0.0,0.0,0.0,1.0,1.0,11.0,33.0,25.0,34.0,44.0,40.0,46.0,55.0,65.0,28.0,45.0,47.0,10.0,15.0,0.0
0.0,0.0,1.0,1.0,3.0,3.0,24.0,22.0,28.0,43.0,38.0,40.0,62.0,53.0,37.0,56.0,53.0,15.0,21.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,18.0,14.0,27.0,32.0,39.0,42.0,48.0,46.0,58.0,52.0,61.0,29.0,30.0,0.0
0.0,0.0,0.0,0.0,1.0,3.0,15.0,14.0,10.0,28.0,27.0,38.0,53.0,43.0,62.0,53.0,54.0,52.0,46.0,1.0
0.0,0.0,0.0,0.0,0.0,1.0,10.0,11.0,12.0,19.0,15.0,27.0,52.0,39.0,80.0,48.0,58.0,60.0,61.0,7.0
0.0,0.0,0.0,0.0,0.0,1.0,6.0,5.0,4.0,13.0,15.0,21.0,39.0,32.0,74.0,18.0,30.0,107.0,122.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,3.0,2.0,6.0,17.0,19.0,41.0,13.0,13.0,170.0,144.0,63.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,2.0,2.0,31.0,37.0,416.0
