Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Red Bull Bragantino,Atlético-MG,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
3304.0,6686.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6460.0,3236.0,181.0,76.0,37.0,2.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220.0,71.0,4565.0,2831.0,1298.0,176.0,81.0,296.0,58.0,15.0,371.0,0.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
15.0,5.0,2455.0,2901.0,1921.0,519.0,291.0,713.0,202.0,70.0,838.0,9.0,47.0,6.0,2.0,1.0,5.0,0.0,0.0,0.0
1.0,1.0,1368.0,1819.0,1881.0,1038.0,541.0,1184.0,452.0,185.0,1319.0,19.0,135.0,12.0,20.0,0.0,24.0,1.0,0.0,0.0
0.0,1.0,709.0,1028.0,1544.0,1356.0,868.0,1453.0,751.0,314.0,1519.0,53.0,272.0,33.0,42.0,10.0,39.0,5.0,3.0,0.0
0.0,0.0,373.0,641.0,1168.0,1446.0,1087.0,1432.0,980.0,570.0,1456.0,97.0,472.0,63.0,95.0,17.0,92.0,6.0,5.0,0.0
0.0,0.0,177.0,344.0,857.0,1339.0,1230.0,1381.0,1236.0,734.0,1285.0,202.0,639.0,140.0,170.0,49.0,187.0,21.0,9.0,0.0
0.0,0.0,93.0,178.0,565.0,1238.0,1290.0,1107.0,1386.0,1027.0,1048.0,308.0,800.0,202.0,282.0,95.0,324.0,38.0,19.0,0.0
0.0,0.0,44.0,88.0,352.0,955.0,1292.0,844.0,1278.0,1233.0,796.0,451.0,1166.0,328.0,479.0,168.0,426.0,60.0,40.0,0.0
0.0,0.0,18.0,61.0,203.0,753.0,1071.0,628.0,1143.0,1371.0,553.0,660.0,1309.0,511.0,625.0,283.0,646.0,100.0,65.0,0.0
0.0,0.0,5.0,16.0,105.0,473.0,793.0,431.0,904.0,1333.0,364.0,987.0,1343.0,786.0,835.0,415.0,849.0,211.0,150.0,0.0
0.0,0.0,2.0,11.0,40.0,320.0,578.0,247.0,653.0,1056.0,236.0,1216.0,1128.0,1007.0,1171.0,659.0,1074.0,345.0,257.0,0.0
0.0,0.0,0.0,3.0,16.0,188.0,396.0,137.0,419.0,804.0,111.0,1275.0,976.0,1189.0,1314.0,922.0,1264.0,571.0,415.0,0.0
0.0,0.0,2.0,1.0,8.0,114.0,238.0,79.0,256.0,610.0,50.0,1345.0,685.0,1295.0,1281.0,1217.0,1334.0,811.0,673.0,1.0
0.0,0.0,0.0,0.0,3.0,50.0,122.0,42.0,153.0,338.0,33.0,1296.0,484.0,1328.0,1254.0,1395.0,1267.0,1209.0,1021.0,5.0
0.0,0.0,0.0,1.0,2.0,23.0,76.0,14.0,84.0,197.0,11.0,1001.0,298.0,1283.0,1062.0,1590.0,1125.0,1717.0,1502.0,14.0
0.0,0.0,0.0,0.0,0.0,7.0,30.0,6.0,34.0,104.0,3.0,709.0,176.0,1065.0,832.0,1732.0,845.0,2207.0,2206.0,44.0
0.0,0.0,0.0,0.0,0.0,3.0,16.0,4.0,11.0,39.0,0.0,364.0,53.0,730.0,522.0,1413.0,484.0,2599.0,3513.0,249.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,22.0,13.0,34.0,15.0,99.0,122.0,9687.0
