Espanyol,Alavés,Atlético Madrid,Sevilla,Racing Santander,Villarreal,Deportivo La Coruña,Elche,Athletic Club,Barcelona,Celta Vigo,Osasuna,Real Betis,Real Madrid,Real Sociedad,Valencia,Rayo Vallecano,Málaga,Levante,Getafe
0.0,0.0,75.0,0.0,0.0,156.0,0.0,0.0,0.0,7622.0,3.0,0.0,15.0,2129.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,623.0,0.0,11.0,1091.0,3.0,2.0,0.0,2079.0,60.0,3.0,158.0,5938.0,13.0,9.0,3.0,0.0,0.0,1.0
25.0,61.0,2673.0,10.0,95.0,3642.0,65.0,30.0,1.0,244.0,451.0,37.0,1003.0,1422.0,144.0,32.0,54.0,4.0,2.0,5.0
104.0,172.0,2608.0,60.0,316.0,2447.0,226.0,108.0,16.0,49.0,1004.0,134.0,1621.0,364.0,373.0,166.0,171.0,23.0,11.0,27.0
226.0,352.0,1612.0,126.0,524.0,1245.0,449.0,230.0,49.0,6.0,1397.0,261.0,1885.0,110.0,692.0,325.0,359.0,63.0,22.0,67.0
377.0,486.0,945.0,239.0,814.0,589.0,655.0,358.0,112.0,0.0,1373.0,431.0,1407.0,27.0,886.0,429.0,557.0,100.0,84.0,131.0
471.0,637.0,530.0,335.0,826.0,327.0,784.0,457.0,147.0,0.0,1130.0,501.0,1067.0,5.0,1021.0,588.0,699.0,164.0,119.0,192.0
566.0,714.0,323.0,436.0,852.0,198.0,821.0,623.0,198.0,0.0,956.0,585.0,744.0,4.0,893.0,648.0,770.0,246.0,157.0,266.0
595.0,805.0,221.0,520.0,851.0,118.0,810.0,611.0,232.0,0.0,742.0,637.0,579.0,1.0,868.0,724.0,790.0,305.0,247.0,344.0
711.0,746.0,130.0,570.0,806.0,77.0,809.0,699.0,337.0,0.0,673.0,688.0,431.0,0.0,798.0,688.0,746.0,371.0,326.0,394.0
704.0,778.0,96.0,620.0,783.0,43.0,754.0,760.0,393.0,0.0,498.0,743.0,303.0,0.0,757.0,775.0,756.0,422.0,375.0,440.0
773.0,738.0,53.0,697.0,724.0,30.0,723.0,767.0,474.0,0.0,380.0,769.0,231.0,0.0,607.0,716.0,832.0,488.0,442.0,556.0
731.0,738.0,37.0,748.0,640.0,14.0,673.0,761.0,569.0,0.0,346.0,756.0,166.0,0.0,628.0,745.0,690.0,601.0,506.0,651.0
737.0,734.0,30.0,801.0,573.0,11.0,626.0,730.0,623.0,0.0,288.0,795.0,127.0,0.0,537.0,698.0,694.0,690.0,583.0,723.0
768.0,638.0,13.0,791.0,571.0,6.0,591.0,743.0,743.0,0.0,212.0,762.0,95.0,0.0,446.0,704.0,616.0,779.0,713.0,809.0
720.0,619.0,13.0,804.0,480.0,2.0,527.0,719.0,818.0,0.0,186.0,678.0,60.0,0.0,422.0,683.0,653.0,905.0,838.0,873.0
714.0,585.0,8.0,835.0,410.0,1.0,503.0,701.0,969.0,0.0,122.0,648.0,55.0,0.0,337.0,606.0,524.0,969.0,1017.0,996.0
697.0,494.0,6.0,859.0,310.0,2.0,451.0,658.0,1175.0,0.0,101.0,593.0,31.0,0.0,260.0,592.0,470.0,1114.0,1136.0,1051.0
606.0,412.0,3.0,804.0,228.0,0.0,318.0,579.0,1419.0,0.0,54.0,565.0,18.0,0.0,206.0,503.0,346.0,1289.0,1474.0,1176.0
473.0,287.0,1.0,745.0,186.0,1.0,212.0,464.0,1725.0,0.0,24.0,414.0,4.0,0.0,112.0,369.0,270.0,1467.0,1948.0,1298.0
