Arouca,FC Porto,Maritimo,C.D. Nacional,Santa Clara,Benfica,Sporting CP,Gil Vicente,Estrela,Braga,FC Famalicao,Estoril,Moreirense,Académico de Viseu,Alverca,Vitória de Guimaraes,Rio Ave,Casa Pia
0.0,3884.0,0.0,0.0,0.0,2718.0,3378.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,3235.0,7.0,0.0,0.0,3257.0,3378.0,2.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2654.0,72.0,2.0,1.0,3625.0,3001.0,34.0,0.0,579.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249.0,214.0,1284.0,131.0,60.0,359.0,230.0,977.0,3.0,5542.0,814.0,31.0,1.0,103.0,1.0,1.0,0.0,0.0
773.0,13.0,2237.0,426.0,275.0,35.0,12.0,1808.0,30.0,2032.0,1817.0,165.0,11.0,334.0,10.0,21.0,1.0,0.0
1149.0,0.0,1941.0,761.0,504.0,5.0,1.0,1863.0,83.0,862.0,1814.0,297.0,18.0,619.0,27.0,53.0,3.0,0.0
1327.0,0.0,1475.0,971.0,781.0,1.0,0.0,1548.0,139.0,429.0,1702.0,475.0,56.0,881.0,67.0,135.0,11.0,2.0
1363.0,0.0,1080.0,1189.0,977.0,0.0,0.0,1258.0,267.0,206.0,1275.0,778.0,94.0,1097.0,149.0,242.0,24.0,1.0
1333.0,0.0,688.0,1256.0,1206.0,0.0,0.0,939.0,440.0,121.0,946.0,992.0,219.0,1212.0,220.0,377.0,44.0,7.0
1146.0,0.0,513.0,1307.0,1298.0,0.0,0.0,606.0,642.0,43.0,635.0,1173.0,312.0,1318.0,383.0,514.0,100.0,10.0
924.0,0.0,328.0,1162.0,1364.0,0.0,0.0,402.0,855.0,29.0,447.0,1270.0,510.0,1215.0,537.0,727.0,196.0,34.0
676.0,0.0,183.0,988.0,1204.0,0.0,0.0,243.0,1108.0,10.0,242.0,1321.0,725.0,1080.0,830.0,1003.0,317.0,70.0
497.0,0.0,106.0,757.0,881.0,0.0,0.0,160.0,1372.0,4.0,159.0,1174.0,1038.0,807.0,1126.0,1239.0,541.0,139.0
280.0,0.0,50.0,475.0,655.0,0.0,0.0,98.0,1486.0,0.0,80.0,988.0,1341.0,597.0,1399.0,1488.0,808.0,255.0
162.0,0.0,23.0,330.0,420.0,0.0,0.0,45.0,1333.0,1.0,30.0,663.0,1615.0,381.0,1686.0,1502.0,1329.0,480.0
77.0,0.0,8.0,150.0,257.0,0.0,0.0,12.0,1142.0,1.0,11.0,408.0,1758.0,231.0,1632.0,1369.0,1927.0,1017.0
28.0,0.0,4.0,79.0,97.0,0.0,0.0,4.0,779.0,0.0,4.0,200.0,1544.0,101.0,1359.0,931.0,2775.0,2095.0
8.0,0.0,1.0,16.0,20.0,0.0,0.0,1.0,321.0,0.0,0.0,65.0,758.0,24.0,574.0,398.0,1924.0,5890.0
