AZ Alkmaar,FC Groningen,Go Ahead Eagles,Fortuna Sittard,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Heerenveen,Excelsior,NEC Nijmegen,Sparta Rotterdam,FC Twente,Telstar,FC Utrecht,PEC Zwolle,ADO Den Haag,Willem II,SC Cambuur
259.0,158.0,45.0,0.0,717.0,7351.0,631.0,34.0,1.0,417.0,0.0,374.0,1.0,12.0,0.0,0.0,0.0,0.0
881.0,634.0,223.0,5.0,1890.0,1549.0,1816.0,225.0,17.0,1330.0,1.0,1343.0,15.0,71.0,0.0,0.0,0.0,0.0
1156.0,811.0,367.0,14.0,1750.0,581.0,1778.0,415.0,41.0,1427.0,1.0,1463.0,37.0,158.0,0.0,0.0,0.0,1.0
1313.0,1048.0,522.0,37.0,1483.0,288.0,1486.0,576.0,87.0,1409.0,1.0,1412.0,64.0,272.0,1.0,1.0,0.0,0.0
1298.0,1168.0,669.0,69.0,1210.0,121.0,1293.0,814.0,151.0,1353.0,4.0,1297.0,152.0,399.0,0.0,1.0,1.0,0.0
1258.0,1237.0,873.0,119.0,978.0,65.0,978.0,1106.0,264.0,1161.0,11.0,1133.0,214.0,601.0,0.0,1.0,1.0,0.0
1090.0,1298.0,1104.0,179.0,759.0,32.0,737.0,1164.0,430.0,936.0,20.0,1018.0,407.0,819.0,0.0,6.0,1.0,0.0
952.0,1145.0,1272.0,370.0,513.0,9.0,554.0,1346.0,595.0,744.0,47.0,723.0,636.0,1074.0,2.0,10.0,2.0,6.0
711.0,980.0,1363.0,610.0,332.0,3.0,329.0,1333.0,897.0,527.0,139.0,537.0,814.0,1354.0,3.0,32.0,24.0,12.0
514.0,647.0,1262.0,853.0,208.0,1.0,218.0,1134.0,1267.0,364.0,278.0,353.0,1305.0,1445.0,19.0,62.0,44.0,26.0
308.0,474.0,1003.0,1369.0,96.0,0.0,110.0,830.0,1594.0,188.0,481.0,218.0,1584.0,1335.0,56.0,148.0,120.0,86.0
153.0,239.0,693.0,1694.0,48.0,0.0,49.0,536.0,1758.0,91.0,823.0,82.0,1754.0,1136.0,163.0,317.0,281.0,183.0
61.0,104.0,353.0,1899.0,9.0,0.0,14.0,301.0,1393.0,41.0,1535.0,36.0,1423.0,754.0,366.0,652.0,612.0,447.0
36.0,41.0,167.0,1326.0,6.0,0.0,5.0,136.0,767.0,10.0,2137.0,8.0,872.0,362.0,771.0,1270.0,1143.0,943.0
7.0,12.0,55.0,771.0,1.0,0.0,2.0,31.0,436.0,2.0,1789.0,3.0,418.0,132.0,1252.0,1864.0,1746.0,1479.0
2.0,3.0,23.0,406.0,0.0,0.0,0.0,14.0,198.0,0.0,1397.0,0.0,185.0,57.0,1863.0,2003.0,1940.0,1909.0
1.0,1.0,6.0,199.0,0.0,0.0,0.0,5.0,77.0,0.0,869.0,0.0,100.0,14.0,2428.0,1937.0,2097.0,2266.0
0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,27.0,0.0,467.0,0.0,19.0,5.0,3076.0,1696.0,1988.0,2642.0
