Queens Park Rangers,Millwall,Swansea City,West Bromwich Albion,Bolton Wanderers,Charlton Athletic,Middlesbrough,Watford,Blackburn Rovers,West Ham United,Burnley,Wolverhampton Wanderers,Wrexham,Cardiff City,Birmingham City,Sheffield United,Derby County,Lincoln City,Preston North End,Norwich City,Stoke City,Portsmouth,Bristol City,Southampton
27.0,2488.0,179.0,30.0,385.0,6.0,3301.0,4.0,1.0,119.0,100.0,87.0,203.0,82.0,91.0,177.0,282.0,25.0,5.0,319.0,3.0,2.0,24.0,2060.0
67.0,1931.0,340.0,76.0,619.0,9.0,2094.0,16.0,8.0,214.0,198.0,175.0,390.0,198.0,205.0,319.0,505.0,67.0,14.0,575.0,9.0,1.0,38.0,1932.0
121.0,1498.0,476.0,151.0,762.0,28.0,1385.0,33.0,17.0,308.0,277.0,269.0,509.0,264.0,325.0,432.0,653.0,127.0,27.0,717.0,30.0,7.0,89.0,1495.0
168.0,1075.0,574.0,174.0,856.0,62.0,940.0,60.0,26.0,403.0,408.0,380.0,588.0,356.0,425.0,523.0,701.0,197.0,46.0,746.0,37.0,20.0,132.0,1103.0
234.0,758.0,606.0,238.0,821.0,67.0,644.0,79.0,44.0,485.0,446.0,492.0,657.0,454.0,489.0,557.0,785.0,207.0,75.0,812.0,57.0,22.0,169.0,802.0
279.0,538.0,670.0,310.0,814.0,113.0,467.0,132.0,79.0,524.0,499.0,495.0,637.0,525.0,511.0,645.0,747.0,271.0,96.0,744.0,56.0,28.0,206.0,614.0
297.0,424.0,690.0,371.0,735.0,144.0,297.0,166.0,93.0,618.0,554.0,537.0,628.0,544.0,565.0,608.0,736.0,301.0,126.0,739.0,82.0,40.0,271.0,434.0
374.0,339.0,660.0,402.0,657.0,165.0,247.0,167.0,122.0,562.0,640.0,517.0,643.0,518.0,608.0,616.0,705.0,356.0,141.0,659.0,128.0,80.0,326.0,368.0
398.0,246.0,619.0,485.0,605.0,235.0,183.0,228.0,148.0,572.0,565.0,584.0,664.0,579.0,599.0,602.0,633.0,394.0,184.0,604.0,164.0,85.0,360.0,264.0
429.0,167.0,640.0,508.0,587.0,248.0,121.0,243.0,199.0,610.0,583.0,592.0,599.0,565.0,574.0,576.0,553.0,455.0,224.0,584.0,206.0,110.0,411.0,216.0
479.0,142.0,597.0,516.0,497.0,272.0,93.0,336.0,183.0,591.0,579.0,626.0,532.0,587.0,561.0,567.0,542.0,471.0,277.0,525.0,278.0,121.0,454.0,174.0
527.0,94.0,589.0,545.0,458.0,343.0,70.0,318.0,282.0,555.0,575.0,588.0,536.0,551.0,573.0,582.0,507.0,498.0,269.0,481.0,271.0,159.0,512.0,117.0
527.0,79.0,480.0,551.0,401.0,402.0,46.0,391.0,315.0,576.0,582.0,558.0,496.0,563.0,565.0,538.0,444.0,522.0,367.0,470.0,316.0,190.0,506.0,115.0
594.0,58.0,504.0,559.0,334.0,420.0,23.0,442.0,361.0,559.0,547.0,530.0,467.0,552.0,554.0,526.0,387.0,566.0,411.0,371.0,388.0,224.0,550.0,73.0
604.0,49.0,430.0,583.0,313.0,497.0,27.0,522.0,405.0,512.0,532.0,521.0,419.0,537.0,489.0,473.0,348.0,616.0,470.0,328.0,402.0,298.0,543.0,82.0
612.0,41.0,380.0,623.0,270.0,542.0,18.0,549.0,489.0,452.0,522.0,491.0,384.0,505.0,504.0,427.0,304.0,600.0,504.0,293.0,498.0,352.0,593.0,47.0
558.0,31.0,326.0,600.0,224.0,617.0,16.0,655.0,506.0,484.0,436.0,462.0,382.0,474.0,471.0,382.0,272.0,581.0,601.0,244.0,599.0,450.0,596.0,33.0
617.0,15.0,330.0,575.0,183.0,650.0,7.0,670.0,639.0,419.0,411.0,456.0,296.0,460.0,430.0,327.0,213.0,631.0,667.0,221.0,637.0,489.0,633.0,24.0
574.0,8.0,249.0,521.0,150.0,735.0,10.0,731.0,754.0,352.0,386.0,421.0,264.0,434.0,365.0,299.0,212.0,576.0,725.0,170.0,751.0,656.0,648.0,9.0
592.0,6.0,232.0,533.0,117.0,876.0,8.0,763.0,803.0,317.0,302.0,335.0,239.0,334.0,315.0,267.0,177.0,628.0,833.0,135.0,796.0,753.0,627.0,12.0
574.0,10.0,170.0,513.0,71.0,867.0,2.0,850.0,917.0,292.0,298.0,282.0,177.0,315.0,271.0,226.0,130.0,560.0,854.0,96.0,923.0,962.0,625.0,15.0
512.0,2.0,129.0,487.0,83.0,871.0,0.0,874.0,1073.0,218.0,268.0,264.0,151.0,252.0,223.0,153.0,90.0,493.0,952.0,82.0,997.0,1179.0,640.0,7.0
474.0,1.0,83.0,374.0,39.0,992.0,1.0,923.0,1204.0,150.0,170.0,201.0,93.0,211.0,173.0,114.0,45.0,518.0,1070.0,51.0,1141.0,1441.0,528.0,3.0
362.0,0.0,47.0,275.0,19.0,839.0,0.0,848.0,1332.0,108.0,122.0,137.0,46.0,140.0,114.0,64.0,29.0,340.0,1062.0,34.0,1231.0,2331.0,519.0,1.0
