Manchester City,Arsenal,Hull City,Chelsea,Brentford,Liverpool,Newcastle United,Everton,Leeds United,Brighton & Hove Albion,Manchester United,Sunderland,Crystal Palace,Ipswich Town,AFC Bournemouth,Nottingham Forest,Aston Villa,Tottenham Hotspur,Fulham,Coventry City
4330.0,4791.0,6.0,101.0,93.0,144.0,36.0,32.0,29.0,85.0,283.0,12.0,2.0,0.0,29.0,10.0,14.0,1.0,2.0,0.0
3465.0,3369.0,33.0,350.0,303.0,526.0,173.0,153.0,128.0,355.0,783.0,60.0,16.0,0.0,137.0,64.0,62.0,5.0,18.0,0.0
1133.0,1019.0,103.0,883.0,831.0,1204.0,508.0,446.0,394.0,832.0,1504.0,178.0,53.0,1.0,440.0,189.0,203.0,21.0,58.0,0.0
465.0,405.0,214.0,992.0,955.0,1245.0,659.0,556.0,545.0,944.0,1358.0,300.0,95.0,0.0,554.0,279.0,302.0,38.0,94.0,0.0
249.0,187.0,275.0,970.0,935.0,1017.0,714.0,721.0,615.0,930.0,1173.0,343.0,170.0,2.0,680.0,420.0,398.0,67.0,134.0,0.0
164.0,106.0,384.0,927.0,934.0,944.0,725.0,704.0,701.0,903.0,930.0,424.0,204.0,3.0,709.0,473.0,472.0,115.0,178.0,0.0
80.0,46.0,391.0,854.0,818.0,844.0,818.0,774.0,778.0,903.0,761.0,507.0,243.0,3.0,751.0,562.0,499.0,130.0,238.0,0.0
43.0,31.0,458.0,791.0,763.0,790.0,808.0,738.0,790.0,772.0,675.0,537.0,328.0,7.0,791.0,601.0,586.0,201.0,290.0,0.0
24.0,15.0,550.0,715.0,734.0,670.0,760.0,759.0,730.0,743.0,564.0,618.0,398.0,16.0,725.0,691.0,660.0,271.0,357.0,0.0
18.0,18.0,613.0,705.0,707.0,546.0,722.0,741.0,759.0,633.0,453.0,690.0,441.0,32.0,755.0,735.0,666.0,324.0,441.0,1.0
11.0,5.0,656.0,584.0,564.0,451.0,751.0,749.0,774.0,615.0,402.0,765.0,519.0,46.0,739.0,737.0,746.0,372.0,510.0,4.0
9.0,6.0,776.0,506.0,534.0,379.0,673.0,713.0,714.0,505.0,319.0,779.0,670.0,58.0,699.0,791.0,742.0,507.0,617.0,3.0
1.0,1.0,820.0,428.0,473.0,355.0,604.0,669.0,664.0,460.0,243.0,814.0,722.0,85.0,716.0,779.0,812.0,613.0,734.0,7.0
4.0,1.0,900.0,366.0,404.0,283.0,553.0,621.0,618.0,402.0,195.0,814.0,847.0,145.0,588.0,843.0,782.0,724.0,897.0,13.0
2.0,0.0,978.0,315.0,349.0,247.0,503.0,525.0,531.0,344.0,144.0,858.0,998.0,230.0,492.0,767.0,804.0,908.0,970.0,35.0
2.0,0.0,926.0,225.0,260.0,186.0,398.0,468.0,470.0,247.0,112.0,819.0,1126.0,445.0,489.0,752.0,770.0,1128.0,1123.0,54.0
0.0,0.0,897.0,173.0,202.0,96.0,320.0,325.0,398.0,187.0,58.0,662.0,1284.0,789.0,359.0,641.0,685.0,1472.0,1302.0,150.0
0.0,0.0,681.0,88.0,105.0,56.0,205.0,238.0,273.0,98.0,36.0,576.0,1236.0,1609.0,259.0,460.0,547.0,1800.0,1275.0,458.0
0.0,0.0,299.0,24.0,27.0,17.0,62.0,63.0,79.0,42.0,6.0,207.0,567.0,4420.0,81.0,186.0,214.0,1065.0,650.0,1991.0
0.0,0.0,40.0,3.0,9.0,0.0,8.0,5.0,10.0,0.0,1.0,37.0,81.0,2109.0,7.0,20.0,36.0,238.0,112.0,7284.0
