Barcelona,Alavés,Real Madrid,Real Betis,Deportivo La Coruña,Atlético Madrid,Sevilla,Osasuna,Real Sociedad,Athletic Club,Levante,Espanyol,Racing Santander,Rayo Vallecano,Getafe,Celta Vigo,Villarreal,Málaga,Elche,Valencia
8382.0,16.0,1470.0,43.0,0.0,60.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,18.0,0.0,0.0,0.0
1422.0,295.0,6179.0,707.0,37.0,647.0,37.0,76.0,89.0,36.0,33.0,10.0,0.0,34.0,12.0,32.0,347.0,0.0,5.0,2.0
147.0,1038.0,1357.0,2133.0,228.0,1978.0,206.0,289.0,461.0,192.0,125.0,84.0,4.0,212.0,83.0,184.0,1243.0,0.0,25.0,11.0
36.0,1172.0,513.0,1689.0,390.0,1626.0,354.0,515.0,651.0,344.0,269.0,161.0,22.0,333.0,152.0,271.0,1425.0,0.0,42.0,35.0
6.0,1144.0,235.0,1294.0,453.0,1308.0,505.0,612.0,794.0,444.0,399.0,245.0,33.0,409.0,292.0,433.0,1233.0,0.0,78.0,83.0
4.0,1064.0,114.0,1001.0,582.0,1035.0,629.0,677.0,843.0,523.0,465.0,315.0,52.0,532.0,328.0,491.0,1124.0,1.0,115.0,105.0
1.0,910.0,57.0,755.0,658.0,816.0,618.0,780.0,846.0,603.0,577.0,422.0,82.0,637.0,437.0,609.0,873.0,0.0,173.0,146.0
1.0,856.0,35.0,655.0,726.0,614.0,709.0,770.0,849.0,601.0,639.0,448.0,116.0,661.0,509.0,649.0,738.0,1.0,235.0,188.0
0.0,687.0,21.0,468.0,725.0,526.0,767.0,773.0,830.0,713.0,655.0,524.0,146.0,689.0,580.0,697.0,626.0,2.0,318.0,253.0
0.0,593.0,8.0,346.0,774.0,371.0,814.0,776.0,751.0,738.0,691.0,577.0,202.0,791.0,635.0,725.0,539.0,2.0,354.0,313.0
1.0,518.0,5.0,260.0,755.0,309.0,790.0,760.0,709.0,764.0,786.0,685.0,256.0,724.0,658.0,760.0,483.0,3.0,397.0,377.0
0.0,423.0,2.0,191.0,751.0,224.0,782.0,757.0,638.0,762.0,769.0,708.0,356.0,752.0,770.0,787.0,347.0,5.0,492.0,484.0
0.0,376.0,4.0,166.0,719.0,141.0,749.0,710.0,608.0,748.0,755.0,799.0,448.0,785.0,725.0,763.0,319.0,12.0,615.0,558.0
0.0,289.0,0.0,130.0,696.0,139.0,661.0,586.0,491.0,726.0,760.0,901.0,627.0,733.0,844.0,783.0,220.0,24.0,718.0,672.0
0.0,239.0,0.0,71.0,658.0,89.0,644.0,558.0,450.0,707.0,729.0,893.0,727.0,708.0,867.0,714.0,186.0,45.0,880.0,835.0
0.0,166.0,0.0,50.0,580.0,39.0,567.0,460.0,367.0,716.0,765.0,871.0,951.0,631.0,884.0,671.0,125.0,82.0,1019.0,1056.0
0.0,108.0,0.0,31.0,552.0,46.0,499.0,402.0,304.0,584.0,617.0,836.0,1286.0,556.0,821.0,605.0,76.0,168.0,1228.0,1281.0
0.0,71.0,0.0,9.0,390.0,20.0,403.0,306.0,195.0,450.0,551.0,816.0,1735.0,447.0,754.0,472.0,52.0,439.0,1415.0,1475.0
0.0,32.0,0.0,1.0,286.0,11.0,235.0,175.0,110.0,306.0,364.0,574.0,2335.0,332.0,558.0,309.0,23.0,1235.0,1471.0,1643.0
0.0,3.0,0.0,0.0,40.0,1.0,30.0,16.0,12.0,42.0,51.0,129.0,622.0,34.0,90.0,43.0,3.0,7981.0,420.0,483.0
