AS Monaco,Paris FC,Lyon,Lille,Stade Rennais,Strasbourg,Brest,Lorient,Troyes,Marseille,Lens,Angers,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1374.0,398.0,1015.0,1491.0,710.0,622.0,35.0,74.0,1.0,320.0,1306.0,4.0,2621.0,0.0,0.0,6.0,21.0,2.0
1373.0,572.0,1212.0,1412.0,803.0,777.0,68.0,151.0,0.0,529.0,1219.0,4.0,1821.0,0.0,1.0,6.0,44.0,8.0
1293.0,696.0,1125.0,1310.0,933.0,892.0,116.0,253.0,0.0,608.0,1234.0,11.0,1428.0,3.0,4.0,23.0,59.0,12.0
1163.0,843.0,1127.0,1205.0,1038.0,916.0,183.0,347.0,2.0,724.0,1136.0,32.0,1063.0,6.0,15.0,32.0,139.0,29.0
1054.0,911.0,1038.0,1011.0,1085.0,1004.0,242.0,427.0,3.0,896.0,1092.0,54.0,866.0,9.0,14.0,72.0,175.0,47.0
933.0,985.0,1057.0,853.0,1030.0,1068.0,361.0,613.0,6.0,954.0,927.0,81.0,673.0,19.0,19.0,88.0,260.0,73.0
746.0,1010.0,840.0,752.0,1038.0,1045.0,531.0,715.0,20.0,1066.0,851.0,129.0,511.0,31.0,54.0,156.0,373.0,132.0
665.0,979.0,759.0,625.0,931.0,964.0,661.0,913.0,23.0,1049.0,718.0,199.0,368.0,59.0,93.0,234.0,557.0,203.0
494.0,1019.0,622.0,488.0,797.0,810.0,860.0,1036.0,48.0,990.0,569.0,310.0,291.0,86.0,139.0,400.0,751.0,290.0
383.0,815.0,477.0,359.0,567.0,638.0,1162.0,1133.0,115.0,907.0,378.0,537.0,157.0,170.0,246.0,590.0,907.0,459.0
226.0,641.0,299.0,231.0,440.0,511.0,1192.0,1187.0,204.0,695.0,261.0,695.0,105.0,313.0,429.0,849.0,1064.0,658.0
157.0,432.0,201.0,137.0,292.0,325.0,1207.0,1017.0,320.0,475.0,156.0,957.0,60.0,514.0,594.0,1036.0,1221.0,899.0
86.0,292.0,104.0,66.0,156.0,203.0,1028.0,791.0,543.0,362.0,82.0,1268.0,23.0,698.0,838.0,1216.0,1174.0,1070.0
27.0,204.0,69.0,38.0,93.0,108.0,871.0,609.0,857.0,187.0,36.0,1327.0,11.0,943.0,1011.0,1310.0,1065.0,1234.0
13.0,113.0,33.0,11.0,51.0,65.0,636.0,355.0,1126.0,130.0,19.0,1322.0,2.0,1320.0,1384.0,1283.0,805.0,1332.0
9.0,61.0,14.0,6.0,26.0,33.0,443.0,207.0,1530.0,60.0,11.0,1280.0,0.0,1610.0,1581.0,1150.0,669.0,1310.0
3.0,22.0,6.0,5.0,8.0,13.0,264.0,128.0,2102.0,32.0,5.0,1029.0,0.0,1958.0,1754.0,939.0,467.0,1265.0
1.0,7.0,2.0,0.0,2.0,6.0,140.0,44.0,3100.0,16.0,0.0,761.0,0.0,2261.0,1824.0,610.0,249.0,977.0
