FC Augsburg,SC Freiburg,Borussia Dortmund,SV Elversberg,Mainz,Bayern Munich,Bayer Leverkusen,RB Leipzig,VfB Stuttgart,Werder Bremen,FC Cologne,SC Paderborn 07,Eintracht Frankfurt,Schalke 04,1. FC Union Berlin,TSG Hoffenheim,Borussia Mönchengladbach,Hamburg SV
23.0,47.0,1490.0,2.0,25.0,7862.0,211.0,127.0,192.0,1.0,1.0,0.0,2.0,0.0,3.0,14.0,0.0,0.0
252.0,334.0,4359.0,54.0,232.0,1590.0,1094.0,791.0,1045.0,11.0,25.0,0.0,24.0,0.0,9.0,165.0,11.0,4.0
530.0,752.0,1885.0,185.0,542.0,375.0,1849.0,1425.0,1716.0,37.0,86.0,2.0,96.0,0.0,37.0,434.0,31.0,18.0
743.0,978.0,964.0,279.0,791.0,101.0,1652.0,1486.0,1638.0,76.0,183.0,1.0,211.0,0.0,99.0,663.0,100.0,35.0
915.0,1095.0,548.0,442.0,893.0,43.0,1348.0,1345.0,1367.0,157.0,288.0,6.0,344.0,2.0,172.0,800.0,153.0,82.0
1017.0,1111.0,308.0,618.0,986.0,16.0,1047.0,1176.0,1089.0,257.0,405.0,7.0,473.0,1.0,227.0,910.0,231.0,121.0
1008.0,1094.0,210.0,734.0,997.0,8.0,827.0,903.0,812.0,401.0,521.0,9.0,591.0,6.0,312.0,1032.0,334.0,201.0
1011.0,947.0,110.0,856.0,1019.0,4.0,584.0,823.0,678.0,458.0,610.0,24.0,727.0,9.0,456.0,961.0,438.0,285.0
977.0,896.0,63.0,905.0,891.0,0.0,499.0,566.0,447.0,589.0,785.0,53.0,834.0,17.0,588.0,984.0,535.0,371.0
898.0,744.0,31.0,936.0,849.0,1.0,329.0,486.0,371.0,781.0,864.0,68.0,934.0,19.0,665.0,890.0,649.0,485.0
686.0,586.0,13.0,1032.0,753.0,0.0,213.0,328.0,252.0,894.0,989.0,136.0,1006.0,44.0,787.0,806.0,839.0,636.0
569.0,473.0,12.0,953.0,639.0,0.0,142.0,204.0,145.0,985.0,1006.0,211.0,1025.0,99.0,1013.0,703.0,990.0,831.0
488.0,377.0,5.0,846.0,509.0,0.0,87.0,150.0,126.0,1134.0,1076.0,352.0,988.0,172.0,1074.0,530.0,1079.0,1007.0
367.0,251.0,1.0,820.0,373.0,0.0,61.0,97.0,69.0,1201.0,1026.0,549.0,919.0,306.0,1203.0,447.0,1188.0,1122.0
290.0,204.0,0.0,590.0,252.0,0.0,36.0,61.0,35.0,1145.0,878.0,939.0,785.0,547.0,1205.0,328.0,1222.0,1483.0
149.0,81.0,1.0,452.0,169.0,0.0,18.0,24.0,13.0,1019.0,718.0,1675.0,593.0,1083.0,1110.0,216.0,1150.0,1529.0
62.0,27.0,0.0,245.0,64.0,0.0,2.0,8.0,5.0,628.0,394.0,3068.0,339.0,2435.0,720.0,95.0,725.0,1183.0
15.0,3.0,0.0,51.0,16.0,0.0,1.0,0.0,0.0,226.0,145.0,2900.0,109.0,5260.0,320.0,22.0,325.0,607.0
