AS Roma,Internazionale,Lazio,Como,AC Milan,Juventus,Frosinone,Atalanta,Cagliari,Sassuolo,Udinese,Napoli,Torino,Lecce,Bologna,Parma,Monza,Venezia,Genoa,Fiorentina
2174.0,5133.0,68.0,1567.0,165.0,650.0,2.0,122.0,0.0,5.0,6.0,105.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
2547.0,2373.0,222.0,2369.0,508.0,1191.0,18.0,356.0,16.0,24.0,30.0,329.0,3.0,0.0,13.0,0.0,0.0,0.0,1.0,0.0
2015.0,1259.0,492.0,2171.0,877.0,1634.0,57.0,652.0,56.0,70.0,86.0,585.0,9.0,3.0,27.0,0.0,0.0,0.0,5.0,2.0
1296.0,618.0,736.0,1561.0,1295.0,1850.0,101.0,990.0,107.0,138.0,212.0,962.0,21.0,4.0,78.0,7.0,0.0,0.0,12.0,12.0
829.0,324.0,1046.0,975.0,1422.0,1488.0,246.0,1305.0,205.0,300.0,316.0,1236.0,70.0,20.0,148.0,17.0,0.0,0.0,34.0,19.0
497.0,167.0,1322.0,582.0,1426.0,1069.0,328.0,1431.0,345.0,457.0,532.0,1348.0,110.0,36.0,255.0,17.0,3.0,0.0,45.0,30.0
279.0,70.0,1271.0,350.0,1225.0,799.0,503.0,1344.0,523.0,645.0,747.0,1301.0,201.0,67.0,456.0,39.0,4.0,0.0,78.0,98.0
186.0,30.0,1234.0,196.0,977.0,538.0,706.0,1080.0,734.0,860.0,949.0,1056.0,308.0,137.0,586.0,71.0,8.0,0.0,192.0,152.0
86.0,17.0,1038.0,102.0,702.0,342.0,869.0,873.0,940.0,1044.0,1016.0,950.0,439.0,218.0,731.0,138.0,9.0,2.0,257.0,227.0
48.0,7.0,808.0,68.0,457.0,200.0,1011.0,635.0,992.0,1032.0,1099.0,742.0,639.0,293.0,958.0,258.0,22.0,1.0,383.0,347.0
33.0,0.0,592.0,29.0,358.0,116.0,1042.0,439.0,1079.0,1097.0,1083.0,489.0,754.0,434.0,1062.0,359.0,42.0,9.0,529.0,454.0
6.0,0.0,431.0,20.0,218.0,62.0,1074.0,309.0,1060.0,1018.0,998.0,331.0,939.0,600.0,1081.0,485.0,83.0,14.0,665.0,606.0
3.0,1.0,286.0,3.0,156.0,32.0,938.0,200.0,1001.0,869.0,891.0,251.0,1069.0,775.0,1085.0,695.0,129.0,32.0,797.0,787.0
1.0,1.0,199.0,5.0,90.0,13.0,913.0,120.0,899.0,745.0,660.0,161.0,1173.0,959.0,969.0,869.0,208.0,60.0,957.0,998.0
0.0,0.0,123.0,2.0,57.0,9.0,717.0,67.0,727.0,632.0,538.0,72.0,1149.0,1155.0,814.0,1145.0,350.0,115.0,1163.0,1165.0
0.0,0.0,73.0,0.0,38.0,5.0,619.0,39.0,545.0,490.0,390.0,38.0,1060.0,1365.0,672.0,1338.0,613.0,245.0,1256.0,1214.0
0.0,0.0,36.0,0.0,16.0,2.0,416.0,29.0,400.0,307.0,257.0,27.0,937.0,1448.0,534.0,1468.0,986.0,473.0,1295.0,1369.0
0.0,0.0,20.0,0.0,9.0,0.0,286.0,8.0,262.0,174.0,125.0,8.0,677.0,1332.0,333.0,1601.0,1712.0,946.0,1233.0,1274.0
0.0,0.0,3.0,0.0,4.0,0.0,132.0,1.0,97.0,72.0,57.0,8.0,352.0,856.0,159.0,1106.0,3191.0,2296.0,795.0,871.0
0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,12.0,21.0,8.0,1.0,90.0,298.0,36.0,387.0,2640.0,5807.0,303.0,375.0
