Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6555.0,2929.0,337.0,50.0,70.0,22.0,26.0,5.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2586.0,4796.0,1338.0,389.0,422.0,172.0,137.0,49.0,76.0,24.0,3.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0
620.0,1408.0,3379.0,1305.0,1352.0,580.0,595.0,239.0,343.0,85.0,19.0,43.0,10.0,9.0,6.0,6.0,1.0,0.0,0.0,0.0
165.0,469.0,1975.0,1836.0,1790.0,1038.0,1072.0,504.0,661.0,220.0,51.0,91.0,46.0,31.0,19.0,24.0,7.0,1.0,0.0,0.0
46.0,236.0,1208.0,1701.0,1597.0,1243.0,1286.0,729.0,943.0,364.0,119.0,231.0,93.0,80.0,47.0,45.0,25.0,6.0,1.0,0.0
12.0,94.0,717.0,1328.0,1374.0,1349.0,1430.0,980.0,1142.0,522.0,193.0,341.0,141.0,139.0,91.0,93.0,46.0,8.0,0.0,0.0
15.0,44.0,451.0,1063.0,1077.0,1257.0,1350.0,1119.0,1225.0,727.0,328.0,457.0,247.0,214.0,150.0,157.0,89.0,26.0,4.0,0.0
1.0,11.0,246.0,764.0,805.0,1144.0,1164.0,1194.0,1200.0,987.0,447.0,681.0,351.0,324.0,261.0,245.0,135.0,38.0,2.0,0.0
0.0,8.0,164.0,548.0,518.0,917.0,907.0,1189.0,1085.0,1117.0,642.0,863.0,452.0,437.0,411.0,440.0,210.0,75.0,16.0,1.0
0.0,2.0,86.0,391.0,350.0,730.0,681.0,1025.0,940.0,1112.0,776.0,1038.0,648.0,631.0,551.0,573.0,330.0,111.0,25.0,0.0
0.0,2.0,51.0,267.0,279.0,519.0,494.0,856.0,698.0,1082.0,929.0,1166.0,823.0,754.0,662.0,673.0,497.0,195.0,51.0,2.0
0.0,0.0,26.0,157.0,161.0,370.0,323.0,723.0,532.0,1005.0,998.0,1079.0,1031.0,946.0,757.0,828.0,649.0,330.0,81.0,4.0
0.0,0.0,14.0,95.0,93.0,253.0,219.0,504.0,414.0,807.0,1092.0,1038.0,1073.0,1098.0,956.0,996.0,821.0,401.0,118.0,8.0
0.0,1.0,7.0,51.0,59.0,164.0,135.0,339.0,301.0,654.0,1103.0,866.0,1066.0,1084.0,1113.0,1133.0,1070.0,656.0,189.0,9.0
0.0,0.0,0.0,34.0,31.0,115.0,88.0,228.0,184.0,519.0,1007.0,726.0,1129.0,1179.0,1199.0,1207.0,1141.0,844.0,342.0,27.0
0.0,0.0,1.0,13.0,13.0,67.0,54.0,159.0,130.0,352.0,914.0,587.0,1045.0,1093.0,1210.0,1143.0,1427.0,1169.0,558.0,65.0
0.0,0.0,0.0,6.0,5.0,37.0,29.0,92.0,86.0,243.0,705.0,431.0,868.0,976.0,1185.0,1126.0,1391.0,1671.0,976.0,173.0
0.0,0.0,0.0,1.0,3.0,18.0,8.0,53.0,25.0,144.0,483.0,265.0,666.0,664.0,910.0,812.0,1287.0,2302.0,1874.0,485.0
0.0,0.0,0.0,1.0,1.0,3.0,2.0,13.0,8.0,31.0,175.0,88.0,268.0,291.0,402.0,449.0,734.0,1705.0,4129.0,1700.0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,4.0,16.0,7.0,41.0,48.0,68.0,50.0,140.0,462.0,1634.0,7526.0
