Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Girona,Espanyol,Valencia,Mallorca,Rayo Vallecano,Sevilla,Alavés,Elche,Levante,Real Oviedo
9930.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70.0,9894.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,36.0,9456.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,507.0,9346.0,136.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,142.0,8370.0,1127.0,248.0,71.0,20.0,6.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,4.0,1247.0,5637.0,1691.0,701.0,240.0,206.0,61.0,160.0,8.0,7.0,34.0,4.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,205.0,1998.0,3328.0,1908.0,680.0,788.0,310.0,529.0,42.0,26.0,162.0,22.0,2.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,36.0,743.0,1958.0,2407.0,1255.0,1500.0,564.0,858.0,125.0,138.0,340.0,50.0,18.0,7.0,1.0,0.0
0.0,0.0,0.0,0.0,5.0,306.0,1181.0,1764.0,1761.0,1691.0,887.0,1140.0,243.0,283.0,549.0,105.0,62.0,21.0,2.0,0.0
0.0,0.0,0.0,0.0,1.0,113.0,707.0,1284.0,1691.0,1583.0,1183.0,1308.0,419.0,449.0,847.0,219.0,125.0,67.0,4.0,0.0
0.0,0.0,0.0,0.0,0.0,42.0,410.0,881.0,1444.0,1378.0,1399.0,1399.0,654.0,677.0,995.0,363.0,231.0,116.0,10.0,1.0
0.0,0.0,0.0,0.0,0.0,17.0,239.0,515.0,1116.0,1114.0,1396.0,1429.0,945.0,935.0,1138.0,493.0,401.0,237.0,23.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0,137.0,264.0,848.0,803.0,1230.0,1168.0,1175.0,1210.0,1278.0,758.0,633.0,444.0,41.0,7.0
0.0,0.0,0.0,0.0,0.0,2.0,58.0,125.0,476.0,451.0,1049.0,823.0,1499.0,1515.0,1226.0,1123.0,900.0,643.0,96.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,30.0,53.0,294.0,266.0,743.0,610.0,1619.0,1410.0,1144.0,1423.0,1203.0,975.0,196.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,23.0,133.0,140.0,608.0,313.0,1414.0,1281.0,928.0,1737.0,1592.0,1365.0,376.0,79.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,35.0,61.0,381.0,181.0,1107.0,1091.0,754.0,1688.0,1909.0,1869.0,715.0,205.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,11.0,168.0,60.0,599.0,722.0,494.0,1345.0,2006.0,2448.0,1567.0,571.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,9.0,144.0,213.0,101.0,595.0,756.0,1379.0,4818.0,1964.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,43.0,9.0,75.0,162.0,429.0,2151.0,7123.0
