Manchester City,Arsenal,Manchester United,Aston Villa,Liverpool,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
5232.0,4768.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4767.0,5232.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,5457.0,2775.0,1766.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3108.0,3900.0,2943.0,35.0,2.0,2.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1349.0,3117.0,4748.0,467.0,50.0,102.0,105.0,32.0,17.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,76.0,195.0,409.0,4813.0,968.0,1075.0,975.0,771.0,395.0,289.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,8.0,11.0,99.0,2146.0,1455.0,1967.0,1566.0,1312.0,721.0,596.0,80.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2.0,1.0,28.0,1288.0,1721.0,1942.0,1682.0,1407.0,898.0,811.0,131.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,7.0,709.0,1688.0,1675.0,1694.0,1630.0,1037.0,1110.0,249.0,198.0,3.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,351.0,1606.0,1319.0,1592.0,1555.0,1355.0,1423.0,438.0,332.0,26.0,3.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,143.0,1302.0,1020.0,1194.0,1431.0,1610.0,1862.0,728.0,597.0,106.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,40.0,802.0,619.0,738.0,1084.0,1946.0,1845.0,1359.0,1188.0,345.0,34.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,8.0,332.0,226.0,340.0,555.0,1314.0,1178.0,2591.0,2267.0,1070.0,107.0,11.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,72.0,50.0,92.0,191.0,581.0,671.0,2665.0,3018.0,2282.0,327.0,38.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,12.0,32.0,119.0,193.0,1544.0,1863.0,4937.0,1037.0,184.0,74.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,192.0,368.0,1061.0,6418.0,1155.0,790.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.0,160.0,1691.0,4368.0,3752.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,376.0,4244.0,5370.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7460.0,2540.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2540.0,7460.0
