Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
6.0,52.0,114.0,1176.0,47.0,7.0,1224.0,72.0,0.0,6715.0,221.0,69.0,0.0,297.0,0.0,0.0,0.0,0.0
34.0,205.0,411.0,2527.0,227.0,70.0,2355.0,283.0,1.0,1921.0,755.0,328.0,0.0,882.0,1.0,0.0,0.0,0.0
117.0,450.0,672.0,1998.0,470.0,169.0,2017.0,480.0,4.0,742.0,1073.0,521.0,0.0,1287.0,0.0,0.0,0.0,0.0
187.0,618.0,959.0,1355.0,672.0,261.0,1445.0,671.0,7.0,331.0,1365.0,731.0,0.0,1397.0,1.0,0.0,0.0,0.0
319.0,778.0,1107.0,1032.0,856.0,400.0,980.0,836.0,29.0,145.0,1295.0,880.0,0.0,1340.0,3.0,0.0,0.0,0.0
410.0,932.0,1087.0,660.0,1018.0,547.0,702.0,1023.0,45.0,67.0,1245.0,1071.0,0.0,1183.0,4.0,0.0,5.0,1.0
618.0,1048.0,1181.0,468.0,1058.0,746.0,437.0,1120.0,85.0,46.0,1066.0,1122.0,12.0,971.0,13.0,1.0,7.0,1.0
823.0,1052.0,1093.0,322.0,1190.0,862.0,338.0,1234.0,155.0,14.0,891.0,1114.0,17.0,848.0,25.0,5.0,11.0,6.0
1033.0,1207.0,1082.0,202.0,1133.0,1101.0,230.0,1139.0,287.0,8.0,743.0,1054.0,25.0,653.0,48.0,15.0,28.0,12.0
1308.0,1165.0,843.0,140.0,1084.0,1363.0,150.0,1048.0,452.0,4.0,572.0,1069.0,74.0,491.0,112.0,29.0,76.0,20.0
1600.0,1011.0,672.0,78.0,969.0,1454.0,71.0,908.0,829.0,5.0,418.0,932.0,158.0,338.0,247.0,82.0,170.0,58.0
1603.0,789.0,460.0,30.0,699.0,1491.0,35.0,702.0,1421.0,1.0,233.0,620.0,427.0,201.0,544.0,203.0,390.0,151.0
1046.0,406.0,215.0,11.0,352.0,854.0,14.0,303.0,2340.0,1.0,81.0,310.0,946.0,76.0,1256.0,535.0,840.0,414.0
525.0,167.0,74.0,1.0,149.0,382.0,2.0,122.0,1747.0,0.0,32.0,119.0,1558.0,23.0,1764.0,1038.0,1456.0,841.0
207.0,76.0,20.0,0.0,50.0,167.0,0.0,40.0,1186.0,0.0,7.0,41.0,1806.0,10.0,1890.0,1458.0,1785.0,1257.0
102.0,31.0,8.0,0.0,19.0,91.0,0.0,14.0,762.0,0.0,2.0,15.0,1927.0,3.0,1698.0,1828.0,1807.0,1693.0
50.0,9.0,2.0,0.0,7.0,29.0,0.0,3.0,438.0,0.0,1.0,3.0,1667.0,0.0,1373.0,2273.0,1882.0,2263.0
12.0,4.0,0.0,0.0,0.0,6.0,0.0,2.0,212.0,0.0,0.0,1.0,1383.0,0.0,1021.0,2533.0,1543.0,3283.0
