Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Fulham,Everton,Sunderland,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
6917.0,3083.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3083.0,6917.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6019.0,2695.0,1283.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2686.0,3975.0,3283.0,43.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1204.0,3146.0,4987.0,503.0,21.0,64.0,60.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,85.0,166.0,423.0,5176.0,997.0,1192.0,972.0,709.0,203.0,72.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,16.0,24.0,2088.0,1640.0,2201.0,1729.0,1434.0,583.0,243.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,2.0,0.0,1139.0,1857.0,2044.0,1839.0,1574.0,977.0,483.0,59.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,620.0,1767.0,1714.0,1787.0,1803.0,1431.0,678.0,141.0,48.0,9.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,259.0,1706.0,1270.0,1610.0,1729.0,1917.0,1065.0,238.0,158.0,41.0,7.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,127.0,1285.0,845.0,1158.0,1718.0,2171.0,1606.0,491.0,413.0,157.0,29.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,36.0,544.0,506.0,567.0,723.0,1709.0,2604.0,1376.0,1191.0,595.0,148.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,6.0,150.0,130.0,204.0,220.0,713.0,1822.0,2543.0,2357.0,1315.0,513.0,27.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,32.0,27.0,49.0,67.0,247.0,972.0,2712.0,2616.0,2024.0,1144.0,90.0,19.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,12.0,12.0,43.0,390.0,1781.0,2019.0,3044.0,2339.0,264.0,90.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,65.0,595.0,1004.0,2313.0,4607.0,936.0,477.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,154.0,436.0,1067.0,4814.0,3500.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,65.0,144.0,3868.0,5914.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8307.0,1693.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1693.0,8307.0
