Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6448.0,3068.0,305.0,60.0,68.0,19.0,21.0,3.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2691.0,4803.0,1330.0,337.0,382.0,159.0,147.0,40.0,87.0,16.0,0.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
610.0,1356.0,3320.0,1347.0,1364.0,590.0,616.0,250.0,360.0,80.0,19.0,47.0,9.0,14.0,10.0,4.0,3.0,1.0,0.0,0.0
173.0,474.0,1962.0,1871.0,1808.0,1017.0,1047.0,498.0,671.0,209.0,58.0,108.0,30.0,28.0,14.0,24.0,7.0,1.0,0.0,0.0
47.0,165.0,1191.0,1632.0,1638.0,1330.0,1337.0,755.0,915.0,370.0,118.0,226.0,77.0,74.0,48.0,53.0,15.0,7.0,2.0,0.0
23.0,79.0,733.0,1285.0,1370.0,1396.0,1425.0,924.0,1079.0,574.0,218.0,372.0,132.0,147.0,79.0,107.0,39.0,18.0,0.0,0.0
5.0,40.0,473.0,1027.0,1034.0,1266.0,1336.0,1164.0,1203.0,753.0,310.0,487.0,230.0,210.0,150.0,189.0,95.0,21.0,6.0,1.0
3.0,6.0,288.0,789.0,785.0,1138.0,1079.0,1230.0,1283.0,892.0,441.0,699.0,353.0,291.0,232.0,284.0,150.0,48.0,9.0,0.0
0.0,7.0,193.0,568.0,543.0,854.0,884.0,1182.0,1070.0,1092.0,619.0,890.0,533.0,491.0,368.0,380.0,231.0,87.0,8.0,0.0
0.0,2.0,82.0,424.0,357.0,682.0,749.0,1090.0,894.0,1095.0,734.0,998.0,693.0,654.0,523.0,539.0,343.0,120.0,21.0,0.0
0.0,0.0,59.0,273.0,262.0,501.0,490.0,822.0,737.0,1116.0,926.0,1057.0,875.0,784.0,678.0,698.0,466.0,220.0,36.0,0.0
0.0,0.0,30.0,155.0,188.0,347.0,329.0,646.0,530.0,1008.0,1040.0,1098.0,1019.0,916.0,785.0,849.0,678.0,294.0,84.0,4.0
0.0,0.0,18.0,98.0,97.0,269.0,215.0,491.0,413.0,826.0,1117.0,1036.0,1051.0,1074.0,985.0,941.0,844.0,394.0,127.0,4.0
0.0,0.0,9.0,57.0,46.0,198.0,158.0,333.0,291.0,686.0,1097.0,872.0,1075.0,1122.0,1115.0,1125.0,1006.0,585.0,211.0,14.0
0.0,0.0,6.0,46.0,32.0,106.0,96.0,249.0,205.0,519.0,1007.0,747.0,1096.0,1141.0,1233.0,1206.0,1192.0,768.0,315.0,36.0
0.0,0.0,1.0,23.0,10.0,83.0,45.0,160.0,142.0,374.0,920.0,604.0,1034.0,1091.0,1227.0,1143.0,1358.0,1152.0,577.0,56.0
0.0,0.0,0.0,5.0,9.0,29.0,18.0,113.0,78.0,221.0,719.0,413.0,857.0,957.0,1184.0,1066.0,1467.0,1679.0,996.0,189.0
0.0,0.0,0.0,2.0,6.0,13.0,8.0,37.0,26.0,128.0,444.0,224.0,620.0,679.0,881.0,902.0,1261.0,2403.0,1873.0,493.0
0.0,0.0,0.0,1.0,1.0,3.0,0.0,13.0,11.0,36.0,189.0,110.0,280.0,288.0,423.0,424.0,717.0,1727.0,4201.0,1576.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,23.0,9.0,35.0,36.0,63.0,66.0,128.0,475.0,1534.0,7627.0
