Bayern Munich,Borussia Dortmund,RB Leipzig,TSG Hoffenheim,VfB Stuttgart,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,FC Augsburg,Mainz,Borussia Mönchengladbach,1. FC Union Berlin,FC Cologne,Hamburg SV,Werder Bremen,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9575.0,418.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,410.0,8787.0,307.0,458.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,14.0,733.0,3538.0,4649.0,1066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,61.0,4139.0,3129.0,2670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,2014.0,1759.0,6226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,4534.0,5443.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,5290.0,4458.0,252.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,176.0,99.0,6091.0,2879.0,289.0,341.0,26.0,10.0,89.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2672.0,4461.0,757.0,1085.0,494.0,138.0,393.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,683.0,1521.0,1923.0,2064.0,1806.0,691.0,1312.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.0,670.0,2307.0,1972.0,1980.0,1198.0,1640.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,322.0,1929.0,1709.0,2121.0,1840.0,1980.0,39.0,9.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,118.0,1704.0,1524.0,2104.0,2383.0,2043.0,102.0,17.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,1064.0,1276.0,1359.0,3441.0,2347.0,429.0,55.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,110.0,298.0,196.0,5483.0,3761.0,96.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3639.0,5440.0,920.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.0,717.0,8984.0
