Palmeiras,Flamengo,São Paulo,Fluminense,Bahia,Athletico Paranaense,Coritiba,Atlético-MG,Red Bull Bragantino,Vitória,Botafogo,Grêmio,Vasco da Gama,Internacional,Santos,Corinthians,Cruzeiro,Remo,Chapecoense,Mirassol
6677.0,2207.0,302.0,248.0,438.0,93.0,15.0,8.0,4.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2102.0,3774.0,1198.0,909.0,1362.0,465.0,57.0,72.0,14.0,4.0,11.0,12.0,3.0,10.0,5.0,1.0,1.0,0.0,0.0,0.0
735.0,1953.0,2155.0,1621.0,1997.0,882.0,170.0,214.0,39.0,28.0,55.0,51.0,19.0,52.0,24.0,4.0,1.0,0.0,0.0,0.0
300.0,1033.0,1961.0,1934.0,1979.0,1319.0,324.0,456.0,105.0,103.0,150.0,98.0,64.0,104.0,60.0,5.0,4.0,1.0,0.0,0.0
111.0,542.0,1590.0,1732.0,1534.0,1708.0,598.0,746.0,244.0,158.0,252.0,219.0,176.0,241.0,116.0,20.0,11.0,2.0,0.0,0.0
55.0,252.0,1126.0,1269.0,1081.0,1662.0,891.0,1027.0,475.0,317.0,415.0,443.0,280.0,417.0,202.0,48.0,32.0,3.0,0.0,5.0
12.0,121.0,654.0,854.0,652.0,1231.0,1203.0,1260.0,702.0,463.0,580.0,602.0,475.0,626.0,393.0,103.0,50.0,12.0,0.0,7.0
7.0,65.0,425.0,521.0,396.0,859.0,1164.0,1267.0,884.0,637.0,766.0,797.0,585.0,807.0,533.0,166.0,96.0,18.0,0.0,7.0
0.0,27.0,258.0,341.0,236.0,586.0,1096.0,1150.0,971.0,713.0,884.0,931.0,782.0,923.0,648.0,246.0,147.0,38.0,2.0,21.0
1.0,16.0,115.0,222.0,142.0,381.0,1028.0,935.0,1075.0,827.0,926.0,1016.0,893.0,983.0,783.0,340.0,216.0,60.0,4.0,37.0
0.0,7.0,84.0,142.0,83.0,273.0,911.0,795.0,1056.0,917.0,964.0,1012.0,964.0,945.0,929.0,429.0,299.0,111.0,13.0,66.0
0.0,2.0,59.0,89.0,51.0,206.0,705.0,649.0,949.0,1019.0,1000.0,954.0,976.0,1025.0,976.0,617.0,458.0,131.0,30.0,104.0
0.0,0.0,49.0,60.0,24.0,137.0,624.0,497.0,918.0,970.0,916.0,968.0,999.0,997.0,1055.0,779.0,578.0,254.0,36.0,139.0
0.0,1.0,11.0,30.0,12.0,105.0,468.0,402.0,819.0,991.0,889.0,859.0,1013.0,851.0,1071.0,987.0,772.0,381.0,88.0,250.0
0.0,0.0,7.0,21.0,9.0,58.0,330.0,233.0,690.0,956.0,771.0,725.0,989.0,715.0,1029.0,1253.0,1115.0,530.0,155.0,414.0
0.0,0.0,3.0,2.0,3.0,23.0,231.0,141.0,467.0,823.0,618.0,592.0,745.0,589.0,949.0,1488.0,1460.0,900.0,281.0,685.0
0.0,0.0,3.0,4.0,0.0,8.0,112.0,95.0,315.0,541.0,432.0,371.0,579.0,392.0,629.0,1496.0,1683.0,1427.0,647.0,1266.0
0.0,0.0,0.0,0.0,1.0,3.0,55.0,38.0,178.0,342.0,249.0,220.0,297.0,216.0,382.0,1108.0,1490.0,2195.0,1205.0,2021.0
0.0,0.0,0.0,1.0,0.0,1.0,17.0,14.0,72.0,146.0,93.0,99.0,135.0,88.0,181.0,658.0,1097.0,2320.0,2398.0,2680.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,44.0,26.0,28.0,26.0,18.0,35.0,252.0,490.0,1617.0,5141.0,2298.0
