Coventry City,Ipswich Town,Millwall,Middlesbrough,Southampton,Hull City,Wrexham,Derby County,Norwich City,Bristol City,Queens Park Rangers,Watford,Preston North End,Swansea City,Birmingham City,Stoke City,Sheffield United,Charlton Athletic,Blackburn Rovers,West Bromwich Albion,Portsmouth,Oxford United,Leicester City,Sheffield Wednesday
9655.0,345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345.0,8670.0,429.0,385.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,697.0,4151.0,3481.0,1631.0,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,216.0,3148.0,3823.0,2556.0,252.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,70.0,2076.0,2070.0,4532.0,1148.0,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,195.0,230.0,1005.0,6462.0,824.0,1236.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,11.0,97.0,1659.0,3634.0,4056.0,339.0,68.0,47.0,11.0,8.0,33.0,30.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,411.0,4122.0,3291.0,1011.0,339.0,191.0,94.0,72.0,170.0,214.0,44.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,27.0,987.0,861.0,2707.0,1604.0,656.0,480.0,349.0,769.0,1040.0,291.0,225.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,2.0,301.0,315.0,1821.0,1598.0,1037.0,865.0,639.0,1011.0,1397.0,554.0,453.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,70.0,124.0,1305.0,1434.0,1213.0,1101.0,897.0,1134.0,1278.0,735.0,686.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,6.0,52.0,981.0,1328.0,1262.0,1163.0,983.0,1139.0,1244.0,958.0,838.0,43.0,0.0,0.0,3.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,656.0,1228.0,1283.0,1290.0,1057.0,1115.0,1163.0,1155.0,947.0,91.0,0.0,0.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,516.0,870.0,1295.0,1308.0,1224.0,1189.0,1046.0,1178.0,1196.0,154.0,7.0,0.0,16.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351.0,685.0,1206.0,1229.0,1309.0,1192.0,1035.0,1403.0,1310.0,245.0,8.0,1.0,26.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,579.0,1032.0,1208.0,1452.0,1083.0,789.0,1632.0,1475.0,450.0,36.0,16.0,53.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,247.0,699.0,1046.0,1669.0,892.0,630.0,1440.0,1947.0,988.0,147.0,88.0,144.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,18.0,78.0,197.0,323.0,266.0,127.0,542.0,752.0,5028.0,958.0,739.0,835.0,106.0,20.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,17.0,7.0,7.0,59.0,121.0,1739.0,3140.0,2438.0,1673.0,627.0,163.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,16.0,822.0,2699.0,2703.0,2017.0,1288.0,450.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,338.0,1947.0,2275.0,2363.0,2296.0,781.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,836.0,1404.0,1929.0,3949.0,1819.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,222.0,336.0,935.0,1734.0,6767.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0
