Arsenal,Manchester City,Manchester United,Liverpool,Aston Villa,AFC Bournemouth,Brentford,Brighton & Hove Albion,Chelsea,Everton,Fulham,Sunderland,Newcastle United,Leeds United,Crystal Palace,Nottingham Forest,Tottenham Hotspur,West Ham United,Burnley,Wolverhampton Wanderers
9025.0,975.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
975.0,9023.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2.0,9770.0,177.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,225.0,6689.0,3077.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,3.0,3046.0,6530.0,120.0,77.0,224.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,85.0,324.0,2969.0,1829.0,3534.0,292.0,352.0,564.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,3.0,18.0,2434.0,2401.0,2601.0,743.0,747.0,885.0,138.0,25.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1794.0,2475.0,1704.0,1196.0,1242.0,1179.0,282.0,113.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1243.0,1632.0,1015.0,1832.0,1813.0,1532.0,636.0,256.0,13.0,26.0,2.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,1004.0,1024.0,551.0,2026.0,1958.0,1832.0,849.0,578.0,91.0,63.0,24.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,406.0,470.0,263.0,1922.0,1991.0,1882.0,1273.0,1204.0,311.0,120.0,158.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,26.0,79.0,90.0,1142.0,1154.0,1220.0,2280.0,2133.0,886.0,450.0,540.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,8.0,15.0,634.0,531.0,636.0,2127.0,2615.0,1457.0,795.0,1182.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,183.0,182.0,195.0,1501.0,1660.0,2531.0,1521.0,2195.0,28.0,1.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,65.0,726.0,983.0,2508.0,2757.0,2779.0,112.0,13.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,138.0,426.0,2006.0,4099.0,2879.0,381.0,58.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,190.0,149.0,236.0,7250.0,2169.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,5.0,2229.0,7759.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7736.0,2264.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2264.0,7736.0
