Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
8713.0,1089.0,152.0,31.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.0,7303.0,1793.0,568.0,174.0,79.0,39.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81.0,65.0,5061.0,2552.0,1228.0,495.0,330.0,187.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190.0,188.0,319.0,3390.0,2581.0,1609.0,971.0,734.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
278.0,311.0,647.0,680.0,2320.0,2234.0,1824.0,1586.0,55.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263.0,333.0,699.0,912.0,884.0,1791.0,2186.0,2256.0,312.0,364.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221.0,313.0,629.0,800.0,990.0,1099.0,1873.0,2159.0,863.0,1053.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171.0,247.0,442.0,655.0,1074.0,1312.0,1423.0,1663.0,1337.0,1676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69.0,151.0,258.0,412.0,735.0,1381.0,1353.0,1385.0,1512.0,1157.0,551.0,343.0,269.0,200.0,72.0,88.0,38.0,26.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2001.0,1512.0,2146.0,1276.0,1117.0,768.0,395.0,479.0,201.0,105.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2228.0,2181.0,1069.0,975.0,1240.0,888.0,436.0,578.0,239.0,166.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1205.0,1415.0,1834.0,1309.0,1390.0,1139.0,608.0,637.0,272.0,191.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0,464.0,2037.0,2090.0,1742.0,1185.0,731.0,803.0,304.0,244.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,91.0,1442.0,2171.0,2097.0,2250.0,555.0,752.0,302.0,272.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,8.0,722.0,1320.0,1485.0,2368.0,3363.0,346.0,187.0,188.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,181.0,448.0,570.0,1041.0,3001.0,4612.0,65.0,81.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,65.0,88.0,151.0,784.0,1577.0,7303.0,14.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,10.0,55.0,128.0,1089.0,8713.0
