Palmeiras,Flamengo,Fluminense,São Paulo,Athletico Paranaense,Red Bull Bragantino,Bahia,Coritiba,Botafogo,Atlético-MG,Internacional,Vasco da Gama,Cruzeiro,Vitória,Grêmio,Santos,Corinthians,Remo,Mirassol,Chapecoense
6059.0,3672.0,229.0,16.0,9.0,3.0,1.0,7.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3407.0,5205.0,958.0,121.0,86.0,45.0,6.0,101.0,14.0,5.0,47.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
444.0,877.0,4568.0,1127.0,741.0,408.0,142.0,993.0,108.0,105.0,422.0,27.0,20.0,3.0,9.0,2.0,3.0,1.0,0.0,0.0
63.0,171.0,1918.0,1863.0,1396.0,915.0,355.0,1603.0,341.0,246.0,846.0,91.0,104.0,23.0,36.0,14.0,13.0,2.0,0.0,0.0
15.0,46.0,958.0,1562.0,1383.0,1220.0,570.0,1570.0,525.0,441.0,1132.0,155.0,183.0,66.0,84.0,37.0,39.0,14.0,0.0,0.0
7.0,15.0,578.0,1298.0,1291.0,1285.0,741.0,1401.0,683.0,612.0,1166.0,271.0,250.0,94.0,154.0,65.0,72.0,15.0,2.0,0.0
4.0,10.0,322.0,1094.0,1179.0,1166.0,892.0,1147.0,829.0,761.0,1132.0,408.0,407.0,168.0,197.0,107.0,131.0,42.0,4.0,0.0
0.0,2.0,182.0,835.0,1002.0,1101.0,1027.0,884.0,960.0,912.0,1091.0,515.0,483.0,268.0,316.0,205.0,167.0,42.0,8.0,0.0
1.0,2.0,129.0,607.0,834.0,1023.0,1074.0,738.0,1089.0,961.0,944.0,641.0,595.0,348.0,429.0,249.0,235.0,87.0,14.0,0.0
0.0,0.0,73.0,511.0,597.0,805.0,1057.0,499.0,1098.0,1042.0,865.0,829.0,720.0,500.0,556.0,340.0,342.0,143.0,23.0,0.0
0.0,0.0,42.0,342.0,496.0,676.0,912.0,369.0,1022.0,1106.0,672.0,975.0,842.0,670.0,706.0,495.0,441.0,193.0,41.0,0.0
0.0,0.0,17.0,227.0,354.0,425.0,858.0,260.0,880.0,996.0,513.0,1063.0,981.0,873.0,863.0,677.0,610.0,332.0,71.0,0.0
0.0,0.0,19.0,154.0,241.0,371.0,722.0,169.0,752.0,817.0,407.0,1059.0,1030.0,978.0,1050.0,858.0,779.0,449.0,145.0,0.0
0.0,0.0,7.0,109.0,152.0,255.0,593.0,112.0,572.0,713.0,300.0,1023.0,1009.0,1129.0,1139.0,974.0,1025.0,676.0,211.0,1.0
0.0,0.0,0.0,61.0,112.0,140.0,428.0,75.0,492.0,523.0,227.0,964.0,950.0,1276.0,1198.0,1237.0,1225.0,769.0,319.0,4.0
0.0,0.0,0.0,47.0,69.0,89.0,300.0,43.0,311.0,379.0,132.0,774.0,888.0,1247.0,1170.0,1337.0,1426.0,1245.0,534.0,9.0
0.0,0.0,0.0,17.0,42.0,44.0,207.0,24.0,204.0,221.0,58.0,635.0,782.0,1136.0,991.0,1446.0,1516.0,1668.0,984.0,25.0
0.0,0.0,0.0,6.0,15.0,22.0,90.0,3.0,95.0,127.0,36.0,411.0,542.0,842.0,778.0,1263.0,1341.0,2353.0,1954.0,122.0
0.0,0.0,0.0,3.0,1.0,7.0,25.0,2.0,24.0,31.0,7.0,150.0,209.0,353.0,312.0,656.0,601.0,1829.0,5065.0,725.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,26.0,12.0,38.0,34.0,140.0,625.0,9114.0
