Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Corinthians,Red Bull Bragantino,Botafogo,Coritiba,Atlético-MG,São Paulo,Vitória,Grêmio,Mirassol,Internacional,Santos,Vasco da Gama,Remo,Chapecoense
8183.0,1772.0,37.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1728.0,7555.0,505.0,120.0,39.0,8.0,4.0,1.0,38.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80.0,587.0,4961.0,1883.0,739.0,336.0,182.0,103.0,885.0,23.0,174.0,41.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0
8.0,64.0,1985.0,2637.0,1404.0,798.0,525.0,276.0,1525.0,100.0,528.0,113.0,3.0,21.0,9.0,2.0,2.0,0.0,0.0,0.0
0.0,17.0,1132.0,1821.0,1559.0,1078.0,880.0,526.0,1703.0,193.0,715.0,274.0,8.0,56.0,27.0,2.0,3.0,4.0,2.0,0.0
1.0,5.0,634.0,1250.0,1508.0,1320.0,1129.0,760.0,1502.0,299.0,944.0,411.0,25.0,117.0,60.0,12.0,11.0,9.0,3.0,0.0
0.0,0.0,368.0,823.0,1295.0,1392.0,1275.0,934.0,1248.0,525.0,1116.0,584.0,56.0,175.0,123.0,30.0,22.0,28.0,6.0,0.0
0.0,0.0,198.0,596.0,1068.0,1243.0,1308.0,1109.0,1009.0,734.0,1181.0,807.0,86.0,271.0,211.0,75.0,39.0,44.0,21.0,0.0
0.0,0.0,92.0,396.0,808.0,1071.0,1229.0,1211.0,725.0,961.0,1249.0,965.0,152.0,446.0,382.0,123.0,67.0,75.0,48.0,0.0
0.0,0.0,49.0,216.0,604.0,894.0,1053.0,1222.0,499.0,1184.0,1134.0,1234.0,238.0,659.0,517.0,180.0,123.0,131.0,63.0,0.0
0.0,0.0,22.0,121.0,441.0,710.0,892.0,1113.0,416.0,1254.0,959.0,1246.0,387.0,827.0,688.0,331.0,218.0,239.0,136.0,0.0
0.0,0.0,9.0,65.0,222.0,500.0,596.0,929.0,204.0,1358.0,753.0,1226.0,541.0,1099.0,995.0,547.0,330.0,396.0,230.0,0.0
0.0,0.0,5.0,43.0,165.0,287.0,390.0,666.0,122.0,1142.0,506.0,958.0,841.0,1348.0,1304.0,776.0,497.0,571.0,378.0,1.0
0.0,0.0,3.0,15.0,82.0,186.0,243.0,502.0,77.0,796.0,329.0,784.0,1025.0,1365.0,1398.0,1030.0,675.0,850.0,639.0,1.0
0.0,0.0,0.0,7.0,42.0,86.0,162.0,315.0,21.0,613.0,205.0,580.0,1269.0,1115.0,1271.0,1325.0,987.0,1159.0,842.0,1.0
0.0,0.0,0.0,0.0,13.0,59.0,79.0,169.0,16.0,403.0,120.0,368.0,1359.0,967.0,1151.0,1434.0,1264.0,1376.0,1216.0,6.0
0.0,0.0,0.0,1.0,6.0,25.0,41.0,99.0,6.0,235.0,54.0,216.0,1461.0,741.0,874.0,1513.0,1562.0,1551.0,1596.0,19.0
0.0,0.0,0.0,0.0,3.0,5.0,10.0,51.0,3.0,126.0,27.0,132.0,1391.0,506.0,626.0,1404.0,1818.0,1774.0,2057.0,67.0
0.0,0.0,0.0,0.0,1.0,2.0,1.0,14.0,1.0,54.0,4.0,60.0,1116.0,275.0,350.0,1175.0,2266.0,1719.0,2621.0,341.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,41.0,9.0,12.0,41.0,116.0,74.0,142.0,9564.0
