Excelsior,Go Ahead Eagles,AZ Alkmaar,Ajax Amsterdam,FC Groningen,Telstar,Feyenoord Rotterdam,Heerenveen,Fortuna Sittard,PSV Eindhoven,NEC Nijmegen,FC Utrecht,Sparta Rotterdam,FC Twente,ADO Den Haag,PEC Zwolle,Willem II,SC Cambuur
9.0,37.0,104.0,1224.0,45.0,9.0,1234.0,62.0,0.0,6746.0,207.0,61.0,0.0,262.0,0.0,0.0,0.0,0.0
44.0,218.0,419.0,2516.0,206.0,73.0,2350.0,285.0,3.0,1911.0,780.0,287.0,0.0,908.0,0.0,0.0,0.0,0.0
102.0,392.0,716.0,1973.0,459.0,131.0,2044.0,519.0,9.0,781.0,1078.0,530.0,0.0,1266.0,0.0,0.0,0.0,0.0
185.0,603.0,950.0,1451.0,643.0,259.0,1401.0,712.0,14.0,289.0,1297.0,748.0,1.0,1447.0,0.0,0.0,0.0,0.0
285.0,794.0,1051.0,962.0,858.0,409.0,1019.0,884.0,29.0,151.0,1288.0,947.0,0.0,1321.0,2.0,0.0,0.0,0.0
443.0,947.0,1072.0,699.0,1008.0,552.0,662.0,1012.0,46.0,64.0,1226.0,1015.0,5.0,1242.0,3.0,0.0,3.0,1.0
637.0,1041.0,1155.0,455.0,1123.0,717.0,479.0,1065.0,88.0,29.0,1079.0,1121.0,4.0,984.0,11.0,2.0,7.0,3.0
756.0,1161.0,1050.0,311.0,1161.0,899.0,331.0,1163.0,168.0,16.0,934.0,1134.0,16.0,842.0,26.0,8.0,20.0,4.0
1057.0,1141.0,1037.0,206.0,1177.0,1080.0,217.0,1154.0,274.0,11.0,779.0,1106.0,29.0,641.0,38.0,6.0,38.0,9.0
1271.0,1210.0,885.0,107.0,1139.0,1339.0,135.0,1051.0,474.0,2.0,556.0,1054.0,81.0,453.0,123.0,29.0,75.0,16.0
1508.0,970.0,746.0,58.0,988.0,1535.0,84.0,950.0,797.0,0.0,421.0,857.0,175.0,314.0,266.0,93.0,173.0,65.0
1648.0,830.0,483.0,31.0,662.0,1441.0,35.0,669.0,1385.0,0.0,238.0,668.0,382.0,188.0,592.0,208.0,403.0,137.0
1036.0,421.0,203.0,4.0,338.0,866.0,7.0,312.0,2324.0,0.0,73.0,316.0,989.0,89.0,1214.0,519.0,882.0,407.0
578.0,147.0,77.0,3.0,119.0,415.0,2.0,99.0,1715.0,0.0,35.0,105.0,1529.0,32.0,1870.0,1050.0,1415.0,809.0
273.0,52.0,33.0,0.0,52.0,172.0,0.0,48.0,1211.0,0.0,8.0,40.0,1834.0,10.0,1811.0,1430.0,1764.0,1262.0
117.0,29.0,13.0,0.0,11.0,60.0,0.0,12.0,770.0,0.0,0.0,7.0,1900.0,1.0,1657.0,1822.0,1908.0,1693.0
43.0,6.0,6.0,0.0,8.0,35.0,0.0,2.0,487.0,0.0,0.0,4.0,1661.0,0.0,1355.0,2310.0,1796.0,2287.0
8.0,1.0,0.0,0.0,3.0,8.0,0.0,1.0,206.0,0.0,1.0,0.0,1394.0,0.0,1032.0,2523.0,1516.0,3307.0
