Palmeiras,Fluminense,Bahia,São Paulo,Athletico Paranaense,Flamengo,Coritiba,Vasco da Gama,Grêmio,Vitória,Corinthians,Botafogo,Internacional,Atlético-MG,Red Bull Bragantino,Chapecoense,Santos,Cruzeiro,Mirassol,Remo
3734.0,198.0,8.0,1.0,4.0,5975.0,1.0,0.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,36.0,16.0,0.0
4844.0,1010.0,71.0,15.0,32.0,3445.0,11.0,0.0,7.0,0.0,0.0,179.0,0.0,1.0,0.0,1.0,2.0,247.0,135.0,0.0
1025.0,3945.0,594.0,126.0,240.0,464.0,113.0,21.0,67.0,0.0,13.0,1099.0,1.0,26.0,0.0,13.0,7.0,1304.0,938.0,4.0
254.0,2044.0,1099.0,282.0,580.0,92.0,334.0,94.0,169.0,3.0,33.0,1559.0,2.0,80.0,5.0,23.0,43.0,1803.0,1483.0,18.0
91.0,1135.0,1286.0,480.0,826.0,13.0,478.0,165.0,269.0,3.0,70.0,1622.0,6.0,150.0,12.0,65.0,68.0,1730.0,1482.0,49.0
32.0,678.0,1360.0,673.0,939.0,5.0,695.0,245.0,460.0,6.0,143.0,1402.0,9.0,229.0,18.0,104.0,129.0,1438.0,1362.0,73.0
11.0,412.0,1303.0,873.0,1109.0,4.0,824.0,382.0,584.0,18.0,219.0,1146.0,29.0,345.0,29.0,194.0,206.0,1018.0,1140.0,154.0
8.0,242.0,1080.0,995.0,1178.0,0.0,953.0,566.0,702.0,24.0,324.0,938.0,55.0,432.0,50.0,265.0,289.0,731.0,933.0,235.0
0.0,147.0,808.0,1081.0,1095.0,1.0,1045.0,697.0,841.0,50.0,446.0,609.0,104.0,615.0,97.0,365.0,382.0,556.0,731.0,330.0
1.0,74.0,679.0,994.0,951.0,1.0,1071.0,776.0,950.0,100.0,516.0,475.0,149.0,733.0,135.0,440.0,539.0,402.0,553.0,461.0
0.0,54.0,544.0,904.0,818.0,0.0,915.0,890.0,1007.0,127.0,720.0,309.0,205.0,847.0,219.0,645.0,604.0,253.0,411.0,528.0
0.0,31.0,378.0,865.0,602.0,0.0,821.0,975.0,993.0,216.0,768.0,227.0,307.0,918.0,312.0,722.0,717.0,200.0,281.0,667.0
0.0,14.0,287.0,721.0,501.0,0.0,700.0,988.0,869.0,283.0,880.0,182.0,436.0,970.0,385.0,882.0,828.0,117.0,207.0,750.0
0.0,9.0,210.0,623.0,359.0,0.0,550.0,935.0,790.0,399.0,977.0,100.0,548.0,956.0,571.0,931.0,928.0,69.0,125.0,920.0
0.0,3.0,108.0,437.0,305.0,0.0,482.0,874.0,657.0,570.0,1007.0,47.0,756.0,863.0,792.0,1014.0,990.0,38.0,84.0,973.0
0.0,3.0,89.0,370.0,193.0,0.0,364.0,732.0,559.0,768.0,995.0,44.0,958.0,819.0,920.0,1042.0,997.0,26.0,57.0,1064.0
0.0,1.0,52.0,265.0,133.0,0.0,283.0,628.0,472.0,1017.0,946.0,22.0,1144.0,745.0,1212.0,971.0,983.0,22.0,34.0,1070.0
0.0,0.0,27.0,157.0,78.0,0.0,190.0,522.0,298.0,1432.0,819.0,8.0,1481.0,586.0,1461.0,951.0,941.0,4.0,18.0,1027.0
0.0,0.0,12.0,93.0,40.0,0.0,113.0,321.0,194.0,2010.0,675.0,6.0,1766.0,428.0,1794.0,826.0,809.0,5.0,5.0,903.0
0.0,0.0,5.0,45.0,17.0,0.0,57.0,189.0,111.0,2974.0,449.0,0.0,2044.0,257.0,1988.0,546.0,538.0,1.0,5.0,774.0
