Bayern Munich,Borussia Dortmund,VfB Stuttgart,RB Leipzig,TSG Hoffenheim,Bayer Leverkusen,Eintracht Frankfurt,SC Freiburg,1. FC Union Berlin,FC Augsburg,Mainz,Hamburg SV,Borussia Mönchengladbach,Werder Bremen,FC Cologne,St. Pauli,VfL Wolfsburg,1. FC Heidenheim 1846
9983.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17.0,9405.0,265.0,100.0,7.0,204.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,466.0,3749.0,2250.0,231.0,3223.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,94.0,2996.0,2954.0,675.0,2987.0,291.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,16.0,1983.0,2989.0,1610.0,2469.0,885.0,36.0,1.0,0.0,8.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
0.0,2.0,769.0,1237.0,4518.0,863.0,2258.0,181.0,19.0,5.0,95.0,21.0,22.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,220.0,428.0,2362.0,233.0,4687.0,858.0,114.0,39.0,627.0,188.0,156.0,67.0,21.0,0.0,0.0,0.0
0.0,0.0,15.0,40.0,457.0,20.0,1148.0,3087.0,596.0,196.0,2533.0,714.0,716.0,366.0,103.0,4.0,5.0,0.0
0.0,0.0,3.0,2.0,104.0,1.0,377.0,2228.0,1026.0,431.0,2277.0,1196.0,1296.0,711.0,309.0,17.0,22.0,0.0
0.0,0.0,0.0,0.0,32.0,0.0,167.0,1468.0,1261.0,760.0,1648.0,1474.0,1522.0,994.0,591.0,41.0,42.0,0.0
0.0,0.0,0.0,0.0,4.0,0.0,61.0,977.0,1506.0,1021.0,1087.0,1501.0,1538.0,1259.0,885.0,92.0,69.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,24.0,635.0,1561.0,1179.0,755.0,1496.0,1423.0,1396.0,1174.0,179.0,178.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,11.0,306.0,1428.0,1496.0,513.0,1380.0,1236.0,1473.0,1492.0,334.0,330.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,152.0,1153.0,1846.0,273.0,982.0,1026.0,1447.0,1751.0,728.0,633.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,57.0,788.0,1798.0,137.0,661.0,630.0,1372.0,1859.0,1387.0,1297.0,13.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,423.0,994.0,41.0,296.0,329.0,727.0,1237.0,3192.0,2681.0,67.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,230.0,5.0,90.0,105.0,172.0,556.0,3797.0,4500.0,423.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,1.0,4.0,22.0,229.0,243.0,9494.0
