Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Celta Vigo,Real Sociedad,Getafe,Athletic Club,Osasuna,Espanyol,Valencia,Girona,Rayo Vallecano,Sevilla,Alavés,Elche,Mallorca,Levante,Real Oviedo
8443.0,1557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1556.0,8426.0,13.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,16.0,6280.0,3703.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,3706.0,6277.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,15.0,6932.0,1527.0,952.0,194.0,62.0,243.0,44.0,20.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1877.0,3770.0,2064.0,784.0,370.0,739.0,181.0,103.0,37.0,68.0,3.0,1.0,1.0,2.0,0.0,0.0
0.0,0.0,0.0,0.0,745.0,2365.0,2530.0,1278.0,706.0,1304.0,440.0,269.0,142.0,185.0,6.0,18.0,9.0,3.0,0.0,0.0
0.0,0.0,0.0,0.0,280.0,1164.0,1639.0,1788.0,1131.0,1907.0,865.0,493.0,269.0,377.0,18.0,42.0,17.0,9.0,1.0,0.0
0.0,0.0,0.0,0.0,109.0,635.0,1135.0,1803.0,1407.0,1633.0,1132.0,783.0,469.0,648.0,50.0,116.0,56.0,23.0,1.0,0.0
0.0,0.0,0.0,0.0,31.0,305.0,679.0,1452.0,1517.0,1385.0,1430.0,1034.0,745.0,950.0,93.0,201.0,120.0,58.0,0.0,0.0
0.0,0.0,0.0,0.0,8.0,136.0,456.0,1059.0,1431.0,1049.0,1523.0,1279.0,1075.0,1164.0,155.0,357.0,200.0,98.0,10.0,0.0
0.0,0.0,0.0,0.0,3.0,60.0,269.0,740.0,1252.0,711.0,1444.0,1434.0,1261.0,1346.0,306.0,620.0,350.0,180.0,24.0,0.0
0.0,0.0,0.0,0.0,0.0,25.0,143.0,451.0,980.0,517.0,1168.0,1374.0,1463.0,1374.0,489.0,961.0,617.0,372.0,66.0,0.0
0.0,0.0,0.0,0.0,0.0,9.0,75.0,272.0,645.0,301.0,846.0,1229.0,1413.0,1307.0,896.0,1369.0,920.0,587.0,131.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,38.0,111.0,328.0,134.0,502.0,967.0,1293.0,1058.0,1348.0,1769.0,1246.0,932.0,268.0,5.0
0.0,0.0,0.0,0.0,0.0,1.0,17.0,46.0,115.0,54.0,269.0,603.0,912.0,771.0,1856.0,1697.0,1648.0,1387.0,612.0,12.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,47.0,18.0,117.0,287.0,589.0,438.0,2026.0,1432.0,1986.0,1943.0,1062.0,34.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,8.0,5.0,35.0,107.0,270.0,234.0,1796.0,1011.0,1865.0,2553.0,1977.0,134.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,18.0,59.0,75.0,905.0,386.0,908.0,1698.0,5336.0,610.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,19.0,57.0,155.0,512.0,9205.0
