Paris Saint-Germain,Lens,Marseille,Lyon,Lille,AS Monaco,Stade Rennais,Strasbourg,Toulouse,Lorient,Brest,Angers,Paris FC,Le Havre AC,Nice,AJ Auxerre,Nantes,Metz
9984.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,5168.0,3030.0,700.0,550.0,458.0,54.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,2582.0,3489.0,1513.0,1135.0,1026.0,149.0,104.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,1274.0,1819.0,2435.0,2002.0,1666.0,412.0,386.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,635.0,913.0,2255.0,2202.0,2244.0,880.0,840.0,8.0,15.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,254.0,504.0,1676.0,2172.0,2202.0,1527.0,1540.0,33.0,52.0,31.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0
0.0,65.0,197.0,944.0,1361.0,1565.0,2745.0,2551.0,149.0,200.0,162.0,1.0,12.0,0.0,48.0,0.0,0.0,0.0
0.0,8.0,40.0,389.0,487.0,690.0,3175.0,3003.0,609.0,742.0,513.0,8.0,76.0,0.0,260.0,0.0,0.0,0.0
0.0,0.0,5.0,70.0,75.0,115.0,721.0,925.0,2191.0,2566.0,1783.0,52.0,394.0,5.0,1094.0,4.0,0.0,0.0
0.0,0.0,1.0,16.0,13.0,29.0,230.0,373.0,2308.0,2286.0,2243.0,156.0,742.0,21.0,1551.0,29.0,1.0,1.0
0.0,0.0,0.0,1.0,3.0,3.0,77.0,169.0,2103.0,1871.0,2148.0,343.0,1157.0,76.0,1943.0,101.0,3.0,2.0
0.0,0.0,0.0,1.0,0.0,2.0,26.0,66.0,1511.0,1258.0,1605.0,874.0,1998.0,207.0,2150.0,282.0,17.0,3.0
0.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,769.0,725.0,989.0,1811.0,2812.0,555.0,1617.0,617.0,65.0,19.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,257.0,221.0,414.0,3355.0,1835.0,1376.0,869.0,1412.0,173.0,86.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,52.0,88.0,2172.0,734.0,2791.0,327.0,2804.0,647.0,331.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,16.0,1010.0,201.0,3221.0,109.0,2895.0,1543.0,993.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,200.0,33.0,1433.0,25.0,1463.0,4063.0,2782.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,315.0,1.0,393.0,3488.0,5783.0
