Barcelona,Real Madrid,Villarreal,Atlético Madrid,Real Betis,Getafe,Celta Vigo,Real Sociedad,Athletic Club,Osasuna,Rayo Vallecano,Espanyol,Girona,Valencia,Mallorca,Elche,Sevilla,Alavés,Levante,Real Oviedo
9944.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56.0,9935.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,9.0,9233.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,757.0,9133.0,106.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1.0,104.0,8041.0,522.0,905.0,372.0,28.0,18.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,5.0,1320.0,2367.0,4094.0,1509.0,285.0,232.0,68.0,53.0,47.0,8.0,6.0,6.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,379.0,2782.0,2542.0,2400.0,628.0,601.0,232.0,179.0,175.0,31.0,24.0,26.0,1.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,128.0,2140.0,1404.0,2415.0,1194.0,1152.0,498.0,435.0,400.0,114.0,57.0,52.0,2.0,7.0,2.0,0.0
0.0,0.0,0.0,0.0,25.0,1146.0,588.0,1469.0,1817.0,1698.0,988.0,794.0,753.0,226.0,193.0,243.0,27.0,29.0,4.0,0.0
0.0,0.0,0.0,0.0,1.0,563.0,282.0,783.0,1908.0,1769.0,1206.0,1087.0,1097.0,400.0,343.0,404.0,46.0,99.0,12.0,0.0
0.0,0.0,0.0,0.0,0.0,281.0,117.0,481.0,1380.0,1450.0,1450.0,1365.0,1292.0,667.0,569.0,665.0,103.0,148.0,32.0,0.0
0.0,0.0,0.0,0.0,0.0,122.0,48.0,278.0,1055.0,1122.0,1493.0,1409.0,1404.0,820.0,853.0,920.0,167.0,249.0,60.0,0.0
0.0,0.0,0.0,0.0,0.0,59.0,9.0,159.0,785.0,791.0,1190.0,1404.0,1366.0,1109.0,1106.0,1183.0,285.0,405.0,148.0,1.0
0.0,0.0,0.0,0.0,0.0,16.0,6.0,89.0,455.0,551.0,1045.0,1241.0,1167.0,1341.0,1289.0,1375.0,528.0,642.0,247.0,8.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,28.0,267.0,301.0,806.0,833.0,918.0,1633.0,1476.0,1449.0,815.0,999.0,460.0,13.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,12.0,138.0,173.0,522.0,594.0,742.0,1576.0,1438.0,1346.0,1207.0,1442.0,754.0,55.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,44.0,100.0,314.0,343.0,426.0,1119.0,1241.0,1094.0,1964.0,1886.0,1322.0,142.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,160.0,198.0,162.0,670.0,851.0,798.0,2361.0,2092.0,2243.0,412.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,23.0,60.0,47.0,259.0,463.0,382.0,2208.0,1596.0,3793.0,1164.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,27.0,91.0,57.0,286.0,406.0,923.0,8205.0
