Palmeiras,Flamengo,Fluminense,São Paulo,Bahia,Athletico Paranaense,Coritiba,Red Bull Bragantino,Botafogo,Vasco da Gama,Vitória,Atlético-MG,Grêmio,Internacional,Santos,Cruzeiro,Corinthians,Mirassol,Remo,Chapecoense
6480.0,3005.0,314.0,65.0,81.0,17.0,24.0,3.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2645.0,4819.0,1313.0,391.0,357.0,158.0,174.0,37.0,83.0,10.0,1.0,9.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
626.0,1375.0,3318.0,1341.0,1336.0,574.0,646.0,247.0,366.0,77.0,22.0,41.0,7.0,9.0,3.0,8.0,3.0,1.0,0.0,0.0
167.0,462.0,1920.0,1835.0,1808.0,1023.0,1081.0,507.0,665.0,207.0,72.0,111.0,42.0,28.0,26.0,35.0,7.0,4.0,0.0,0.0
52.0,179.0,1243.0,1635.0,1651.0,1245.0,1398.0,734.0,915.0,367.0,113.0,185.0,76.0,81.0,47.0,56.0,18.0,5.0,0.0,0.0
18.0,72.0,769.0,1365.0,1253.0,1372.0,1418.0,1004.0,1069.0,551.0,199.0,357.0,144.0,129.0,83.0,133.0,47.0,14.0,3.0,0.0
7.0,50.0,468.0,1072.0,1064.0,1205.0,1298.0,1138.0,1247.0,720.0,347.0,511.0,234.0,205.0,179.0,161.0,66.0,25.0,3.0,0.0
3.0,25.0,273.0,749.0,818.0,1138.0,1118.0,1231.0,1229.0,906.0,458.0,677.0,366.0,306.0,236.0,278.0,139.0,44.0,6.0,0.0
1.0,9.0,171.0,561.0,591.0,931.0,880.0,1196.0,1047.0,1085.0,634.0,848.0,502.0,465.0,363.0,410.0,217.0,73.0,16.0,0.0
0.0,2.0,110.0,363.0,394.0,690.0,655.0,1036.0,951.0,1123.0,805.0,1027.0,688.0,646.0,493.0,526.0,305.0,159.0,26.0,1.0
1.0,2.0,46.0,253.0,226.0,550.0,455.0,812.0,716.0,1094.0,960.0,1090.0,914.0,765.0,678.0,677.0,503.0,218.0,38.0,2.0
0.0,0.0,25.0,158.0,165.0,389.0,343.0,661.0,554.0,1027.0,1045.0,1085.0,958.0,986.0,778.0,818.0,609.0,324.0,72.0,3.0
0.0,0.0,17.0,100.0,108.0,275.0,210.0,502.0,425.0,844.0,1053.0,1019.0,1049.0,1029.0,998.0,975.0,836.0,424.0,130.0,6.0
0.0,0.0,9.0,55.0,73.0,203.0,135.0,366.0,295.0,686.0,1085.0,882.0,1084.0,1177.0,1087.0,1047.0,974.0,614.0,202.0,26.0
0.0,0.0,2.0,30.0,39.0,113.0,71.0,233.0,189.0,534.0,998.0,749.0,1096.0,1189.0,1184.0,1183.0,1169.0,866.0,322.0,33.0
0.0,0.0,1.0,20.0,21.0,69.0,55.0,149.0,140.0,348.0,879.0,618.0,1010.0,1027.0,1269.0,1242.0,1398.0,1154.0,537.0,63.0
0.0,0.0,1.0,5.0,11.0,34.0,29.0,90.0,67.0,245.0,662.0,426.0,910.0,969.0,1213.0,1128.0,1452.0,1629.0,952.0,177.0
0.0,0.0,0.0,1.0,2.0,12.0,7.0,44.0,27.0,123.0,456.0,262.0,600.0,648.0,874.0,850.0,1359.0,2313.0,1936.0,486.0
0.0,0.0,0.0,1.0,2.0,2.0,3.0,9.0,7.0,47.0,182.0,92.0,280.0,305.0,436.0,408.0,770.0,1670.0,4109.0,1677.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,28.0,11.0,39.0,35.0,52.0,65.0,128.0,463.0,1648.0,7526.0
