Manchester City,Arsenal,Manchester United,Aston Villa,Liverpool,Brighton & Hove Albion,AFC Bournemouth,Chelsea,Brentford,Everton,Sunderland,Fulham,Crystal Palace,Newcastle United,Leeds United,Nottingham Forest,West Ham United,Tottenham Hotspur,Burnley,Wolverhampton Wanderers
5355.0,4645.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4645.0,5355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,5495.0,2738.0,1764.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,2972.0,4042.0,2949.0,27.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,1440.0,3024.0,4755.0,466.0,51.0,87.0,110.0,39.0,17.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,87.0,181.0,384.0,4759.0,919.0,1207.0,949.0,737.0,431.0,311.0,30.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,6.0,15.0,115.0,2233.0,1535.0,1941.0,1586.0,1186.0,729.0,531.0,87.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,26.0,1224.0,1678.0,1872.0,1734.0,1483.0,916.0,814.0,160.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,6.0,711.0,1779.0,1650.0,1727.0,1562.0,1040.0,1098.0,257.0,166.0,3.0,1.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,351.0,1619.0,1404.0,1568.0,1641.0,1248.0,1416.0,387.0,333.0,33.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,1.0,159.0,1217.0,974.0,1153.0,1466.0,1623.0,1907.0,712.0,678.0,100.0,10.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,54.0,787.0,600.0,710.0,1155.0,1986.0,1877.0,1283.0,1206.0,309.0,33.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,11.0,345.0,202.0,342.0,536.0,1325.0,1193.0,2543.0,2292.0,1098.0,108.0,5.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,3.0,62.0,57.0,98.0,170.0,553.0,637.0,2708.0,3096.0,2260.0,320.0,29.0,7.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,16.0,24.0,129.0,195.0,1614.0,1718.0,4945.0,1096.0,193.0,59.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,215.0,352.0,1100.0,6454.0,1092.0,773.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,25.0,144.0,1638.0,4251.0,3939.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,340.0,4430.0,5222.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7525.0,2475.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2475.0,7525.0
