Palmeiras,Flamengo,Athletico Paranaense,Fluminense,Cruzeiro,Bahia,Atlético-MG,Red Bull Bragantino,Corinthians,Coritiba,Botafogo,Vitória,São Paulo,Santos,Grêmio,Internacional,Mirassol,Remo,Vasco da Gama,Chapecoense
4541.0,5439.0,4.0,13.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5289.0,4417.0,82.0,134.0,68.0,1.0,2.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149.0,124.0,2687.0,3702.0,2357.0,199.0,257.0,97.0,43.0,6.0,365.0,2.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
19.0,18.0,2432.0,2689.0,2395.0,499.0,617.0,254.0,187.0,27.0,804.0,8.0,38.0,4.0,2.0,0.0,7.0,0.0,0.0,0.0
2.0,2.0,1925.0,1698.0,2032.0,954.0,1005.0,483.0,396.0,64.0,1237.0,24.0,127.0,15.0,25.0,2.0,8.0,0.0,1.0,0.0
0.0,0.0,1251.0,891.0,1360.0,1374.0,1416.0,792.0,720.0,129.0,1617.0,48.0,266.0,28.0,52.0,2.0,51.0,0.0,3.0,0.0
0.0,0.0,743.0,451.0,786.0,1577.0,1550.0,1065.0,1055.0,300.0,1583.0,107.0,471.0,66.0,109.0,9.0,125.0,0.0,3.0,0.0
0.0,0.0,418.0,223.0,488.0,1466.0,1477.0,1345.0,1329.0,425.0,1311.0,209.0,703.0,152.0,200.0,21.0,217.0,2.0,14.0,0.0
0.0,0.0,225.0,107.0,265.0,1209.0,1274.0,1366.0,1414.0,711.0,1108.0,320.0,970.0,223.0,360.0,55.0,360.0,6.0,27.0,0.0
0.0,0.0,131.0,62.0,136.0,961.0,937.0,1308.0,1384.0,952.0,787.0,520.0,1184.0,398.0,533.0,128.0,519.0,15.0,45.0,0.0
0.0,0.0,63.0,17.0,62.0,686.0,625.0,1102.0,1193.0,1246.0,525.0,760.0,1299.0,614.0,734.0,236.0,683.0,40.0,115.0,0.0
0.0,0.0,23.0,5.0,31.0,477.0,400.0,841.0,810.0,1343.0,294.0,999.0,1384.0,776.0,1009.0,415.0,934.0,69.0,190.0,0.0
0.0,0.0,12.0,6.0,14.0,282.0,224.0,555.0,621.0,1359.0,178.0,1222.0,1132.0,1026.0,1208.0,563.0,1126.0,135.0,337.0,0.0
0.0,0.0,3.0,2.0,1.0,174.0,120.0,362.0,398.0,1202.0,103.0,1378.0,842.0,1255.0,1308.0,859.0,1222.0,278.0,493.0,0.0
0.0,0.0,0.0,0.0,2.0,86.0,46.0,213.0,235.0,907.0,48.0,1292.0,668.0,1403.0,1265.0,1134.0,1389.0,470.0,840.0,2.0
0.0,0.0,1.0,0.0,0.0,40.0,34.0,122.0,132.0,642.0,18.0,1223.0,450.0,1329.0,1225.0,1507.0,1277.0,826.0,1173.0,1.0
0.0,0.0,0.0,0.0,0.0,11.0,13.0,69.0,59.0,395.0,11.0,983.0,274.0,1208.0,949.0,1867.0,1072.0,1410.0,1677.0,2.0
0.0,0.0,0.0,0.0,0.0,4.0,2.0,23.0,16.0,216.0,4.0,634.0,134.0,923.0,692.0,1934.0,690.0,2463.0,2243.0,22.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,7.0,76.0,0.0,269.0,48.0,576.0,323.0,1252.0,318.0,4184.0,2787.0,156.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,4.0,5.0,16.0,1.0,102.0,52.0,9817.0
