Marseille,Lens,Lyon,Brest,Le Mans,Lorient,Nice,Paris FC,Troyes,Angers,Le Havre AC,Lille,AS Monaco,Paris Saint-Germain,Stade Rennais,Toulouse,AJ Auxerre,Strasbourg
290.0,2282.0,170.0,0.0,34.0,1.0,0.0,2.0,17.0,0.0,0.0,146.0,10.0,7001.0,40.0,0.0,0.0,7.0
1252.0,4444.0,751.0,1.0,91.0,23.0,0.0,24.0,42.0,0.0,1.0,699.0,122.0,2221.0,251.0,6.0,0.0,72.0
2345.0,1821.0,1759.0,13.0,149.0,114.0,0.0,127.0,87.0,1.0,2.0,1547.0,409.0,539.0,770.0,56.0,4.0,257.0
1992.0,779.0,1929.0,21.0,204.0,266.0,4.0,294.0,128.0,0.0,15.0,1786.0,742.0,157.0,1058.0,113.0,21.0,491.0
1458.0,353.0,1636.0,73.0,235.0,436.0,2.0,480.0,145.0,2.0,55.0,1635.0,991.0,53.0,1399.0,235.0,53.0,759.0
990.0,167.0,1292.0,110.0,261.0,676.0,17.0,716.0,222.0,6.0,117.0,1369.0,1191.0,18.0,1379.0,341.0,112.0,1016.0
658.0,92.0,871.0,230.0,319.0,975.0,17.0,908.0,239.0,8.0,163.0,971.0,1304.0,8.0,1326.0,532.0,192.0,1187.0
405.0,42.0,630.0,355.0,324.0,1106.0,24.0,1094.0,273.0,36.0,291.0,711.0,1278.0,3.0,1126.0,812.0,305.0,1185.0
278.0,13.0,393.0,544.0,361.0,1225.0,56.0,1222.0,330.0,66.0,433.0,417.0,1110.0,0.0,859.0,1023.0,511.0,1159.0
163.0,5.0,256.0,711.0,431.0,1235.0,115.0,1189.0,386.0,149.0,584.0,311.0,906.0,0.0,633.0,1142.0,705.0,1079.0
92.0,1.0,156.0,901.0,493.0,1122.0,257.0,1117.0,425.0,258.0,879.0,194.0,662.0,0.0,461.0,1208.0,867.0,907.0
40.0,1.0,85.0,1175.0,543.0,914.0,406.0,908.0,521.0,378.0,1088.0,109.0,485.0,0.0,259.0,1216.0,1167.0,705.0
22.0,0.0,30.0,1312.0,585.0,724.0,587.0,767.0,607.0,626.0,1210.0,57.0,352.0,0.0,196.0,1074.0,1343.0,508.0
9.0,0.0,27.0,1418.0,647.0,516.0,892.0,505.0,720.0,964.0,1409.0,24.0,215.0,0.0,131.0,838.0,1360.0,325.0
4.0,0.0,13.0,1264.0,807.0,337.0,1427.0,334.0,806.0,1348.0,1350.0,17.0,114.0,0.0,65.0,630.0,1292.0,192.0
1.0,0.0,2.0,993.0,977.0,206.0,1961.0,193.0,1066.0,1820.0,1129.0,6.0,64.0,0.0,26.0,420.0,1036.0,100.0
1.0,0.0,0.0,594.0,1259.0,101.0,2328.0,92.0,1455.0,2282.0,862.0,1.0,32.0,0.0,16.0,277.0,655.0,45.0
0.0,0.0,0.0,285.0,2280.0,23.0,1907.0,28.0,2531.0,2056.0,412.0,0.0,13.0,0.0,5.0,77.0,377.0,6.0
