Sporting CP,Maritimo,Arouca,FC Porto,C.D. Nacional,Santa Clara,Benfica,Gil Vicente,Rio Ave,Estrela,Académico de Viseu,Braga,FC Famalicao,Moreirense,Estoril,Alverca,Vitória de Guimaraes,Casa Pia
3430.0,3.0,0.0,3972.0,0.0,0.0,2577.0,0.0,0.0,0.0,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
3471.0,15.0,0.0,3171.0,0.0,0.0,3213.0,4.0,0.0,0.0,2.0,122.0,2.0,0.0,0.0,0.0,0.0,0.0
2866.0,52.0,9.0,2610.0,2.0,0.0,3773.0,38.0,0.0,0.0,15.0,614.0,21.0,0.0,0.0,0.0,0.0,0.0
215.0,507.0,318.0,238.0,188.0,80.0,400.0,1119.0,2.0,7.0,157.0,5923.0,827.0,2.0,13.0,0.0,4.0,0.0
16.0,738.0,1103.0,9.0,631.0,422.0,33.0,2398.0,17.0,37.0,344.0,2000.0,2135.0,12.0,52.0,14.0,39.0,0.0
2.0,713.0,1496.0,0.0,1046.0,712.0,4.0,2181.0,36.0,138.0,374.0,703.0,2168.0,58.0,215.0,45.0,109.0,0.0
0.0,759.0,1683.0,0.0,1302.0,988.0,0.0,1540.0,88.0,301.0,422.0,363.0,1747.0,97.0,417.0,67.0,225.0,1.0
0.0,795.0,1542.0,0.0,1453.0,1252.0,0.0,1038.0,244.0,429.0,438.0,151.0,1201.0,213.0,653.0,176.0,412.0,3.0
0.0,728.0,1185.0,0.0,1392.0,1396.0,0.0,738.0,355.0,712.0,488.0,74.0,788.0,367.0,893.0,294.0,579.0,11.0
0.0,722.0,958.0,0.0,1177.0,1326.0,0.0,414.0,514.0,919.0,578.0,24.0,475.0,577.0,1033.0,439.0,813.0,31.0
0.0,655.0,609.0,0.0,954.0,1154.0,0.0,246.0,764.0,1136.0,575.0,4.0,270.0,746.0,1222.0,613.0,992.0,60.0
0.0,657.0,426.0,0.0,668.0,875.0,0.0,130.0,976.0,1232.0,637.0,3.0,178.0,918.0,1211.0,844.0,1140.0,105.0
0.0,612.0,291.0,0.0,458.0,637.0,0.0,82.0,1232.0,1177.0,661.0,2.0,101.0,1123.0,1222.0,1007.0,1215.0,180.0
0.0,615.0,201.0,0.0,327.0,507.0,0.0,38.0,1325.0,1148.0,716.0,0.0,51.0,1283.0,1014.0,1201.0,1234.0,340.0
0.0,601.0,110.0,0.0,220.0,331.0,0.0,21.0,1443.0,1040.0,815.0,0.0,24.0,1365.0,854.0,1424.0,1137.0,615.0
0.0,631.0,48.0,0.0,118.0,200.0,0.0,10.0,1355.0,904.0,971.0,0.0,8.0,1446.0,621.0,1607.0,1004.0,1077.0
0.0,653.0,16.0,0.0,50.0,96.0,0.0,1.0,1126.0,597.0,1251.0,0.0,4.0,1201.0,442.0,1515.0,779.0,2269.0
0.0,544.0,5.0,0.0,14.0,24.0,0.0,2.0,523.0,223.0,1555.0,0.0,0.0,592.0,138.0,754.0,318.0,5308.0
