AZ Alkmaar,FC Groningen,Go Ahead Eagles,Ajax Amsterdam,PSV Eindhoven,Feyenoord Rotterdam,Sparta Rotterdam,Fortuna Sittard,Heerenveen,Excelsior,NEC Nijmegen,FC Twente,Telstar,PEC Zwolle,FC Utrecht,ADO Den Haag,Willem II,SC Cambuur
523.0,131.0,47.0,722.0,7196.0,598.0,0.0,0.0,12.0,0.0,368.0,389.0,1.0,0.0,12.0,0.0,1.0,0.0
1445.0,532.0,190.0,1860.0,1615.0,1849.0,0.0,0.0,63.0,17.0,1112.0,1241.0,14.0,0.0,46.0,6.0,5.0,5.0
1575.0,821.0,359.0,1645.0,628.0,1804.0,0.0,5.0,131.0,49.0,1358.0,1425.0,37.0,0.0,143.0,6.0,7.0,7.0
1574.0,1014.0,575.0,1526.0,294.0,1548.0,5.0,9.0,241.0,92.0,1401.0,1394.0,90.0,0.0,211.0,6.0,10.0,10.0
1298.0,1249.0,697.0,1276.0,153.0,1348.0,3.0,27.0,391.0,147.0,1403.0,1420.0,187.0,1.0,364.0,10.0,11.0,15.0
1204.0,1315.0,983.0,1040.0,67.0,1011.0,19.0,65.0,637.0,256.0,1258.0,1248.0,272.0,2.0,558.0,20.0,29.0,16.0
873.0,1363.0,1205.0,740.0,24.0,685.0,29.0,123.0,978.0,450.0,1085.0,1056.0,467.0,6.0,835.0,29.0,30.0,22.0
654.0,1165.0,1323.0,549.0,15.0,493.0,93.0,201.0,1233.0,712.0,828.0,751.0,712.0,25.0,1113.0,46.0,52.0,35.0
418.0,969.0,1324.0,292.0,7.0,325.0,166.0,394.0,1420.0,1053.0,562.0,490.0,979.0,47.0,1374.0,65.0,67.0,48.0
238.0,613.0,1157.0,190.0,1.0,191.0,339.0,692.0,1457.0,1378.0,317.0,288.0,1307.0,126.0,1462.0,85.0,98.0,61.0
124.0,411.0,912.0,100.0,0.0,85.0,647.0,1053.0,1239.0,1563.0,178.0,169.0,1557.0,254.0,1348.0,118.0,142.0,100.0
49.0,248.0,589.0,38.0,0.0,47.0,1042.0,1424.0,1006.0,1587.0,87.0,91.0,1597.0,503.0,1133.0,213.0,188.0,158.0
15.0,119.0,356.0,12.0,0.0,8.0,1769.0,1955.0,655.0,1271.0,27.0,25.0,1283.0,978.0,747.0,285.0,275.0,220.0
10.0,36.0,193.0,10.0,0.0,7.0,2365.0,1885.0,349.0,804.0,13.0,9.0,864.0,1730.0,411.0,464.0,458.0,392.0
0.0,8.0,70.0,0.0,0.0,0.0,2038.0,1396.0,145.0,429.0,3.0,4.0,431.0,3112.0,182.0,767.0,728.0,687.0
0.0,5.0,17.0,0.0,0.0,1.0,1104.0,607.0,37.0,158.0,0.0,0.0,162.0,2176.0,49.0,2083.0,1893.0,1708.0
0.0,1.0,3.0,0.0,0.0,0.0,323.0,150.0,6.0,32.0,0.0,0.0,36.0,891.0,12.0,2861.0,2838.0,2847.0
0.0,0.0,0.0,0.0,0.0,0.0,58.0,14.0,0.0,2.0,0.0,0.0,4.0,149.0,0.0,2936.0,3168.0,3669.0
