AS Monaco,Lyon,Lille,Brest,Paris FC,Stade Rennais,Troyes,Lorient,Marseille,Lens,Angers,Strasbourg,Paris Saint-Germain,Le Mans,Nice,Le Havre AC,Toulouse,AJ Auxerre
1523.0,1104.0,1552.0,22.0,204.0,430.0,4.0,91.0,668.0,1383.0,4.0,260.0,2728.0,0.0,3.0,5.0,18.0,1.0
1453.0,1185.0,1443.0,74.0,388.0,668.0,11.0,195.0,839.0,1330.0,20.0,435.0,1893.0,3.0,2.0,10.0,48.0,3.0
1314.0,1196.0,1365.0,130.0,453.0,774.0,16.0,286.0,976.0,1326.0,35.0,531.0,1461.0,2.0,4.0,16.0,102.0,13.0
1132.0,1167.0,1247.0,204.0,619.0,875.0,42.0,401.0,1055.0,1186.0,73.0,687.0,1132.0,3.0,8.0,33.0,112.0,24.0
1077.0,1101.0,1030.0,315.0,770.0,931.0,66.0,538.0,1007.0,1072.0,97.0,821.0,839.0,10.0,12.0,72.0,193.0,49.0
923.0,961.0,897.0,444.0,864.0,1017.0,111.0,627.0,1042.0,946.0,155.0,828.0,636.0,26.0,37.0,127.0,263.0,96.0
703.0,819.0,726.0,587.0,947.0,1005.0,160.0,792.0,979.0,785.0,206.0,1006.0,466.0,35.0,68.0,179.0,402.0,135.0
591.0,685.0,551.0,721.0,1023.0,928.0,293.0,904.0,878.0,599.0,322.0,1002.0,307.0,62.0,106.0,278.0,556.0,194.0
443.0,585.0,424.0,835.0,1007.0,849.0,384.0,1030.0,750.0,471.0,470.0,936.0,222.0,126.0,143.0,374.0,648.0,303.0
303.0,431.0,306.0,977.0,896.0,732.0,542.0,1043.0,552.0,324.0,656.0,885.0,148.0,165.0,245.0,536.0,839.0,420.0
218.0,282.0,188.0,1090.0,783.0,565.0,715.0,991.0,404.0,229.0,790.0,762.0,78.0,280.0,380.0,677.0,1000.0,568.0
152.0,197.0,103.0,1024.0,663.0,457.0,888.0,857.0,304.0,160.0,975.0,566.0,43.0,400.0,495.0,855.0,1084.0,777.0
72.0,132.0,86.0,943.0,473.0,294.0,1049.0,709.0,221.0,84.0,1073.0,471.0,22.0,586.0,717.0,1028.0,1068.0,972.0
48.0,69.0,36.0,826.0,343.0,227.0,1167.0,551.0,137.0,56.0,1188.0,326.0,16.0,789.0,916.0,1169.0,979.0,1157.0
25.0,52.0,22.0,688.0,273.0,114.0,1262.0,423.0,95.0,27.0,1177.0,228.0,7.0,1067.0,1147.0,1216.0,876.0,1301.0
15.0,22.0,16.0,541.0,175.0,76.0,1206.0,317.0,59.0,16.0,1090.0,142.0,1.0,1488.0,1483.0,1228.0,790.0,1335.0
6.0,9.0,7.0,408.0,80.0,42.0,1142.0,163.0,25.0,4.0,977.0,81.0,1.0,2055.0,1888.0,1187.0,594.0,1331.0
2.0,3.0,1.0,171.0,39.0,16.0,942.0,82.0,9.0,2.0,692.0,33.0,0.0,2903.0,2346.0,1010.0,428.0,1321.0
