Swansea City,Middlesbrough,Queens Park Rangers,Bristol City,West Bromwich Albion,Charlton Athletic,Millwall,West Ham United,Wolverhampton Wanderers,Wrexham,Birmingham City,Norwich City,Stoke City,Portsmouth,Sheffield United,Blackburn Rovers,Lincoln City,Watford,Southampton,Derby County,Bolton Wanderers,Cardiff City,Preston North End,Burnley
322.0,973.0,30.0,135.0,52.0,17.0,428.0,3645.0,3321.0,58.0,92.0,134.0,12.0,2.0,24.0,4.0,0.0,2.0,705.0,26.0,0.0,0.0,1.0,17.0
596.0,1363.0,125.0,290.0,133.0,61.0,743.0,2357.0,2373.0,191.0,183.0,267.0,27.0,18.0,88.0,18.0,0.0,7.0,1058.0,63.0,0.0,0.0,8.0,31.0
776.0,1436.0,193.0,467.0,254.0,117.0,975.0,1389.0,1473.0,312.0,315.0,445.0,60.0,28.0,179.0,38.0,0.0,21.0,1277.0,127.0,0.0,0.0,10.0,108.0
921.0,1242.0,260.0,582.0,392.0,174.0,1096.0,895.0,890.0,429.0,427.0,559.0,148.0,55.0,248.0,50.0,0.0,55.0,1150.0,233.0,0.0,1.0,24.0,169.0
966.0,1059.0,359.0,667.0,494.0,232.0,1033.0,546.0,590.0,519.0,503.0,690.0,178.0,79.0,303.0,95.0,1.0,69.0,1069.0,263.0,0.0,0.0,38.0,247.0
862.0,844.0,424.0,744.0,583.0,328.0,967.0,382.0,395.0,601.0,619.0,663.0,228.0,128.0,442.0,119.0,4.0,114.0,835.0,375.0,0.0,3.0,56.0,284.0
745.0,662.0,537.0,767.0,587.0,395.0,808.0,257.0,283.0,641.0,695.0,756.0,280.0,170.0,486.0,145.0,8.0,155.0,740.0,412.0,0.0,3.0,71.0,397.0
761.0,530.0,559.0,799.0,630.0,459.0,681.0,161.0,208.0,660.0,644.0,753.0,346.0,189.0,524.0,184.0,5.0,187.0,658.0,507.0,3.0,1.0,108.0,443.0
668.0,461.0,593.0,700.0,685.0,464.0,589.0,122.0,143.0,706.0,716.0,744.0,388.0,271.0,602.0,253.0,10.0,213.0,515.0,507.0,0.0,3.0,155.0,492.0
618.0,350.0,642.0,694.0,655.0,600.0,563.0,87.0,106.0,677.0,675.0,723.0,471.0,333.0,560.0,275.0,19.0,288.0,447.0,542.0,5.0,6.0,158.0,506.0
508.0,298.0,665.0,621.0,684.0,583.0,408.0,52.0,82.0,674.0,705.0,629.0,518.0,349.0,639.0,366.0,33.0,390.0,360.0,594.0,4.0,18.0,254.0,566.0
439.0,206.0,659.0,625.0,701.0,612.0,367.0,40.0,39.0,688.0,668.0,583.0,561.0,473.0,668.0,422.0,42.0,435.0,267.0,659.0,1.0,18.0,294.0,533.0
392.0,166.0,695.0,553.0,637.0,645.0,308.0,25.0,36.0,649.0,610.0,544.0,629.0,510.0,684.0,482.0,57.0,485.0,236.0,663.0,11.0,28.0,320.0,635.0
312.0,122.0,629.0,506.0,553.0,743.0,270.0,15.0,19.0,578.0,567.0,518.0,673.0,570.0,707.0,553.0,67.0,552.0,188.0,685.0,17.0,50.0,415.0,691.0
284.0,95.0,647.0,442.0,579.0,728.0,223.0,6.0,15.0,463.0,533.0,467.0,688.0,691.0,637.0,656.0,110.0,652.0,140.0,670.0,33.0,75.0,479.0,687.0
235.0,66.0,600.0,353.0,550.0,760.0,182.0,7.0,10.0,494.0,458.0,384.0,706.0,721.0,620.0,705.0,193.0,720.0,116.0,686.0,54.0,94.0,617.0,669.0
183.0,47.0,578.0,294.0,470.0,650.0,127.0,6.0,12.0,430.0,437.0,344.0,799.0,785.0,615.0,811.0,264.0,766.0,87.0,671.0,70.0,167.0,698.0,689.0
154.0,32.0,497.0,279.0,438.0,619.0,110.0,3.0,5.0,389.0,353.0,275.0,770.0,888.0,555.0,899.0,368.0,870.0,62.0,604.0,115.0,239.0,833.0,643.0
111.0,28.0,423.0,195.0,344.0,584.0,64.0,4.0,0.0,315.0,300.0,207.0,723.0,934.0,511.0,1027.0,510.0,909.0,44.0,584.0,187.0,431.0,991.0,574.0
67.0,12.0,373.0,148.0,294.0,502.0,26.0,1.0,0.0,249.0,222.0,150.0,679.0,899.0,405.0,993.0,828.0,993.0,25.0,458.0,331.0,614.0,1133.0,598.0
42.0,5.0,280.0,82.0,152.0,394.0,21.0,0.0,0.0,158.0,173.0,100.0,561.0,867.0,267.0,857.0,1261.0,945.0,12.0,351.0,622.0,1091.0,1247.0,512.0
30.0,2.0,158.0,39.0,88.0,223.0,7.0,0.0,0.0,83.0,66.0,43.0,330.0,619.0,154.0,609.0,2206.0,691.0,6.0,212.0,1265.0,1822.0,1048.0,299.0
7.0,0.0,57.0,13.0,37.0,80.0,4.0,0.0,0.0,28.0,29.0,17.0,171.0,324.0,66.0,322.0,2386.0,348.0,2.0,81.0,2457.0,2720.0,704.0,147.0
1.0,1.0,17.0,5.0,8.0,30.0,0.0,0.0,0.0,8.0,10.0,5.0,54.0,97.0,16.0,117.0,1628.0,133.0,1.0,27.0,4825.0,2616.0,338.0,63.0
