AS Roma,Internazionale,Como,AC Milan,Juventus,Lazio,Atalanta,Udinese,Frosinone,Sassuolo,Cagliari,Lecce,Napoli,Torino,Bologna,Parma,Monza,Venezia,Genoa,Fiorentina
2274.0,4869.0,1685.0,183.0,708.0,43.0,123.0,20.0,0.0,8.0,1.0,0.0,81.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0
2604.0,2505.0,2260.0,523.0,1246.0,103.0,339.0,56.0,5.0,33.0,6.0,1.0,295.0,4.0,17.0,1.0,0.0,0.0,1.0,1.0
1959.0,1272.0,2214.0,923.0,1711.0,300.0,656.0,169.0,12.0,73.0,34.0,7.0,621.0,8.0,34.0,0.0,0.0,0.0,4.0,3.0
1302.0,707.0,1543.0,1333.0,1836.0,537.0,998.0,331.0,39.0,171.0,65.0,16.0,983.0,21.0,96.0,5.0,0.0,0.0,9.0,8.0
817.0,349.0,966.0,1521.0,1509.0,780.0,1328.0,539.0,102.0,300.0,139.0,40.0,1286.0,67.0,199.0,13.0,0.0,0.0,24.0,21.0
482.0,180.0,584.0,1500.0,1022.0,1051.0,1519.0,704.0,172.0,493.0,239.0,64.0,1391.0,134.0,325.0,37.0,0.0,0.0,54.0,49.0
242.0,71.0,336.0,1194.0,773.0,1297.0,1362.0,1019.0,264.0,728.0,393.0,130.0,1265.0,209.0,456.0,65.0,0.0,0.0,104.0,92.0
164.0,24.0,189.0,921.0,463.0,1264.0,1078.0,1141.0,427.0,860.0,554.0,207.0,1169.0,333.0,708.0,140.0,1.0,1.0,177.0,179.0
79.0,11.0,98.0,628.0,311.0,1087.0,838.0,1178.0,559.0,1019.0,744.0,334.0,948.0,547.0,842.0,214.0,8.0,2.0,306.0,247.0
45.0,6.0,68.0,448.0,188.0,993.0,620.0,1138.0,787.0,1083.0,889.0,480.0,616.0,625.0,946.0,281.0,17.0,3.0,425.0,342.0
17.0,5.0,32.0,306.0,113.0,762.0,397.0,921.0,858.0,1112.0,1061.0,620.0,473.0,782.0,1043.0,452.0,35.0,4.0,532.0,475.0
11.0,0.0,10.0,205.0,43.0,573.0,270.0,789.0,942.0,946.0,1054.0,795.0,331.0,976.0,1036.0,587.0,49.0,20.0,706.0,657.0
3.0,0.0,9.0,140.0,44.0,416.0,195.0,609.0,1060.0,854.0,996.0,955.0,215.0,1039.0,1012.0,722.0,95.0,27.0,823.0,786.0
0.0,1.0,4.0,82.0,15.0,314.0,127.0,488.0,1010.0,693.0,985.0,1062.0,140.0,1112.0,906.0,948.0,159.0,50.0,959.0,945.0
1.0,0.0,0.0,50.0,13.0,202.0,68.0,364.0,1019.0,575.0,854.0,1169.0,100.0,1083.0,806.0,1060.0,290.0,108.0,1152.0,1086.0
0.0,0.0,0.0,21.0,2.0,133.0,48.0,261.0,934.0,447.0,799.0,1175.0,49.0,1044.0,647.0,1261.0,432.0,208.0,1295.0,1244.0
0.0,0.0,1.0,12.0,2.0,97.0,21.0,137.0,787.0,306.0,568.0,1236.0,28.0,928.0,458.0,1491.0,867.0,421.0,1265.0,1375.0
0.0,0.0,1.0,8.0,1.0,33.0,12.0,108.0,660.0,206.0,420.0,1006.0,7.0,661.0,326.0,1522.0,1531.0,928.0,1222.0,1348.0
0.0,0.0,0.0,2.0,0.0,15.0,1.0,26.0,290.0,73.0,164.0,543.0,2.0,317.0,118.0,897.0,3509.0,2536.0,678.0,829.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,73.0,20.0,35.0,160.0,0.0,108.0,22.0,304.0,3007.0,5692.0,264.0,313.0
