AS Roma,Internazionale,Lazio,Cagliari,AC Milan,Frosinone,Juventus,Como,Napoli,Sassuolo,Atalanta,Lecce,Udinese,Torino,Parma,Monza,Fiorentina,Bologna,Genoa,Venezia
2477.0,5553.0,77.0,6.0,278.0,7.0,539.0,941.0,103.0,6.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2986.0,2448.0,246.0,43.0,783.0,51.0,1197.0,1799.0,361.0,10.0,70.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
1863.0,1068.0,604.0,123.0,1196.0,112.0,1812.0,2183.0,763.0,49.0,188.0,2.0,20.0,4.0,0.0,0.0,6.0,6.0,1.0,0.0
1166.0,526.0,912.0,289.0,1503.0,265.0,1909.0,1767.0,1080.0,93.0,375.0,4.0,59.0,9.0,1.0,0.0,10.0,29.0,3.0,0.0
704.0,221.0,1191.0,481.0,1662.0,448.0,1448.0,1314.0,1443.0,218.0,622.0,3.0,103.0,20.0,12.0,2.0,32.0,66.0,10.0,0.0
399.0,103.0,1445.0,676.0,1468.0,650.0,1160.0,825.0,1521.0,333.0,919.0,17.0,181.0,53.0,20.0,3.0,61.0,150.0,16.0,0.0
195.0,47.0,1464.0,917.0,1043.0,953.0,799.0,515.0,1379.0,580.0,1152.0,44.0,355.0,108.0,39.0,6.0,131.0,242.0,31.0,0.0
111.0,22.0,1234.0,1173.0,781.0,1141.0,470.0,313.0,1089.0,799.0,1258.0,90.0,529.0,200.0,102.0,20.0,207.0,383.0,78.0,0.0
50.0,6.0,928.0,1252.0,509.0,1244.0,285.0,171.0,809.0,1041.0,1282.0,164.0,766.0,296.0,172.0,38.0,346.0,529.0,111.0,1.0
31.0,4.0,708.0,1312.0,335.0,1213.0,180.0,79.0,596.0,1097.0,1081.0,210.0,923.0,450.0,263.0,60.0,489.0,759.0,210.0,0.0
10.0,0.0,430.0,1041.0,205.0,1035.0,91.0,52.0,369.0,1223.0,951.0,402.0,1108.0,595.0,387.0,120.0,676.0,942.0,362.0,1.0
5.0,2.0,299.0,843.0,114.0,874.0,49.0,23.0,214.0,1156.0,681.0,556.0,1117.0,838.0,576.0,212.0,857.0,1091.0,489.0,4.0
2.0,0.0,208.0,663.0,65.0,709.0,36.0,8.0,115.0,1014.0,517.0,744.0,1137.0,1013.0,762.0,289.0,993.0,1101.0,616.0,8.0
1.0,0.0,113.0,456.0,31.0,516.0,11.0,5.0,70.0,794.0,351.0,941.0,1032.0,1168.0,960.0,454.0,1144.0,1158.0,784.0,11.0
0.0,0.0,75.0,313.0,16.0,339.0,9.0,3.0,46.0,589.0,227.0,1065.0,890.0,1232.0,1134.0,662.0,1234.0,1040.0,1102.0,24.0
0.0,0.0,33.0,200.0,10.0,214.0,3.0,1.0,26.0,439.0,153.0,1347.0,718.0,1237.0,1327.0,937.0,1156.0,849.0,1292.0,58.0
0.0,0.0,22.0,128.0,1.0,130.0,2.0,1.0,11.0,286.0,84.0,1462.0,529.0,1123.0,1451.0,1384.0,1031.0,751.0,1469.0,135.0
0.0,0.0,6.0,67.0,0.0,64.0,0.0,0.0,5.0,182.0,61.0,1532.0,349.0,917.0,1444.0,1940.0,916.0,540.0,1595.0,382.0
0.0,0.0,4.0,17.0,0.0,34.0,0.0,0.0,0.0,77.0,16.0,1235.0,166.0,637.0,1152.0,3028.0,621.0,325.0,1529.0,1159.0
0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,14.0,1.0,182.0,15.0,100.0,198.0,845.0,90.0,34.0,302.0,8217.0
