Borussia Dortmund,Bayern Munich,SC Freiburg,FC Augsburg,Bayer Leverkusen,Mainz,SV Elversberg,Werder Bremen,RB Leipzig,Eintracht Frankfurt,Schalke 04,SC Paderborn 07,FC Cologne,TSG Hoffenheim,VfB Stuttgart,Hamburg SV,1. FC Union Berlin,Borussia Mönchengladbach
1450.0,8391.0,25.0,0.0,70.0,1.0,0.0,0.0,45.0,1.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0
6167.0,1442.0,406.0,48.0,927.0,68.0,6.0,8.0,549.0,30.0,1.0,0.0,5.0,51.0,292.0,0.0,0.0,0.0
1446.0,138.0,1393.0,263.0,2741.0,366.0,61.0,66.0,1774.0,146.0,3.0,1.0,21.0,387.0,1185.0,3.0,2.0,4.0
558.0,24.0,1599.0,516.0,2060.0,635.0,120.0,143.0,1845.0,309.0,7.0,5.0,84.0,664.0,1385.0,23.0,6.0,17.0
222.0,5.0,1512.0,735.0,1442.0,892.0,254.0,219.0,1623.0,515.0,19.0,13.0,162.0,837.0,1480.0,38.0,12.0,20.0
95.0,0.0,1376.0,928.0,966.0,1074.0,359.0,407.0,1184.0,721.0,49.0,17.0,261.0,1056.0,1342.0,85.0,32.0,48.0
37.0,0.0,1048.0,1044.0,693.0,1218.0,510.0,544.0,949.0,923.0,97.0,48.0,378.0,1102.0,1127.0,117.0,64.0,101.0
11.0,0.0,795.0,1160.0,425.0,1141.0,709.0,737.0,696.0,1010.0,146.0,70.0,559.0,1126.0,938.0,210.0,111.0,156.0
11.0,0.0,632.0,1059.0,281.0,1097.0,891.0,903.0,499.0,1133.0,225.0,119.0,608.0,1063.0,711.0,339.0,190.0,239.0
2.0,0.0,412.0,1019.0,184.0,1036.0,988.0,997.0,299.0,1092.0,338.0,213.0,844.0,956.0,542.0,446.0,278.0,354.0
0.0,0.0,315.0,892.0,109.0,752.0,1102.0,1093.0,223.0,1024.0,527.0,324.0,975.0,785.0,396.0,579.0,385.0,519.0
0.0,0.0,192.0,722.0,55.0,575.0,1141.0,1186.0,153.0,883.0,691.0,458.0,1061.0,640.0,219.0,816.0,537.0,671.0
1.0,0.0,127.0,579.0,23.0,445.0,1077.0,996.0,81.0,702.0,912.0,709.0,1112.0,528.0,150.0,945.0,762.0,851.0
0.0,0.0,80.0,388.0,9.0,290.0,921.0,868.0,45.0,617.0,1178.0,852.0,1056.0,331.0,118.0,1187.0,994.0,1066.0
0.0,0.0,51.0,303.0,12.0,209.0,740.0,751.0,20.0,413.0,1314.0,1190.0,960.0,240.0,50.0,1299.0,1178.0,1270.0
0.0,0.0,22.0,192.0,2.0,113.0,540.0,555.0,9.0,257.0,1473.0,1559.0,822.0,132.0,32.0,1313.0,1513.0,1466.0
0.0,0.0,12.0,105.0,1.0,63.0,363.0,313.0,5.0,152.0,1546.0,1980.0,668.0,76.0,15.0,1352.0,1790.0,1559.0
0.0,0.0,3.0,47.0,0.0,25.0,218.0,214.0,1.0,72.0,1474.0,2442.0,424.0,26.0,1.0,1248.0,2146.0,1659.0
